"","condition"
"CS-Female_Ground_Control-13","Canton.S...Wild.Type...Ground.Control"
"CS-Female_Ground_Control-14","Canton.S...Wild.Type...Ground.Control"
"CS-Female_Ground_Control-15","Canton.S...Wild.Type...Ground.Control"
"CS-Female_Ground_Control-16","Canton.S...Wild.Type...Ground.Control"
"CS-Female_Space_Flown-29","Canton.S...Wild.Type...Space.Flight"
"CS-Female_Space_Flown-30","Canton.S...Wild.Type...Space.Flight"
"CS-Female_Space_Flown-31","Canton.S...Wild.Type...Space.Flight"
"CS-Female_Space_Flown-32","Canton.S...Wild.Type...Space.Flight"
"KCNQ370_Female_Ground_Control-01","w1118...KCNQ370...Ground.Control"
"KCNQ370_Female_Ground_Control-02","w1118...KCNQ370...Ground.Control"
"KCNQ370_Female_Ground_Control-03","w1118...KCNQ370...Ground.Control"
"KCNQ370_Female_Ground_Control-04","w1118...KCNQ370...Ground.Control"
"KCNQ370_Female_Space_Flown-17","w1118...KCNQ370...Space.Flight"
"KCNQ370_Female_Space_Flown-18","w1118...KCNQ370...Space.Flight"
"KCNQ370_Female_Space_Flown-19","w1118...KCNQ370...Space.Flight"
"KCNQ370_Female_Space_Flown-20","w1118...KCNQ370...Space.Flight"
"KCNQ97_Female_Ground_Control-05","w1118...Wild.Type...Ground.Control"
"KCNQ97_Female_Ground_Control-06","w1118...Wild.Type...Ground.Control"
"KCNQ97_Female_Ground_Control-07","w1118...Wild.Type...Ground.Control"
"KCNQ97_Female_Ground_Control-08","w1118...Wild.Type...Ground.Control"
"KCNQ97_Female_Space_Flown-21","w1118...Wild.Type...Space.Flight"
"KCNQ97_Female_Space_Flown-22","w1118...Wild.Type...Space.Flight"
"KCNQ97_Female_Space_Flown-23","w1118...Wild.Type...Space.Flight"
"KCNQ97_Female_Space_Flown-24","w1118...Wild.Type...Space.Flight"
"Sei_ts1-Female_Ground_Control-09","Canton.S...Sei.ts1...Ground.Control"
"Sei_ts1-Female_Ground_Control-10","Canton.S...Sei.ts1...Ground.Control"
"Sei_ts1-Female_Ground_Control-11","Canton.S...Sei.ts1...Ground.Control"
"Sei_ts1-Female_Ground_Control-12","Canton.S...Sei.ts1...Ground.Control"
"Sei_ts1-Female_Space_Flown-25","Canton.S...Sei.ts1...Space.Flight"
"Sei_ts1-Female_Space_Flown-26","Canton.S...Sei.ts1...Space.Flight"
"Sei_ts1-Female_Space_Flown-27","Canton.S...Sei.ts1...Space.Flight"
"Sei_ts1-Female_Space_Flown-28","Canton.S...Sei.ts1...Space.Flight"
