slide_id,check,status,severity,detail
b2_study_to_task_premium,manifest_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/manifest.json
b2_study_to_task_premium,overlay_spec_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/overlay_spec.json
b2_study_to_task_premium,qa_exists,PASS,error,/Users/jak4013/Dropbox/Bioinformatics/Claude/GeneLab_benchmark/output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/qa.json
b2_study_to_task_premium,manifest_field_slide_id,PASS,error,'b2_study_to_task_premium'
b2_study_to_task_premium,manifest_field_created,PASS,error,'2026-06-01'
b2_study_to_task_premium,manifest_field_stage,PASS,error,'post_render'
b2_study_to_task_premium,manifest_field_content_brief,PASS,error,'docs/VISUAL_BRIDGE_CONTENT_BRIEFS_B1_B4_2026_06_01.md'
b2_study_to_task_premium,manifest_field_evidence_sources,PASS,error,"[{'path': 'docs/VISUAL_BRIDGE_PREMIUM_REBUILD_CRITIQUE_2026_06_01.md', 'role': 'premium rebuild criteria'}, {'path': 'v9/source_inventory.csv', 'role': 'public source inventory'}, {'path': 'v9/task_manifest_index.csv', 'role': 'task contract index'}, {'path': 'docs/VISUAL_BRIDGE_CONTENT_BRIEFS_B1_B4_2026_06_01.md', 'role': 'B2 brief'}]"
b2_study_to_task_premium,manifest_field_claim_boundary,PASS,error,"'a task contract ties public source records to mission context, samples, labels, tissue, assay, and evaluation scope'"
b2_study_to_task_premium,manifest_field_generator,PASS,error,'scripts/build_bridge_premium_rebuild_scenes.py'
b2_study_to_task_premium,manifest_field_outputs,PASS,error,"{'scene_plate': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/scene_plate.png', 'rendered_preview_png': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/rendered_preview.png', 'rendered_preview_pdf': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/rendered_preview.pdf', 'overlay_spec': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/overlay_spec.json', 'manifest': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/manifest.json', 'qa': 'output/premium_bridge_rebuild_scenes/b2_study_to_task_premium/qa.json'}"
b2_study_to_task_premium,overlay_field_slide_id,PASS,error,'b2_study_to_task_premium'
b2_study_to_task_premium,overlay_field_canvas,PASS,error,"{'width_px': 3840, 'height_px': 2160, 'aspect_ratio': '16:9'}"
b2_study_to_task_premium,overlay_field_coordinate_system,PASS,error,'normalized_0_1'
