figure_id,variant,source,output,width_px,height_px
fig1_tissue_transfer,grayscale,output/premium_figures/premium_fig1_tissue_transfer_hierarchy.png,output/premium_figures/color_qa/fig1_tissue_transfer_grayscale.png,3256,1826
fig1_tissue_transfer,original,output/premium_figures/premium_fig1_tissue_transfer_hierarchy.png,output/premium_figures/color_qa/fig1_tissue_transfer_original.png,3256,1826
fig1_tissue_transfer,deuteranopia_approx,output/premium_figures/premium_fig1_tissue_transfer_hierarchy.png,output/premium_figures/color_qa/fig1_tissue_transfer_deuteranopia_approx.png,3256,1826
fig1_tissue_transfer,protanopia_approx,output/premium_figures/premium_fig1_tissue_transfer_hierarchy.png,output/premium_figures/color_qa/fig1_tissue_transfer_protanopia_approx.png,3256,1826
fig2_pathway_manuscript,grayscale,output/premium_figures/manuscript_variants/premium_fig2_pathway_rescue_manuscript.png,output/premium_figures/color_qa/fig2_pathway_manuscript_grayscale.png,2304,1808
fig2_pathway_manuscript,original,output/premium_figures/manuscript_variants/premium_fig2_pathway_rescue_manuscript.png,output/premium_figures/color_qa/fig2_pathway_manuscript_original.png,2304,1808
fig2_pathway_manuscript,deuteranopia_approx,output/premium_figures/manuscript_variants/premium_fig2_pathway_rescue_manuscript.png,output/premium_figures/color_qa/fig2_pathway_manuscript_deuteranopia_approx.png,2304,1808
fig2_pathway_manuscript,protanopia_approx,output/premium_figures/manuscript_variants/premium_fig2_pathway_rescue_manuscript.png,output/premium_figures/color_qa/fig2_pathway_manuscript_protanopia_approx.png,2304,1808
fig3_model_manuscript,grayscale,output/premium_figures/manuscript_variants/premium_fig3_model_tier_comparison_manuscript.png,output/premium_figures/color_qa/fig3_model_manuscript_grayscale.png,2304,1840
fig3_model_manuscript,original,output/premium_figures/manuscript_variants/premium_fig3_model_tier_comparison_manuscript.png,output/premium_figures/color_qa/fig3_model_manuscript_original.png,2304,1840
fig3_model_manuscript,deuteranopia_approx,output/premium_figures/manuscript_variants/premium_fig3_model_tier_comparison_manuscript.png,output/premium_figures/color_qa/fig3_model_manuscript_deuteranopia_approx.png,2304,1840
fig3_model_manuscript,protanopia_approx,output/premium_figures/manuscript_variants/premium_fig3_model_tier_comparison_manuscript.png,output/premium_figures/color_qa/fig3_model_manuscript_protanopia_approx.png,2304,1840
fig6_organoid_manuscript,grayscale,output/premium_figures/manuscript_variants/premium_fig6_organoid_biology_check_manuscript.png,output/premium_figures/color_qa/fig6_organoid_manuscript_grayscale.png,2304,1824
fig6_organoid_manuscript,original,output/premium_figures/manuscript_variants/premium_fig6_organoid_biology_check_manuscript.png,output/premium_figures/color_qa/fig6_organoid_manuscript_original.png,2304,1824
fig6_organoid_manuscript,deuteranopia_approx,output/premium_figures/manuscript_variants/premium_fig6_organoid_biology_check_manuscript.png,output/premium_figures/color_qa/fig6_organoid_manuscript_deuteranopia_approx.png,2304,1824
fig6_organoid_manuscript,protanopia_approx,output/premium_figures/manuscript_variants/premium_fig6_organoid_biology_check_manuscript.png,output/premium_figures/color_qa/fig6_organoid_manuscript_protanopia_approx.png,2304,1824
