gene,nes_r,note,panel,pathway,source,task,tissue,transfer_auroc
1.0,,D3,confounder_feature_comparison,0.056,evaluation/RESULTS_SUMMARY.md:Category D,"Mission ID
liver",,
1.0,,D5,confounder_feature_comparison,0.386,evaluation/RESULTS_SUMMARY.md:Category D,"Hardware
liver",,
1.0,,D5,confounder_feature_comparison,0.352,evaluation/RESULTS_SUMMARY.md:Category D,"Hardware
thymus",,
0.886,,D6,confounder_feature_comparison,0.413,evaluation/RESULTS_SUMMARY.md:Category D,"Gravity
liver",,
0.657,,D6,confounder_feature_comparison,0.641,evaluation/RESULTS_SUMMARY.md:Category D,"Gravity
thymus",,
0.67,,,gene_pathway_detection_delta,0.574,evaluation/RESULTS_SUMMARY.md:J5 Category A,,liver,
0.824,,,gene_pathway_detection_delta,0.688,evaluation/RESULTS_SUMMARY.md:J5 Category A,,gastrocnemius,
0.432,,,gene_pathway_detection_delta,0.743,evaluation/RESULTS_SUMMARY.md:J5 Category A,,kidney,
0.923,,,gene_pathway_detection_delta,0.879,evaluation/RESULTS_SUMMARY.md:J5 Category A,,thymus,
0.789,,,gene_pathway_detection_delta,0.915,evaluation/RESULTS_SUMMARY.md:J5 Category A,,eye,
,0.619,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,thymus,0.86
,0.335,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,eye,0.754
,0.147,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,skin,0.772
,0.059,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,liver,0.577
,0.057,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,gastrocnemius,0.801
,0.048,,nes_transfer,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,kidney,0.555
