gene,nes_r,note,panel,pathway,source,task,tissue,transfer_auroc,variant
1.0,,D3,confounder_feature_comparison,0.056,evaluation/RESULTS_SUMMARY.md:Category D,"Mission ID
liver",,,manuscript
1.0,,D5,confounder_feature_comparison,0.386,evaluation/RESULTS_SUMMARY.md:Category D,"Hardware
liver",,,manuscript
1.0,,D5,confounder_feature_comparison,0.352,evaluation/RESULTS_SUMMARY.md:Category D,"Hardware
thymus",,,manuscript
0.886,,D6,confounder_feature_comparison,0.413,evaluation/RESULTS_SUMMARY.md:Category D,"Gravity
liver",,,manuscript
0.657,,D6,confounder_feature_comparison,0.641,evaluation/RESULTS_SUMMARY.md:Category D,"Gravity
thymus",,,manuscript
0.67,,,gene_pathway_detection_delta,0.574,evaluation/RESULTS_SUMMARY.md:J5 Category A,,liver,,manuscript
0.824,,,gene_pathway_detection_delta,0.688,evaluation/RESULTS_SUMMARY.md:J5 Category A,,gastrocnemius,,manuscript
0.432,,,gene_pathway_detection_delta,0.743,evaluation/RESULTS_SUMMARY.md:J5 Category A,,kidney,,manuscript
0.923,,,gene_pathway_detection_delta,0.879,evaluation/RESULTS_SUMMARY.md:J5 Category A,,thymus,,manuscript
0.789,,,gene_pathway_detection_delta,0.915,evaluation/RESULTS_SUMMARY.md:J5 Category A,,eye,,manuscript
,0.619,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,thymus,0.86,manuscript
,0.335,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,eye,0.754,manuscript
,0.147,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,skin,0.772,manuscript
,0.059,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,liver,0.577,manuscript
,0.057,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,gastrocnemius,0.801,manuscript
,0.048,,pathway_activity_agreement,,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer,,kidney,0.555,manuscript
