sample_name,radiation,hlu,timepoint,condition_raw,tissue,osd_id,group
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep1_M62,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep2_M63,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep3_M64,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep4_M65,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep5_M66,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_1mon_Rep6_M67,0,0,1 month,non.irradiated...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_4mon_Rep1_M83,0,0,4 month,non.irradiated...Normally.Loaded.Control...4.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_4mon_Rep2_M85,0,0,4 month,non.irradiated...Normally.Loaded.Control...4.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_4mon_Rep3_M95,0,0,4 month,non.irradiated...Normally.Loaded.Control...4.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IRC_4mon_Rep4_M97,0,0,4 month,non.irradiated...Normally.Loaded.Control...4.month,brain,OSD-202,NL_Ctrl
Mmus_C57-6J_BRN_HLLC_IR_1mon_Rep1_M50,1,0,1 month,cobalt.57.gamma.radiation...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Rad
Mmus_C57-6J_BRN_HLLC_IR_1mon_Rep2_M51,1,0,1 month,cobalt.57.gamma.radiation...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Rad
Mmus_C57-6J_BRN_HLLC_IR_1mon_Rep3_M52,1,0,1 month,cobalt.57.gamma.radiation...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Rad
Mmus_C57-6J_BRN_HLLC_IR_1mon_Rep4_M53,1,0,1 month,cobalt.57.gamma.radiation...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Rad
Mmus_C57-6J_BRN_HLLC_IR_1mon_Rep5_M54,1,0,1 month,cobalt.57.gamma.radiation...Normally.Loaded.Control...1.month,brain,OSD-202,NL_Rad
