"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",3.38107102229e-05,0.000525032028747032,0.557332238758646,-0.449020618715116,-1.89048049646707,86,"reactome","Psmd2; Abcf1; Psmc1; Uba52; Os9; Psma4; Psmc4; Psmd3; Psmc3; Abcb9; Abcg1; Rps27a; Abcc6; Psmc5; Psma7; Kcnj11; Sem1; Ubc; Psmd8; Abca2; Eif2s1; Abca3; Derl3; Erlin2; Psmb6; Ubb; Abcd1; Abcg4; Psmb3; Abcg8","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.575809199318569,0.71044789972677,0.0639271933359996,-0.309957366731523,-0.916854119193643,17,"reactome","Abcg1; Abca2; Abca3; Abcd1; Abcg4; Abcg8","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",6.33601280221093e-05,0.000820449240705387,0.538434096309916,-0.496345588231894,-1.99584640169346,64,"reactome","Psmd2; Psmc1; Uba52; Os9; Psma4; Psmc4; Psmd3; Psmc3; Rps27a; Abcc6; Psmc5; Psma7; Kcnj11; Sem1; Ubc; Psmd8; Abca3; Derl3; Erlin2; Psmb6; Ubb; Abcd1; Psmb3; Abcg8","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.04342546848537,0.116551812947153,0.321775918075361,0.463850299202232,1.54527850895967,20,"reactome","Rb1; Ube2e1; Anapc15; Skp2; Cdc16; Ube2c; Cdc27; Anapc4; Anapc10; Anapc7; Ube2d1; Anapc11","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.12289156626506,0.229524282697802,0.197822021315103,0.421970908837886,1.33803039102657,17,"reactome","Cdkn1a; Rb1; Cdkn1c; E2f2; Cdk6; Tfdp1","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",3.98870819607362e-06,8.84842001863678e-05,0.610526878385931,-0.700027270942947,-2.24961653819063,23,"reactome","Gtf2f1; Polr2j; Polr2b; Polr2e; Supt5; Polr2d; Polr2a; Ncbp2; Polr2l; Polr2i; Polr2g; Polr2f; Nelfcd; Supt4a; Polr2k; Nelfb","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.732530120481928,0.82173399480274,0.069119845655101,0.260650905493111,0.8264997081407,17,"reactome","Unc13b; Ppfia1; Ppfia2; Snap25","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.0177739113951906,0.0566080142677111,0.352487857583619,-0.466791980974853,-1.60870103085296,32,"reactome","Aph1a; Uba52; Neurl1a; Dlk1; Rps27a; Ubc; Psen2; Psen1; Ubb; Dtx1; Mib2; Dtx2; Dtx4; Aph1c; Arrb1; Arrb2","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.00796210228922548,0.0325368616104816,0.380730400722792,-0.440395072496768,-1.67535157896882,48,"reactome","H4c12; H2ac19; H2bc3; H4c8; H2bc7; H2aj; H2bc8; H2bc4; H2ac4; H4c18; H4c3; H4c17; H4c6; H4c2; H2bc6; H2bc18; H2az2; H3c4; H3c15; H3c11; H2ac20; H2ac18; Klk1b27; H4c4; H3c7; H3c1; H4c11","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.414634146341463,0.570848415106183,0.0817515582532145,-0.316915637122927,-1.01844412078778,23,"reactome","Uba52; Rps27a; Ubc; Irak1; Mapkapk2; Ubb","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.199300699300699,0.330877237060802,0.127505315300183,-0.390233610479093,-1.24327791038391,22,"reactome","Camkk2; Tubb4a; Tubb2a; Tubb2b; Tubb3; Mapt","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",7.98734356649308e-08,3.44644310607075e-06,0.704975715167238,-0.516635848768125,-2.18044936854242,93,"reactome","H4c12; Polr2j; Polr2b; H2ac19; Polr2e; Eed; Polr2d; H2bc3; H4c8; Polr2a; H2bc7; H2aj; Polr2l; Pax6; Polr2i; Jun; Ctcf; H2bc8; H2bc4; Polr2g; H2ac4; Polr2f; Pbx1; Wdr5; H4c18; H4c3; Kmt2d; H4c17; Hdac3; H4c6; H4c2; Crebbp; Polr2k; H2bc6; Pagr1a; Rbbp7; H2bc18; H2az2; Rara; H3c4; Ncoa3; Dpy30; H3c15; H3c11; Ncoa6; Polr2c; H2ac20; H2ac18; Pcgf2; H4c4; H3c7; H3c1; H4c11","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.0216978411317818,0.0656979200842528,0.352487857583619,-0.373322456440421,-1.49311958368823,63,"reactome","Psmd2; Psmc1; Uba52; Psma4; Psmc4; Psmd3; Psmc3; Rps27a; Psmc5; Psma7; Sem1; Ubc; Pttg1","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.00136955134706578,0.00936290763685847,0.45505986738723,0.490094966484638,1.9213959088496,36,"reactome","Atr; Rfc2; Mcm10; Orc5; Orc4; Mcm5; Orc3; Dbf4; Rfc3; Cdc7; Rfc5; Hus1; Clspn; Mcm6; Rad9b; Rpa3","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.18342151675485,0.312997156534571,0.134273452883202,-0.441060996298006,-1.25724946441654,15,"reactome","Akt1; Bad; Ywhah; Ywhae","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.113522537562604,0.218384012668849,0.169570644405628,-0.386034130822478,-1.33111063707677,30,"reactome","Akt1; Ppp1r13b; Dynll2; Bad; Ywhah; Ywhae; Bcl2l11; Ywhag; Bmf; Akt2; Bbc3; Ywhaz; Bid; Trp63; Dynll1","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.838383838383838,0.895528174559905,0.0647943366000727,0.200805330729311,0.810804664249955,43,"reactome","Sc5d; Scd1; Tgs1; Chd9; Med1; Idi1; Dhcr7; Ggps1; Cyp51; Hmgcs1","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.339464882943144,0.494635828095439,0.0905428948469474,-0.355669447476916,-1.08012572287654,18,"reactome","Uba52; Rps27a; Ubc; Ptpn11; Traf3; Ubb; Ticam1; Ticam2","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.035390409417881,0.0978864504764291,0.321775918075361,-0.437338788242057,-1.50801772836758,30,"reactome","Gngt1; Gng13; Gnb2; Grik4; Gng7; Gng4; Gng8; Gngt2; Gng11; Gng3; Plcb2; Dlg3; Grik3; Gng5","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.336236933797909,0.492573513528743,0.0934449219410994,-0.340348335849401,-1.09374773934324,23,"reactome","Mmp11; Mmp3; Col18a1; Ctsl; Timp2; Mmp17; Mmp9; Furin; Klk1b27; Mmp13; Mmp16","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",0.00486164322269841,0.0231780972941806,0.407017918923954,-0.428485232937651,-1.66576766712322,54,"reactome","Psmd2; Nfkbib; Psmc1; Uba52; Psma4; Psmc4; Rela; Psmd3; Psmc3; Rps27a; Psmc5; Psma7; Sem1; Ubc","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.271186440677966,0.41635545341377,0.0988903007520636,-0.264452569059994,-1.11340638538855,86,"reactome","Nrgn; Prkaca; Src; Camkk2; Tubb4a; Tubb2a; Tubb2b; Camk2a; Tubb3; Ppm1f; Mapt; Mapk1; Camk2g; Rps6ka1; Grin2d; Grin2c; Apba1; Grin1","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_SMO",0.717391304347826,0.811450934262317,0.0526973085708419,-0.262299168659548,-0.796571314089885,18,"reactome","Ptch1; Kif3a; Gas8; Evc2; Arrb1; Arrb2; Gas1; Smo; Cdon; Evc","eye","OSD-397","GLDS-397","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
