"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"HALLMARK_ADIPOGENESIS",2.33036685836437e-30,5.82591714591092e-29,1.43181244608859,-0.639068632537727,-2.90392984419802,200,"hallmark","Atp5o; Aldh2; Dlat; Acaa2; Taldo1; Ech1; Hadh; Uqcr10; Etfb; Uqcr11; Hspb8; Angptl4; Immt; Mdh2; Sspn; Mtarc2; Aco2; Cpt2; Bckdha; Acadl; Mtch2; Suclg1; Por; Decr1; Pgm1; Aldoa; Ndufb7; Scp2; Ppp1r15b; Pim3; Echs1; Sod1; Chchd10; Uqcrc1; Cs; Sdhb; Tob1; Cd36; Acads; Phyh; Gpam; Uqcrq; Coq9; Cavin2; Esrra; Itih5; Cd151; Ak2; Crat; Ndufa5; Dbt; Ndufs3; Cmbl; Dnajb9; Dram2; Hibch; Sdhc; Samm50; Cyc1; Acadm; Idh3a; Fzd4; Retsat; Acox1; Arl4a; Coq5; Cox7b; Grpel1; Slc5a6; Pdcd4; Abcb8; Itga7; Dhrs7; Cavin1; Dhcr7; Gbe1; Lpcat3; Mylk; Cox8a; Vegfb; Sorbs1; Ddt; Tst; Idh3g; Cidea; Pparg; Dld; Riok3; Sowahc; Pfkfb3; Lpl; Ndufab1; Plin2; Prdx3; Qdpr; Slc1a5; Ubqln1; Adipor2; Gphn; Atl2; Cat; Aifm1; Cyp4b1; Ucp2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ALLOGRAFT_REJECTION",0.785714285714286,0.835866261398176,0.0888945288620449,0.177700850767761,0.905988372500694,188,"hallmark","Gpr65; Irf7; Hdac9; Mtif2; Stat1; Hcls1; Cd86; Stab1; Prkcb; Tnf; Cd4; Gbp2; Glmn; Jak2; Timp1; Il27ra; Fyb; Hif1a; Ccl5; Ccl2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANDROGEN_RESPONSE",0.0753623188405797,0.114185331576636,0.195789002148949,-0.316125706075644,-1.30545227480321,100,"hallmark","Abcc4; Myl12a; Ank; Ell2; Dbi; Krt8; Dnajb9; Ccnd1; Sord; Scd1; Xrcc5; Pa2g4; Tnfaip8; Arid5b; Ptk2b; Dhcr24; Srf; Cdk6; Plpp1; Slc26a2; Klk1; Sec24d; Adrm1; Krt19; Iqgap2; Gnai3; Elk4; Gpd1l; Rrp12; Zbtb10; Akt1; Slc38a2; Adamts1; Spdef","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANGIOGENESIS",0.00549455631375648,0.0119529266220401,0.407017918923954,-0.485856428150436,-1.64930092123044,34,"hallmark","Ccnd2; Lrpap1; Olr1; Stc1; Vcan; Fgfr1; Jag2; Kcnj8; Lpl; Slco2a1; Msx1; Cxcl5; Postn","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_JUNCTION",0.35427807486631,0.402588721438989,0.0760837160951725,-0.231888875768886,-1.04971376102196,197,"hallmark","Hadh; Nrap; Sympk; Nrtn; Tspan4; Actn2; Cdh15; Akt2; Flnc; Map3k20; Itgb1; Madcam1; Crat; Mpzl2; Cldn8; Vcan; Pecam1; Acta1; Mapk11; Inppl1; Lima1; Pdzd3; Actn3; Rras; Icam2; Nexn; Irs1; Mapk13; Sorbs3; Cldn15; Cdh1; Egfr; Myl9","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_SURFACE",0.279179810725552,0.340463183811649,0.0985499803531691,-0.312199427950323,-1.1171885963177,43,"hallmark","Ephb4; Atp8b1; Slc22a12; Flot2; Gstm5; Adam10; Slc2a4; Atp6v0a4; Adipor2; Akap7; Hspb1; Rhcg; Srpx","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APOPTOSIS",0.00556974179909244,0.0119529266220401,0.407017918923954,-0.326995022274042,-1.43476110531562,158,"hallmark","Txnip; Gstm2; Cav1; Mcl1; Ccnd2; Jun; Etf1; Bnip3l; Atf3; Sod1; Ank; F2r; Casp9; Ccnd1; Retsat; Tgfbr3; Krt18; Bcap31; Pdcd4; Vdac2; Dpyd; Rela; Nedd9; Hmox1; Bid; Gna15; Wee1; Cth; Egr3; Anxa1; Erbb3; Avpr1a; Ereg; Gsn; Igf2r; Psen1; Cdc25b; Sqstm1; Dap3; Cflar; Hspb1; Erbb2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_BILE_ACID_METABOLISM",7.69397985792614e-08,3.49726357178461e-07,0.704975715167238,-0.511448702553082,-2.13308756236731,104,"hallmark","Mlycd; Idh2; Pfkm; Scp2; Sod1; Prdx5; Phyh; Aldh1a7; Pxmp2; Gstk1; Pecr; Aldh9a1; Retsat; Hsd17b4; Slc35b2; Acsl1; Slc27a2; Ar; Abcd3; Hacl1; Pex12; Tfcp2l1; Dio2; Pex19; Gclm; Sult1b1; Dhcr24; Abca6; Aqp9; Gnpat; Rxra; Pex26; Cat; Acsl5; Cyp27a1; Hsd3b3; Amacr; Pex16; Abca8b; Slco1a5; Nr1h4; Paox; Rbp1; Rxrg; Gc; Pnpla8; Abca1; Cyp39a1; Abcd1; Nr1i2; Ch25h; Pex11g; Cyp7b1; Hsd17b11; Lipe; Abcd2; Isoc1; Pex6; Abca9; Akr1d1; Slc29a1; Slc22a18","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.309063893016345,0.367933205971839,0.0891647117820678,-0.277132749550609,-1.09276366909364,73,"hallmark","Ech1; Atf5; Atf3; Scd1; Dhcr7; Gpx8; Fabp5; Cd9; Stard4; Pparg; Avpr1a; Lpl; Pnrc1; Atxn2; Ethe1; Cpeb2; Plscr1","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_COAGULATION",0.0612535612535613,0.0957086894586895,0.216542836735348,-0.309225615382572,-1.33638817953606,131,"hallmark","Hmgcs2; S100a1; Maff; Csrp1; Dusp6; Olr1; F3; Casp9; Rac1; S100a13; Iscu; Pecam1; P2ry1; Itgb3; Cd9; Dpp4; Mep1a; Anxa1; Sirt2; Gsn; Apoc1; Acox2; F13b; Vwf; Gnb2; Tfpi2; Crip2; Hpn; Pdgfb; Rgn; Ctsb; Klk8; Gda","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_COMPLEMENT",0.853260869565217,0.870674356699201,0.0351652290409302,-0.184709589434647,-0.830990901209772,188,"hallmark","Usp15; Hspa1a; Cd36; Fdx1; Maff; Csrp1; Actn2; Dusp6; Olr1; F3; Casp9; Lap3; Pdp1; Hspa5; S100a13; Cdh13; Cd55; Cr1l; Atox1; Ctsd; Pik3cg; Dock9; Dpp4; Apoc1; Cr2; Psen1; Ltf; Gnb2; Klk1; F7; Tfpi2; Gnai3; Cebpb; Plscr1; Pdgfb; Ctsb","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
