"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",9.30891445193978e-07,1.14809944907257e-05,0.659444398037935,-0.799656624140676,-2.308721237517,17,"kegg","Cox7c; Cox6c; Cox7a2l; Cox6b1; Cox7a2; Cox4i1; Cox5a; Gsto1; Cox6a2; Cox7b; Cox7a1; Cox5b; Cox8a","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.000317148199642854,0.00306116957916146,0.49849310876659,-0.70627308059578,-1.99324024002759,16,"kegg","Gstm2; Gstm1; Gsto1; Gstp2; Mgst1; Gstm5; Gsta3; Gstp1; Mgst2; Gstt2; Mgst3; Gstm4","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.415185783521809,0.774432300509338,0.0776798560117236,-0.366141433553242,-1.03332246258639,16,"kegg","Jun; Mapk3; Esr2; Hras; Esr1; Chrna9; Map2k2; Mapk1","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.316639741518578,0.682466239001208,0.0925528864684773,-0.400195982399339,-1.12943103444186,16,"kegg","Tuba8; Tubb6; Tubb2b; Tubb1; Tuba4a; Tuba3a","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.761306532663317,0.900418035234398,0.0692836467392548,0.271247686788128,0.786075374880412,15,"kegg","Nfkbia; Prkd1; Chuk","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.926020408163265,0.965148031043403,0.0605092988656667,0.205616392097146,0.638243540945993,19,"kegg","Chrna3; Araf; Chrna7; Braf; Kras; Chrnb4; Chrnb2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",2.66995058441802e-05,0.000311962647232,0.575610261071129,-0.70078496204011,-2.07923516886978,20,"kegg","Gstm2; Gstm1; Gsto1; Gstp2; Mgst1; Gstm5; Gsta3; Ahr; Cyp1a1; Arnt; Gstp1; Mgst2; Gstt2; Mgst3; Gstm4","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.25686591276252,0.587878686941026,0.105125131597001,-0.416312870267007,-1.17491603213532,16,"kegg","Tuba8; Tubb6; Tubb2b; Tubb1; Tuba4a; Tuba3a","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.326860841423948,0.69772218073189,0.0908241419007155,-0.38679905146119,-1.1167433093167,17,"kegg","Arpc5l; Nck1; Arpc1a; Wipf3; Arpc3; Arpc4; Nck2; Wipf1; Arpc2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.778894472361809,0.900418035234398,0.0681513438679483,0.267268695740566,0.774544265006649,15,"kegg","Elk1; Araf; Grb2; Braf; Kras","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
