"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",1.51460770714126e-11,1.09051754914171e-10,0.863415391606693,-0.828061416140264,-2.62922162171233,25,"mitocarta","Hsd17b10; Bckdhb; Etfb; Etfa; Hadha; Bckdha; Echs1; Etfdh; Aldh6a1; Dbt; Acat1; Hibch; Bckdk; Hmgcl; Hibadh; Dld; Mccc2; Bcat2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.160202360876897,0.230691399662732,0.141225119642531,-0.463049976144225,-1.27408227639485,15,"mitocarta","Etfb; Etfa; Etfdh; Dld; Sardh; Amt","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",6.10369170734487e-07,2.44147668293795e-06,0.659444398037935,-0.800885353251408,-2.24194437920292,16,"mitocarta","Acaa2; Hadh; Etfb; Etfa; Echs1; Hadhb; Etfdh; Acat1; Aadat; Dld; Dlst","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",5.85701304076845e-11,3.51420782446107e-10,0.839088935621274,-0.861172860930357,-2.57199297400878,20,"mitocarta","Idh2; Mdh2; Aco2; Suclg1; Sdhd; Sdha; Cs; Sdhb; Ogdh; Suclg2; Idh3b; Sdhc; Idh3a; Sucla2; Fh1; Idh3g; Dld; Dlst; Mrps36","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",2.70441513833492e-05,8.11324541500476e-05,0.575610261071129,-0.657208788040053,-2.11780634294027,27,"mitocarta","Sod1; Prdx5; Prdx2; Txn2; Aldh9a1; Msrb3; Prdx4; Mgst1; Prxl2a; Txnrd1; Aifm2; Prdx3; Txnrd2; Cat; Nit1; Msra; Sod2; Gpx1","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.000309482150530573,0.000857027493776972,0.49849310876659,-0.633663210742556,-1.96209159645909,23,"mitocarta","Aldh2; Aldh1b1; Mpst; Mtarc2; Cyb5r3; Maob; Gstk1; Mgst1; Tst; Gstz1","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",1.42985564420033e-06,5.1474803191212e-06,0.643551836150722,-0.726642351707483,-2.24999467815999,23,"mitocarta","Ech1; Mlycd; Acot2; Cyb5r3; Acot13; Phyh; Dbi; Hsd17b4; Acaa1b; Ehhadh; Echdc1","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.354131534569983,0.439611560155841,0.0886261133285098,-0.390785929047758,-1.07524770913532,15,"mitocarta","Hadha; Gpam; Triap1; Pnpla8; Agpat4; Tamm41","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",3.33953779093865e-13,4.00744534912638e-12,0.932595211336209,-0.753709697601413,-2.72867752215031,45,"mitocarta","Hsd17b10; Acad10; Acaa2; Hadh; Etfb; Pccb; Slc25a20; Etfa; Hadha; Cpt2; Acadl; Decr1; Echs1; Hadhb; Acads; Eci2; Etfdh; Acsm1; Crat; Acadvl; Eci1; Acss1; Acat1; Acad11; Acadm; Cpt1b; Acsl1; Acacb; Acaa1a; Acsm4","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.130148270181219,0.195222405271829,0.156312403073186,-0.42220424039937,-1.32671344162459,24,"mitocarta","Gpam; Akr1b7; Chpt1; Triap1; Pnpla8; Acp6; Pisd; Prelid3b; Agpat4; Tamm41","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.000962267598712584,0.0024744023966895,0.477270815362862,-0.605166894260847,-1.87385484521504,23,"mitocarta","Hspa9; Fdx1; Cisd1; Iscu; Grpel1; Isca1; Bola3; Ndufab1; Fdx2; Grpel2; Nfs1; Glrx5; Bola1; Isca2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS",8.74846758531501e-06,2.86313484610309e-05,0.593325476396405,-0.647177316987567,-2.15488061586279,31,"mitocarta","Fech; Ndufv1; Aco2; Ndufs8; Sdhb; Ndufv2; Ndufs7; Fdx1; Uqcrfs1; Etfdh; Cisd1; Iscu; Ndufs2; Isca1; Ndufs1; Bola3; Fdx2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING",0.00834741574996575,0.0150253483499383,0.380730400722792,-0.628349545850678,-1.72890413776795,15,"mitocarta","Fech; Alas1; Fdx1; Fdx2; Abcb10; Cox10; Alas2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING",0.00756668275658674,0.0143368725914275,0.407017918923954,-0.546465102435421,-1.69208905782967,23,"mitocarta","Suclg1; Ak3; Hint1; Ak2; Suclg2; Sucla2; Nudt9; Paics; Dhodh; Nme6","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM",0.450406504065041,0.491352549889135,0.0738052724171275,-0.324025974213624,-1.00441026218082,22,"mitocarta","Slc25a32; Qdpr; Sardh; Amt; Mthfsl; Chdh; Mthfd1l; Sfxn1; Mthfs; Mthfd2l","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES",0.182113821138211,0.252157598499062,0.128788713061714,-0.38019527864154,-1.22515095250663,27,"mitocarta","Hsd17b10; Grsf1; Mrps7; Mrm1; Mrps9; Rpusd3; Supv3l1; Rpusd4; Pus1; Ptcd2","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY",0.5,0.529411764705882,0.0697792517076235,-0.339529618168785,-0.977148854362506,17,"mitocarta","Grsf1; Endog","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS",0.624378109452736,0.642217484008529,0.0789209638180035,0.290428541888923,0.898949029484266,17,"mitocarta","Mettl17; Mettl5; Nsun4; Trub2; Mtpap","eye","RR-1","GLDS-100","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
