"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",0.00679101023567077,0.0188639173213077,0.407017918923954,0.278073126332026,1.43282570701131,199,"hallmark","Ak2; Gpam; Scp2; Esrra; Rmdn3; Ppm1b; Grpel1; Enpp2; Etfb; Taldo1; Echs1; Gpx4; Cox8a; Pfkl; Uqcr10; Ephx2; Ndufb7; Prdx3; Uqcr11; Sncg; Sdhc; Sdhb; Idh1; Uck1; Aldoa; Arl4a; Ndufs3; Ech1; Acaa2; Nkiras1; Sod1; Cdkn2c; Atp5o; Coq5; Apoe; Mrpl15; Sult1a1; Pex14; Dram2; Slc19a1; Dlat; Ndufa5; Tkt; Suclg1; Ptger3; Fah; Bckdha; Cox6a1; Ddt; Decr1; Pim3; Aldh2; Aco2; Sowahc; Dbt; Idh3g; Araf; Uqcrc1; Rnf11; Mrap; Uqcrq; Hibch; Miga2; Cmpk1; Lipe; Angptl4; Coq3; Jagn1; Nmt1; Chchd10; Mgst3; Cox7b; Rab34; Omd; Sqor; Pgm1; Cpt2; Bcl2l13; Retn; Gbe1; Gphn; Gadd45a","eye","RR-3","GLDS-194"
"HALLMARK_ALLOGRAFT_REJECTION",0.500998003992016,0.648238747553816,0.0789209638180035,0.19300178107279,0.981213953367608,180,"hallmark","Rps3a1; Psmb10; Ctss; Rpl39; Rps9; Rps19; Mtif2; Rpl9; Bcl10; Ripk2; Il12b; Ltb; Npm1; Nck1; Socs1; Map4k1; Jak2; Irf7; Stat1; H2-T23; Il15; Ifngr2; Hcls1; Abi1; Spi1; Bcat1; Tnf; Tap1; Il18; H2-Oa; H2-M3; Ly86; Il12a; H2-DMa; Il7; Ccl4; Degs1; Dars; Apbb1; Rars; Ifnar2; Crtam; Lyn; Ptpn6; B2m; Eif3d; Il4ra; Ncf4; Tlr1","eye","RR-3","GLDS-194"
"HALLMARK_ANDROGEN_RESPONSE",0.427734375,0.594075520833333,0.0862865626267245,-0.217588188097361,-1.01174277059997,98,"hallmark","Zmiz1; Pmepa1; Rps6ka3; Arid5b; Slc38a2; Map7; Ptpn21; Elovl5; Elk4; Zbtb10; Actn1; Mak; Scd1; Cdc14b; Pias1; Maf; Homer2; Ndrg1; Appbp2; Pgm3; Cdk6; Fkbp5; Scd2; Rrp12; Lifr; Akap12; Spcs3","eye","RR-3","GLDS-194"
"HALLMARK_ANGIOGENESIS",0.994197292069632,1,0.0444181153081573,0.147878322337515,0.542800678295618,33,"hallmark","Lrpap1; Apoh; Pglyrp1; Tnfrsf21; Vtn; Stc1; Itgav","eye","RR-3","GLDS-194"
"HALLMARK_APICAL_JUNCTION",0.000351076178900666,0.00159580081318484,0.49849310876659,-0.317670916588474,-1.61205278056119,195,"hallmark","Wasl; Adamts5; Tmem8b; Sdc3; Nfasc; Actn3; Pkd1; Vwf; Nectin1; Pcdh1; Nf1; Nrap; Atp1a3; Myh10; Msn; Tjp1; Acta1; Mpzl1; Actn4; Cadm2; Cdh4; Tial1; Wnk4; Nlgn2; Actn2; Pten; Actn1; Cdsn; Irs1; Cdh15; Negr1; Adam23; Flnc; Fscn1; Actc1; Cldn11; Pik3cb; Icam2; Ctnnd1; Dlg1; Cd276; Amigo1; Myh9; Map3k20; Cldn5; Stx4a; Itga9; Cd86; Rac2; Cdh11; Cadm3; Sorbs3; Pecam1; Lima1; Rras; Vcl; Nlgn3; Cdh8; Cdh6; Plcg1; Fyb; Nexn; Ptprc; Cdk8; Cd34","eye","RR-3","GLDS-194"
"HALLMARK_APICAL_SURFACE",0.0342374641903499,0.0815177718817854,0.321775918075361,-0.397057324986898,-1.54457047796292,41,"hallmark","Mdga1; Tmem8b; Ncoa6; Rtn4rl1; Adam10; Sulf2; Rhcg; Efna5","eye","RR-3","GLDS-194"
"HALLMARK_APOPTOSIS",0.0896686159844055,0.166052992563714,0.208955027549354,0.246457437490686,1.22571674747278,157,"hallmark","Gna15; Bcl10; Ppp2r5b; Gpx4; Tnfrsf12a; Casp1; Ddit3; Ccnd1; Ctnnb1; Vdac2; Bcl2l2; Sod1; Casp7; H1f0; Cd69; Etf1; Krt18; Tnf; Rnasel; Gsr; Nefh; Pak1; Tap1; Il1a; Aifm3; Il18; Sqstm1; Bcap31; Casp3; Eno2; Birc3; Nedd9; Tspo; Ebp; Irf1; Sc5d; Hgf; Gch1; Igfbp6; Cd14; Btg3; Ifitm3; Gpx1; Lmna; Fez1; Sat1; Bcl2l10; Ier3; Ank; Timp3; Bax; Mgmt; Mcl1","eye","RR-3","GLDS-194"
"HALLMARK_BILE_ACID_METABOLISM",0.063265306122449,0.131802721088435,0.257206466468838,0.286181713985318,1.3170296509877,100,"hallmark","Ttr; Scp2; Prdx5; Paox; Bmp6; Slc35b2; Rbp1; Atxn1; Ephx2; Pnpla8; Bbox1; Pex26; Idh1; Rxrg; Pex16; Fads2; Lonp2; Sod1; Cyp27a1; Hacl1; Nr1h4; Slc27a5; Cyp46a1; Mlycd; Idi1; Pex7; Slc22a18; Acsl5; Hsd3b7; Amacr; Hsd17b4; Lipe","eye","RR-3","GLDS-194"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.176938369781312,0.315961374609486,0.14641623786055,0.270771232378856,1.17748852808587,73,"hallmark","Fdft1; Pmvk; Mvd; Fdps; Tnfrsf12a; Tmem97; Nsdhl; Fbxo6; Pcyt2; Ech1; Fads2; Ctnnb1; Errfi1; Ethe1; Idi1; Atf5; Gldc; Ebp; Mvk; Sc5d; Ldlr; Mal2; Gpx8; Aldoc; Tm7sf2; Sema3b; Anxa5; Lgmn; Alcam; Lss; Plscr1; Hmgcs1; Clu; Gnai1; Pdk3; Nfil3; Plaur; Actg1","eye","RR-3","GLDS-194"
"HALLMARK_COAGULATION",1,1,0.0459538081039063,-0.133444189997425,-0.637110689653366,123,"hallmark","Fn1; Vwf; Serpinc1; Tfpi2; Acox2; Arf4; Ctso; Cpn1; Ctse; Klf7; C1rb; Mep1a; Lrp1","eye","RR-3","GLDS-194"
