"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.00337516352720348,0.0153991835928659,0.431707695803346,-0.361066654632198,-1.61176842890109,86,"reactome","Uba52; Psma7; Rps27a; Psmc1; Sem1; Abcb6; Psmd2; Psmc3; Psma5; Psmb6; Psmd14; Psmd8; Psmb1; Psma1; Eif2s1; Psmb7; Os9; Psmc5; Psma2; Psma4; Psmb3; Psma6; Psmb4; Abcb10; Psmd3; Psmd6; Psma3; Psmd12; Psmd13; Adrm1; Rnf185; Psmd1","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.0120522879808854,0.0409852650281662,0.380730400722792,0.54876304272364,1.62829888405166,17,"reactome","Abcg4; Abcd1; Abca5; Abca3; Abca2; Abca7; Abcg1; Abcd2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.000333883960962895,0.00226842367350208,0.49849310876659,-0.430034197073513,-1.83104458569649,64,"reactome","Uba52; Psma7; Rps27a; Psmc1; Sem1; Abcb6; Psmd2; Psmc3; Psma5; Psmb6; Psmd14; Psmd8; Psmb1; Psma1; Psmb7; Os9; Psmc5; Psma2; Psma4; Psmb3; Psma6; Psmb4; Psmd3; Psmd6; Psma3; Psmd12; Psmd13; Adrm1; Rnf185; Psmd1; Psmc2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.552123552123552,0.684470774828567,0.0721797965581253,-0.29684325117938,-0.940420830392996,20,"reactome","Anapc15; Cdc26; Anapc11; Cdc16; Ube2s","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.964774951076321,0.986394557823129,0.0463227785794633,-0.186358226300476,-0.558440779907059,17,"reactome","Cdkn1c; Ccnd1; E2f1; Tfdp1; Cdk4","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.0108702763146269,0.0380286024425445,0.380730400722792,-0.488531324928532,-1.6086183242434,23,"reactome","Polr2h; Nelfb; Polr2f; Polr2i; Polr2l; Ctdp1; Ncbp2; Polr2k; Polr2j; Polr2g; Polr2c; Polr2d; Gtf2f1; Supt4a","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.631364562118126,0.74178561751003,0.0681513438679483,0.294639930543111,0.874260532777926,17,"reactome","Syt1; Stxbp1; Vamp2; Ppfia1; Slc5a7; Unc13b","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.245833333333333,0.420779344512195,0.125033367555272,0.327464845898933,1.16151496575156,32,"reactome","Numb; Notch1; Dll4; Adam10; Ncstn; Ubc; Dlk1; Psen1; Psen2; Dner; Mib1","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",2.89266752650954e-06,3.81623005003367e-05,0.627256739718528,-0.575735926147969,-2.27535001934797,46,"reactome","H2ac19; H4c1; H2aj; H3c3; H3c7; H2ac13; H4c4; H3c1; H2ac20; H2bc7; H3c11; H4c2; H4c3; H4c12; H2ac4; H4c11; H2ac10; H2bc14; H4c18; H3f3b; H2bc18; H4c6; H4c8; H3c8; H2bc3; H2ax; H3c4; H2bc21; H3f3a; H4c17; H2ac18; H2az2; H2bc8; H2bc4; H3c10","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.481624758220503,0.639257884972171,0.0793434960134973,-0.300260887720649,-0.988688219965599,23,"reactome","Uba52; Rps27a; Ripk2; Mapkapk2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
