"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.0017026441473913,0.0150513742629391,0.45505986738723,0.640033915987658,1.89616349366363,17,"kegg","Cox6b1; Cox7a2l; Cox6b2; Cox8a; Cox5b; Cox7b; Cox4i1; Cox7c; Cox6a1; Cox7a1; Cox7a2","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.656996587030717,0.784844571533991,0.0577308549299813,0.29448130265263,0.861595750394226,16,"kegg","Gstt2; Gsta1; Gstm4; Gstp1; Gstm5; Gsta5; Gstm7; Gstm2","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.546689303904924,0.702432186994117,0.0662842187012672,0.322112562910141,0.92303104278445,15,"kegg","Src; Fos; Jun; Mapk1","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0125744967924774,0.0591268891731383,0.380730400722792,0.608131333454083,1.7426333633085,15,"kegg","Tubb4a; Tubb2a; Tubb2b; Tubb3; Mapt; Tubb5; Cdk5; Tuba3a; Tuba4a; Tuba1a; Tubb4b","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.590799031476998,0.740782122905028,0.080419996876154,-0.297520134910381,-0.895645441490434,15,"kegg","Ikbkb; Chuk; Prkd3","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.345070422535211,0.52064655454486,0.110122263835536,-0.333635226310671,-1.06723354225,19,"kegg","Araf; Kras; Myc; Raf1; Nras","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.918854415274463,0.967987117552335,0.0577308549299813,-0.20615604737863,-0.671535139534397,20,"kegg","Gsto2; Gstm1; Gsto1; Mgst2; Cyp1a1","eye","TBD","GLDS-397"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0324177276729861,0.121429115520846,0.321775918075361,0.557486466462285,1.59750774644717,15,"kegg","Tubb4a; Tubb2a; Tubb2b; Tubb3; Mapt; Tubb5; Tuba3a; Tuba4a; Tuba1a; Tubb4b","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.931442080378251,0.967987117552335,0.0566484183613995,-0.197756288175661,-0.615449585487514,17,"kegg","Nck1; Actr3; Actr2; Arpc1a","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.387409200968523,0.541882489962301,0.104732821580651,-0.34861774108082,-1.04946809974989,15,"kegg","Araf; Kras; Raf1; Nras","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.329297820823245,0.519820131442407,0.115240003147781,-0.366763689588649,-1.10409410369229,15,"kegg","Araf; Kras; Raf1; Nras","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0998278829604131,0.242439144332432,0.184706471207739,0.419135741451538,1.35882031305336,25,"kegg","Prkaca; Atf4; Creb3l2; Adcy5; Adcy3; Atf6b; Gnai2; Creb3l1; Adcy9","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.0121746993589045,0.0584914903982151,0.380730400722792,0.463924294598286,1.60207706612036,33,"kegg","Atf4; Gngt1; Gng13; Gnb2; Creb3l2; Gng7; Atf6b; Gng4; Gng8; Gngt2; Gng11; Gng3","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.886759581881533,0.953901041057434,0.0448645113168564,0.228757325164627,0.682489404813281,18,"kegg","Calm3; Calm2; Plcb2; Ptgs2; Calm1; Nfatc1; Nfatc2; Ppp3r2; Plcb3","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.181049069373942,0.37048004010779,0.132147260608774,0.372826224072355,1.2504202015878,29,"kegg","Akt1; Rela; Gngt1; Gng13; Gnb2; Gng7; Gng4; Gng8; Gngt2; Gng11; Gng3","eye","TBD","GLDS-397"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.85146804835924,0.926967678263015,0.0463227785794633,0.237822837225695,0.704573571247378,17,"kegg","Calm3; Calm2; Calm1; Nfatc1; Nfatc2; Ppp3r2; Ccr5; Plcg1; Cxcr4; Plcg2; Nfatc4","eye","TBD","GLDS-397"
