"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.226591760299625,0.75018268176836,0.123257226381337,-0.425131652407196,-1.22522884364847,17,"kegg","As3mt; Cox7a2; Cox5a; Cox4i1; Cox6c; Cox5b; Cox7b; Cox7c; Cox7a1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.158119658119658,0.75018268176836,0.161978948883402,0.441692540053762,1.27815784505946,16,"kegg","Gstt2; Gstm2; Gsta3; Gstm1; Gstp2; Gstm4; Mgst1; Gsta1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.162921348314607,0.75018268176836,0.148261500475107,-0.45763745677794,-1.30205335323716,16,"kegg","Chrna9; Nras; Raf1; Hras; Esr1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0821052631578947,0.710199806638737,0.227987202850442,0.507072024560976,1.44365987138705,15,"kegg","Tubb4b; Tuba1a; Tuba1c; Tubb2b; Tubb4a; Tuba4a; Tubb2a; Tuba1b; Tubb1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.49146110056926,0.800710732054016,0.077274697304471,-0.346123052649051,-0.968639623895771,15,"kegg","Nfkbia; Ptpn11; Acp1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.332699619771863,0.75018268176836,0.0992333343771191,-0.386594031873403,-1.11341912769521,18,"kegg","Chrna4; Nras; Raf1; Hras","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0274693807405222,0.454301296862482,0.352487857583619,0.501174474073194,1.54942849307704,20,"kegg","Gstt2; Cyp1a1; Gstm2; Gsta3; Ahr; Gstm1; Gstp2; Gstm4; Mgst1; Arnt; Gsta1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0272442741886413,0.454301296862482,0.352487857583619,0.540496504272701,1.53882106692645,15,"kegg","Gsk3b; Tubb4b; Tuba1a; Tuba1c; Tubb2b; Tubb4a; Tuba4a; Tubb2a; Tuba1b; Tubb1","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.460674157303371,0.773259396179914,0.0799858801499946,-0.346166664772265,-0.997651856753145,17,"kegg","Actg1; Nck2","gastrocnemius","RR-1","GLDS-101"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.223908918406072,0.75018268176836,0.125033367555272,-0.434480812046253,-1.21591245410959,15,"kegg","Nras; Raf1; Hras","gastrocnemius","RR-1","GLDS-101"
