"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.290909090909091,0.612714833972968,0.11146266692298,-0.390811501826056,-1.13466621087388,17,"kegg","Cox5a; Cox6c; Cox7a2; Gsto1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.0644088231046064,0.367464114832536,0.287805130535564,0.519152097368953,1.48459410772242,15,"kegg","Gstm2; Gstm1; Gstm7; Gstp2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.353965183752418,0.670344827586207,0.0965629554309422,0.367690300413725,1.08902896520796,16,"kegg","Fos; Raf1; Braf; Nras; Hras; Map2k2; Mapk3","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.643426294820717,0.785198190289689,0.066132620475844,0.30296800055696,0.866382916942451,15,"kegg","Mapt; Cdk5; Tuba8; Tubb4a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.952,0.977637495161242,0.047925896705813,-0.212413721387376,-0.595677678524186,15,"kegg","Ptpn11; Src; Prkd3; Abl1; Nfkb1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.315280464216634,0.636454021222365,0.103576326612592,0.376883667016384,1.11625797425935,16,"kegg","Fos; Raf1; Braf; Nras; Hras; Map2k2; Mapk3","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0918163672654691,0.419739696312364,0.208955027549354,0.449079927999505,1.38024919753538,19,"kegg","Gstm2; Gstm1; Gstm7; Gstp2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.428286852589641,0.717131474103586,0.0873098257637931,0.357564653816923,1.02251032188194,15,"kegg","Gsk3b; Mapt; Tuba8; Tubb4a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.224242424242424,0.572093023255814,0.129442887745046,-0.413608900019459,-1.20085524908035,17,"kegg","Wipf1; Nck1; Wasl; Actr2; Actg1; Actr3; Arpc5; Arpc1b","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.33,0.650793650793651,0.102821842840815,-0.401172653484359,-1.12501957667389,15,"kegg","Sos2; Mapk1; Grb2; Src; Kras; Map2k1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
