"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.270793036750484,0.382538910505837,0.11331290842208,0.347076783705788,1.12924746321318,25,"mitocarta","Dld; Etfa; Etfdh; Hibch; Mccc2; Aldh6a1; Acat1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.0113148630948657,0.0746780964261134,0.380730400722792,0.598464933466255,1.69893089161062,15,"mitocarta","Dld; Etfa; Hadh; Etfdh; Hadhb; Acaa2; Dlst; Acat1; Slc25a29","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.00272656800322987,0.0456697803294001,0.431707695803346,0.609981923958742,1.8879534271857,20,"mitocarta","Dld; Sdha; Sucla2; Sdhd; Idh3b; Idh3a; Idh2; Mdh2; Dlst; Aco2; Sdhc; Fh1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.0297803885168232,0.144628525243332,0.352487857583619,0.485568642412282,1.61524669854107,27,"mitocarta","Cat; Aldh9a1; Oxr1; Msrb3; Prdx3; Msrb2; Mgst1; Txnrd1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.0676081691998405,0.171620737199595,0.287805130535564,0.482160555392184,1.510796353089,21,"mitocarta","Akr1b10; Bphl; Acsm5; Mgst1; Ephx2; Cyb5b","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.278210116731518,0.382538910505837,0.111918316325105,0.359078620902879,1.12513283151302,21,"mitocarta","Phyh; Ephx2; Hsd17b4; Mlycd; Lypla1; Echdc1; Acot2; Acot9; Acss3; Dbi; Ehhadh; Fasn","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.216061185468451,0.339524720021852,0.128142916898415,0.429099724902946,1.21813449285469,15,"mitocarta","Pnpla8; Triap1; Plscr3; Crls1; Pgs1; Agpat4; Pld6; Prelid3a; Ptpmt1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.0438268258313126,0.144628525243332,0.321775918075361,0.400335956648012,1.46493396651169,42,"mitocarta","Etfa; Hadh; Etfdh; Acsm5; Acadm; Hadhb; Acaa2; Acads; Mmut; Pcca; Acat1; Acadl; Acad10; Acsl6; Cpt2; Acacb","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.099609375,0.219140625,0.197822021315103,0.412694775326681,1.34169641025653,24,"mitocarta","Pnpla8; Lactb; Chpt1; Triap1; Sptlc2; Akr1b7; Agk; Pgs1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.0557692307692308,0.167307692307692,0.266350657088526,0.456236901785147,1.47126451622452,23,"mitocarta","Nubpl; Glrx5; Ndufab1; Isca2; Isca1; Iba57; Abcb7; Nfs1; Fxn","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS",0.060952380952381,0.167619047619048,0.252961123069611,0.404742795108552,1.38663070389702,31,"mitocarta","Nubpl; Uqcrfs1; Etfdh; Glrx5; Isca2; Ndufs1; Isca1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING",0.94263862332696,0.94263862332696,0.0463227785794633,0.215186697034734,0.610875101634636,15,"mitocarta","Alas1; Abcb7; Abcb6","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING",0.197095435684647,0.325207468879668,0.141225119642531,-0.373232484261185,-1.20621956797556,23,"mitocarta","Nme4; Dguok; Nme3; Fhit; Hint1; Nudt5; Ak4; Dhodh; Suclg1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM",0.0403594600378486,0.144628525243332,0.321775918075361,-0.484250588589122,-1.54173416646225,21,"mitocarta","Sfxn3; Aldh1l1; Mthfs; Aldh7a1; Shmt2; Sardh","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES",0.498076923076923,0.576609967568999,0.077274697304471,0.290698419588569,0.967009855040975,27,"mitocarta","Grsf1; Trub2; Fastkd1; Trmt10c; Ddx28; Mrm2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY",0.489795918367347,0.576609967568999,0.0762797180809272,0.329106264069721,0.972564109143289,17,"mitocarta","Grsf1; Pnpt1; Fastkd1; Lrpprc","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS",0.658627087198516,0.679209183673469,0.0615706755421678,0.295494121914786,0.87323460174629,17,"mitocarta","Ngrn; Trub2; Mrm2; Nsun4; Mettl15; Mettl17; Trit1; Rpusd4","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS",0.389690721649485,0.494607454401269,0.0946646223153342,-0.328327199011383,-1.03776749153117,20,"mitocarta","Trmt1; Hsd17b10","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME",0.0027678654745091,0.0456697803294001,0.431707695803346,-0.371005622293123,-1.59242760158303,83,"mitocarta","Mrps21; Mrpl23; Dap3; Mrps35; Mrps26; Mrpl54; Mrpl33; Aurkaip1; Mrps36; Mrpl37; Mrpl27; Mrpl38; Mrpl58; Mrps16; Mrpl20; Mrpl57; Mrpl45; Mrpl49; Mrpl51; Mrpl13; Mrpl10; Mrpl24; Mrps11; Mrps23; Mrps28; Mrpl40; Mrps15; Mrpl34; Mrps34; Mrps18b; Mrps10; Mrpl16; Mrpl21; Mrpl53; Mrpl46; Mrpl11; Mrpl22; Mrps24","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY",0.24609375,0.369140625,0.120433371642259,0.356260660314667,1.15822558858769,24,"mitocarta","Grsf1; Ptcd3; Ngrn; Mief1; Ddx28; Mrm2; Nsun4","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES",0.0831721470019342,0.196048632218845,0.216542836735348,0.455147767475142,1.40872664210085,20,"mitocarta","Hars2; Yars2; Cars2; Mars2; Qrsl1; Dars2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS",0.302103250478011,0.398776290630975,0.105520936843198,0.392791883133657,1.11506326755786,15,"mitocarta","Gfm1; Timm21; Mtrf1; Tufm; Taco1; Mtif2; Gfm2; Tsfm","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS",0.55984555984556,0.615830115830116,0.0714786287425507,0.275029673795646,0.952819593229054,33,"mitocarta","Ghitm; Bnip3l; Mcl1; Bcl2l11; Cycs; Bcl2a1d; Aifm1; Bcl2l2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY",0.617710583153348,0.65756287884066,0.0721797965581253,-0.303618447732703,-0.899734210193507,17,"mitocarta","Nipsnap1; Tomm7; Parl; Park7; Fkbp8; Rab24","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION",0.166347992351816,0.325207468879668,0.148261500475107,0.452701074038053,1.28513434345092,15,"mitocarta","Slc25a46; Mtfr1; Mief1; Mief2; Spire1; Armc10; Mff; Stx17; Mtfp1; Oma1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS",0.186582809224319,0.325207468879668,0.14641623786055,-0.360756991596717,-1.23955043426902,29,"mitocarta","Pet100; Cox17; Cep89; Higd1a; Coa8; Cmc2; Cox10; Cox15; Surf1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS",0.174397031539889,0.325207468879668,0.142056643575821,0.428483338158024,1.26624000073763,17,"mitocarta","Cox5a; Ndufa4; Cox6c; Cox7a2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS",0.011223352334578,0.0746780964261134,0.380730400722792,0.556613669807023,1.74408688769643,21,"mitocarta","Ndufaf1; Nubpl; Ndufaf4; Tmem126b; Aifm1; Lyrm2; Tmem126a; Dmac2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS",0.0403216819173348,0.144628525243332,0.321775918075361,-0.413252483786693,-1.46482871080869,35,"mitocarta","Ndufa3; Ndufb7; Ndufs5; Ndufs3; Ndufv3; Ndufa13; Ndufa11; Ndufa5; Ndufs2; Ndufb11; Ndufv1; Ndufa10; Ndufs8; Ndufa7","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS",0.506717850287908,0.576609967568999,0.0762797180809272,0.245511503080904,0.977619918048322,67,"mitocarta","Ndufaf1; Nubpl; Atpaf1; Pet117; Timm21; Cox11; Ndufaf4; Tmem126b; Aifm1; Lyrm2; Cox20; Tmem126a; Dmac2; Sdhaf4; Rab5if; Taco1","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_OXPHOS_OXPHOS_SUBUNITS",0.039958254945735,0.144628525243332,0.321775918075361,0.344818883213752,1.38090353947898,69,"mitocarta","Atp5pb; Dmac2l; Sdha; Cox5a; Uqcrfs1; Sdhd; Ndufb6; Ndufab1; Ndufa4; Cox6c; Cyc1; Ndufs4; Ndufs1; Cox7a2; Ndufc2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES",0.00695746189810177,0.0746780964261134,0.407017918923954,0.52210007308988,1.74676915267743,28,"mitocarta","Atad1; Yme1l1; Immp1l; Clpx; Lactb; Xpnpep3; Nln; Afg3l2","gastrocnemius","RR-9","GLDS-326"
"MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY",0.196190476190476,0.325207468879668,0.135002033828631,0.31666209696209,1.18856369087298,48,"mitocarta","Slc25a5; Ucp1; Slc25a46; Slc25a12; Slc25a22; Slc25a42; Slc25a4; Slc25a40; Slc25a27; Slc25a2; Slc25a30; Slc25a29; Slc25a3; Slc25a33; Slc25a28; Slc25a15; Slc25a37","gastrocnemius","RR-9","GLDS-326"
