"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.24009324009324,0.644208286078324,0.135002033828631,0.260564749800978,1.12479745850376,82,"reactome","Ubc; Psmc4; Psmc3; Sem1; Abcb1a; Psmb3; Psmb6; Os9; Abca7; Psmd2; Psmd11; Psmc5; Uba52; Psmd1; Psmb5; Psmb4; Psmb1; Adrm1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.030701707179664,0.242187435913538,0.352487857583619,0.368114548250412,1.49736990352442,59,"reactome","Ubc; Psmc4; Psmc3; Sem1; Psmb3; Psmb6; Os9; Psmd2; Abcc8; Psmd11; Psmc5; Uba52; Psmd1; Psmb5; Psmb4; Psmb1; Adrm1; Abcd4; Abcd1; Psmc2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.44988864142539,0.781937369761519,0.0908241419007155,0.326119980650614,1.00231724253608,20,"reactome","Anapc15; Anapc4; Anapc5; Ube2s; Cdc23; Ube2d1; Anapc1; Anapc11; Anapc2; Ube2c; Fzr1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.277477477477477,0.680479924593012,0.107140237276725,-0.398464330102167,-1.16172487983621,17,"reactome","Ccne2; Rb1; Ccnd1; Tfdp1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.0724946695095949,0.369658078182867,0.245041785430996,0.449735397433774,1.45262669972631,23,"reactome","Polr2j; Gtf2f1; Polr2e; Nelfa; Supt4a; Polr2f; Ncbp2; Gtf2f2; Nelfcd; Ncbp1; Polr2c; Polr2h","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.197826086956522,0.589531680440771,0.144630528034484,0.347402298256009,1.20971202891626,31,"reactome","Ubc; Numb; Uba52; Psen1; Dtx4; Jag2; Psenen; Dtx1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.993392070484581,0.994350352025996,0.0503964322442957,0.159575581946443,0.559357795746874,32,"reactome","H2ax; H3c10; H2az2; H2ac19; H4c4; H3c4; Ncoa2; H2bc21; H2bc4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.654584221748401,0.851671504822549,0.0686325631836726,0.266142868435008,0.859630437889579,23,"reactome","Ubc; Map3k7; Uba52; Map2k3; Tab1; Ikbkg; Nod2; Irak1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.61063829787234,0.837670485542826,0.072003313661988,0.27448570665104,0.877564409990013,22,"reactome","Mapt; Prkag3; Calm1; Tuba8; Tubb4a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.883990719257541,0.950791433403006,0.0582216241124161,0.184312593364709,0.803401161866844,86,"reactome","Polr2j; Rara; H2ax; Pbx1; H3c10; Hoxc4; Polr2e; H2az2; Zfp335; Hoxb3; Polr2f; H2ac19; Mafb; Hdac3","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.0341909487134241,0.263196511678876,0.321775918075361,0.353814853987397,1.44906024399198,63,"reactome","Ubc; Psmc4; Psmc3; Sem1; Psmb3; Psmb6; Psmd2; Anapc15; Psmd11; Psmc5; Uba52; Psmd1; Psmb5; Psmb4; Psmb1; Adrm1; Anapc4; Anapc5; Psmc2; Ube2s; Cdc23; Ube2d1; Psmd3; Anapc1; Bub1b; Anapc11","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.026587637755476,0.232711436587032,0.352487857583619,-0.44851394706426,-1.55121403839889,35,"reactome","Rpa3; Rad17; Mcm6; Mcm7; Rad1; Atr; Rfc5; Mcm3; Orc3; Cdc7; Chek1; Orc4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.837937384898711,0.924322682310949,0.0499913914024592,-0.265105703937682,-0.738059524921432,15,"reactome","Ywhaq; Ywhah; Ywhag; Ppp3r1; Ywhab; Bid; Akt1; Bcl2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.82089552238806,0.918784737400862,0.051530912208539,-0.228286783270946,-0.768341215982593,30,"reactome","Ywhaq; Tfdp1; Bcl2l11; Ppp1r13b; Ywhah; Ywhag; Mapk8; Ppp3r1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.07847533632287,0.385177109474637,0.241339976815091,0.351457118671297,1.32254827566677,43,"reactome","Ncoa1; Srebf1; Mvk; Acaca; Smarcd3; Elovl6; Tm7sf2; Dhcr7","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.281318681318681,0.681020337128934,0.119348440591015,0.375747122652912,1.13220922447097,18,"reactome","Ubc; Irf7; Uba52; Sarm1; Ikbke; Optn; Tlr4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.101075268817204,0.436090877558099,0.206587922696891,0.396452030804209,1.3537555581186,28,"reactome","Gng2; Calm1; Gng7; Grik5; Gnb2; Plcb3; Gng11; Gng12; Plcb1; Grik4; Dlg3; Gngt2; Gng10; Gng4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.293736501079914,0.684745220382369,0.115240003147781,0.359270456946822,1.13142058123629,21,"reactome","Mmp15; Mmp17; Mmp11; Tpsb2; Mmp14; Mmp25; Timp2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",0.00220365548047501,0.0589477841027065,0.431707695803346,0.439439028732972,1.76224799773612,54,"reactome","Ubc; Psmc4; Psmc3; Sem1; Psmb3; Psmb6; Map3k7; Cul1; Nfkbib; Psmd2; Psmd11; Psmc5; Uba52; Psmd1; Psmb5; Psmb4; Psmb1; Adrm1; Bcl10","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.892773892773893,0.950791433403006,0.0579754757571486,0.183345492754358,0.79145987488998,82,"reactome","Mapt; Prkag3; Prkar2a; Calm1; Camk2b; Prkaca; Camk2a; Rps6ka2; Rps6ka3; Camk1; Tuba8; Nras; Hras; Creb1; Git1; Camk4; Adcy8; Tubb4a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_SMO",0.972972972972973,0.982151963284039,0.0421619430092452,-0.189388493193033,-0.552163162109455,17,"reactome","Ptch1; Dhh","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",3.0624270851902e-08,2.04799811322095e-06,0.719512826338911,0.59924284081134,2.43153435362372,58,"reactome","Rps27; Rps26; Rps17; Eif3k; Rpsa; Rps11; Rps16; Rps18; Rps28; Rps6; Rps29; Rps15a; Rps19; Fau; Eif3f; Rps25; Rps15; Rps2; Rps12; Rps21; Rps20; Eif3c; Eif3d; Rps14; Rps3a1; Rps5; Rps7; Rps23; Eif3h; Rps13","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.0463658617895082,0.315645391577283,0.321775918075361,-0.430766691501277,-1.46732621970096,32,"reactome","Rpa3; Cdt1; Mcm6; Mcm7; Mcm3; Orc3; Prim1; Cdc7; Pole4; Orc4; Gmnn","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.629294755877034,0.83987832373712,0.0625237414724762,-0.287262156848102,-0.874297238442648,20,"reactome","Pnpla8; Pla2r1; Plbd1; Pla2g5","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.106690777576854,0.451221865641238,0.183023938384487,-0.450625745249788,-1.37150277281869,20,"reactome","Plaat1; Pnpla8; Pla2r1; Plbd1; Pla2g5","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",0.911602209944751,0.953669549903624,0.0461379160269737,-0.242111226355885,-0.674042444384278,15,"reactome","Pla2r1; Pla1a; Pla2g5","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.884826325411335,0.950791433403006,0.0471642455670861,-0.20370625079781,-0.759688713258181,49,"reactome","Ilf3; Amot; Cdh2; Ctnnb1; Ago1; Cdh4; Nectin3; Cdh11; Actg1; Sp1; Ang; Ctnna1; Cdh19; Foxf1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADIPOGENESIS",0.391089108910891,0.746192575913938,0.0819778796501272,-0.233782257558849,-1.03174788033886,108,"reactome","Pck1; Ucp1; Rbbp7; Cdk19; Plin1; Tnf; Ncoa6; Bmp7; Cebpa; Cidea; Lep; Wnt10b; Med12; Hnrnpu; Tgfb1; Cd36; Pparg; Ep300; Lpl; Ppara; Ncor2; Med17","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.164079822616408,0.539782227940801,0.161978948883402,0.327616244361531,1.21149433440122,39,"reactome","Adcy2; Gng2; Prkar2a; Prkaca; Gng7; Gnaz; Adcy9; Adcy3; Gnb2; Gng11; Creb1; Adcy8; Gng12","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",0.85501066098081,0.933885670000369,0.055826471778749,0.226699690292509,0.732230606747108,23,"reactome","Gng2; Gng7; Gnb2; Gna11; Gng11; Gng12; Gna15; Gngt2; Gng10; Gng4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",0.840546697038724,0.92563830257976,0.0597317976364411,0.247836724940829,0.750081991801738,19,"reactome","Gng2; Gng7; Gnb2; Gng11; Gng12; Gngt2; Gng10; Gng4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION",0.887218045112782,0.950791433403006,0.0483117581055019,-0.220261127615794,-0.713536669860378,26,"reactome","Gng5; Cacnb2; Adcy6; Adcy5; Gnai2; Gnai1; Cacnb3; Gnb5","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",9.35084711796628e-07,5.5585591201244e-05,0.659444398037935,-0.385832167773494,-1.85603187485849,220,"reactome","Coq10b; Wdr26; Dld; Dlat; Etfa; Ucp1; Pdhb; Fahd1; Atp5pb; Ndufaf1; Dmac2l; Sdha; Cox5a; Sucla2; Nubpl; Got1; Mpc1; L2hgdh; Uqcrfs1; Pdhx; Sdhd; Gid4; Ndufb6; Etfdh; Pet117; Idh3b; Mpc2; Ndufab1; Ndufa4; Cox6c; Slc25a12; Cyc1; Timm21; Isca2; Ndufs4; Vdac1; Ndufb1; Ndufs1; Isca1; Cox7a2; Slc25a22; Me1; Pyurf; Cox11; Ndufc2; Ndufaf4; Rmnd5a; Slc25a4; Mdh1; Idh3a; Idh2; Mdh2; Tmem126b; Uqcrc2; Cycs; Slc25a27; Dlst; Lyrm2; Acat1; Cox20; Tmem126a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AGGREPHAGY",0.209150326797386,0.603209837394077,0.140406238523342,0.32892128726999,1.17588806035593,35,"reactome","Ubc; Hsf1; Dync1i2; Uba52; Dync1h1; Park7; Tuba8; Tubb4a","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",0.486288848263254,0.799276601600126,0.0758886900606117,-0.327291964476973,-0.966032768668399,18,"reactome","Adra2b; Chrm3; Adra1b; Chrm1; Adrb3; Htr2b; Htr7; Htr1b; Hrh1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1",0.25,0.658866995073892,0.128788713061714,0.282883622707522,1.13083956536581,52,"reactome","Nprl2; Slc38a9; Atp6v1b1; Atp6v1f; Lamtor2; Lamtor4; Bmt2; Atp6v1d; Atp6v0d1; Rragb; Atp6v1a; Atp6v0e2; Depdc5; Sesn1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",0.228464419475655,0.630825379000561,0.122679189568808,-0.355200290993577,-1.18578135025797,29,"reactome","Slc7a2; Slc7a8; Slc38a3; Slc1a5","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_AMYLOID_FIBER_FORMATION",0.555035128805621,0.814660614296315,0.0819778796501272,0.228160585164312,0.948410000635458,67,"reactome","Ubc; Mfge8; H2ax; H3c10; Ube2l6; Cst3; Uba52; Psenen; H2ac19; Gga2; Tspan15; H4c4; Bace1; Sncaip; Ins2; Ncstn; H3c4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ANCHORING_FIBRIL_FORMATION",0.197053406998158,0.589531680440771,0.132147260608774,-0.447137229369734,-1.24483889324723,15,"reactome","Col7a1; Col4a6; Lama3; Col1a2; Col4a5; Col4a4; Tll2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",0.390202702702703,0.746192575913938,0.0833634065110386,-0.237039039364952,-1.02093572564377,97,"reactome","Cdk5rap2; Nedd1; Pafah1b1; C2cd3; Odf2; Tmem67; Cep76; Cep72; Iqcb1; Ccp110; Haus5; Haus1; Pcm1; Cep152; Cdk1; Haus6; Cep57; Septin2; Ywhag; Sfi1; Cep70; Plk4; Pcnt; Sclt1; Cep250; Prkar2b","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",0.0223315062196669,0.211457625265872,0.352487857583619,-0.449177028140611,-1.54079466972321,34,"reactome","Dapp1; Fyn; Nck1; Ahcyl1; Pik3r1; Sh3kbp1; Ighm; Grb2; Btk; Iglc1; Pik3ap1; Itpr3; Iglc2; Sos1; Orai2; Ptpn6; Syk","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.0602636534839925,0.36846919558784,0.252961123069611,-0.443317998236671,-1.45623316418198,27,"reactome","Tap1; Hspa5; Sec24a; Canx; Pik3c3; H2-M2; B2m; Tap2; Pik3r4; H2-D1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.306763285024155,0.695235148514851,0.119887845115423,0.246634225084351,1.08114268501707,91,"reactome","Ubc; Psmc4; Psmc3; Sem1; Psmb3; Psmb6; Psmb10; Psmd2; Ncf4; Psmd11; Psmc5; Calr; Uba52; Psmd1; Psmb5; Itgb5; Psmb4; Psmb1; Adrm1; Stx4a; Tapbp; Psmc2; Tirap; Vamp8; Cyba; Cybb; Tlr4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
