"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.582504970178926,0.720111171860762,0.0709609456938284,0.311382173159998,0.916806849872344,17,"kegg","Cox7a1; Cox6a1; Cox6b1; Cox4i2; Cox6b2; Cox5a","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.229979466119097,0.482072342441952,0.128788713061714,-0.426390115790188,-1.20360392907223,16,"kegg","Gsta5; Gsta3; Gstm7; Gsto2; Gstt2; Mgst1","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.575697211155379,0.720111171860762,0.0716527366829457,0.326245686825837,0.927715328973688,15,"kegg","Hras; Jun; Fos","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",2.58530899307724e-09,6.27171364849456e-08,0.774939030136436,0.891470315468167,2.53499344322774,15,"kegg","Tuba1c; Tubb4b; Tubb6; Tuba4a; Tubb2b; Tubb2a; Tuba8; Tuba1b; Tuba1a; Mapt; Tubb3; Tubb1; Tubb5; Tubb4a","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.58,0.720111171860762,0.0714786287425507,-0.328383498120995,-0.917955243651729,15,"kegg","Prkd1; Prkd3; Ikbkg; Prkd2; Abl2; Nfkb1; Abl1; Ptpn11","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.647773279352227,0.767316153362665,0.0665892104103933,-0.293690579101695,-0.864776449048822,18,"kegg","Mapk1; Bcl2; Raf1; Chrnb2; Mapk3","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0442377432459132,0.18195901938885,0.321775918075361,-0.517267826373587,-1.559098354553,20,"kegg","Ahr; Gsta5; Gsta3; Gstm7; Gsto2; Gstt2; Cyp1a1; Mgst1; Cyp1b1; Arnt","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",2.56262470549013e-08,4.65543488164039e-07,0.73376198835648,0.867145699146656,2.46582373357602,15,"kegg","Tuba1c; Tubb4b; Tubb6; Tuba4a; Tubb2b; Tubb2a; Tuba8; Tuba1b; Tuba1a; Mapt; Tubb3; Tubb1; Tubb5; Tubb4a","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.282306163021869,0.534277096044423,0.112378519110475,0.390962748007098,1.1511170398109,17,"kegg","Actb; Actg1; Actr2; Arpc1b; Arpc5l; Arpc3; Wasl; Actr3; Arpc5","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.778,0.860934010152284,0.0572461135202884,-0.278178536809319,-0.777613515894127,15,"kegg","Mapk1; Raf1; Mapk3; Sos2; Araf; Braf; Sos1","kidney","RR-1","GLDS-102","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
