"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",0.906548966517396,1,0.143902565267782,-0.153570185256623,-0.926882412990553,198,"hallmark","Cavin1; Rreb1; Mylk; Apoe; Gadd45a; Phldb1; Mdh2; Aco2; G3bp2; Nmt1; Sncg; Mrap; Col4a1; Tkt; Itga7; Stom; Uqcrq; Mgll; Sparcl1; Pfkl; Pparg; Stat5a; Ubc; Vegfb; Crat; Miga2; Ucp2; Aldh2; Gpd2; Cs; Dhcr7; Acly; Lipe; Ndufa5; Uqcrc1; Chchd10; Ywhag; Pfkfb3; Lpcat3; Adig; Baz2a; Bckdha; Gpx3","kidney","RR-3","GLDS-163"
"HALLMARK_ALLOGRAFT_REJECTION",0.145211122554068,0.250364004403565,0.112843355675562,0.272781651980391,1.18019692089355,193,"hallmark","Itgal; Itk; Cd2; Socs1; Cd28; Cd7; Prf1; Tlr3; H2-Oa; Fasl; Il2rb; Thy1; Ifng; Degs1; Cd3d; Il18rap; Tlr1; Acvr2a; Nck1; Il2ra; Cd4; H2-DMb1; Eif3j2; Rps3a1; Cxcl9; Rpl9; Il18; H2-T23; Stat1; Tpd52; Ly75; Rpl39; H2-Ob; Gbp2; Trat1; Cd3g; H2-Ea; Ccr1; St8sia4; Ache; Ripk2; Krt1; Cd47; Glmn; Gzma; H2-DMa; H2-Q10; Cd86; Inhba; Tap1; Npm1; Gcnt1; Rps9; Prkcg; Ccl7; Ifngr2; Tlr6; Jak2; Bcl10; Irf7; Hif1a; Klrd1; B2m; Zap70; Ptprc; Il4; Itgb2; Ccl22; Il6; Abce1; Il10; Il15; Ereg; Tlr2; Crtam; Gzmb; Il11; H2-Aa; Il12b; Abi1; Galnt1; Ctss; Fgr","kidney","RR-3","GLDS-163"
"HALLMARK_ANDROGEN_RESPONSE",0.107822695213814,0.199671657803359,0.287805130535564,-0.217589199340016,-1.17420483263399,112,"hallmark","Hsd17b14; Rab4a; Akap12; Camkk2; Zmiz1; Krt8; Rrp12; Actn1; Scd2; Iqgap2; Klk1; Srf; Arid5b; Akt1; Tsc22d1; Adrm1; Vapa; Ank; Krt19; Dhcr24; Ccnd3; Cdc14b; Klk1b16; Fkbp5; Cdk6; Abhd2; Pias1; Inpp4b; Gucy1a1","kidney","RR-3","GLDS-163"
"HALLMARK_ANGIOGENESIS",0.514450867052023,0.71451509312781,0.14641623786055,-0.217171197607448,-0.950437346833707,36,"hallmark","Msx1; Slco2a1; Jag2; Jag1; Thbd; App; Pdgfa; Vav2; Vegfa; Ptk2; S100a4; Fgfr1; Vcan; Pf4","kidney","RR-3","GLDS-163"
"HALLMARK_APICAL_JUNCTION",3.48773943354352e-09,4.3596742919294e-08,0.774939030136436,-0.345561455067051,-2.07129899690752,196,"hallmark","Actn4; Sympk; Msn; Epb41l2; Gnai2; Pfn1; Actb; Gtf2f1; Nrxn2; Egfr; Cx3cl1; Speg; Myh9; Jup; Ldlrap1; Actn1; Actg1; Cdh3; Itga3; Actg2; Sorbs3; Src; Baiap2; Col16a1; Evl; Map4k2; Itgb4; Nrap; Ctnna1; Zyx; Shc1; Taok2; Pik3r3; Lama3; Vasp; Cap1; Tsc1; Tjp1; Akt3; Cldn14; Myh10; Lima1; Crat; Cldn11; Mvd; Mmp2; Myl12b; Wnk4; Mpzl1; Cldn5; Vwf; Rras; Stx4a; Dhx16; Vav2; Nrtn; Vcl; Thbs3; Skap2; Nexn; Rsu1; Cdsn; Lamb3; Actc1; Cnn2; Rhof; Flnc; Ptk2; Pkd1; Cldn9; Cldn19; Cldn6; Arhgef6; Mdk; Akt2; Plcg1; Cercam; Parva; Nectin4; Pecam1; Sdc3; Syk; Mmp9; Icam1; Cdh6; Nf2","kidney","RR-3","GLDS-163"
"HALLMARK_APICAL_SURFACE",0.678362573099415,0.892582333025546,0.126253987849115,-0.193839324964551,-0.892029523706476,44,"hallmark","Crocc; Cx3cl1; Mdga1; Ghrl; App; Sulf2; Slc2a4; Gata3; Flot2; Efna5; Atp8b1; Rtn4rl1; Ncoa6","kidney","RR-3","GLDS-163"
"HALLMARK_APOPTOSIS",0.0352802038883097,0.0852528630811781,0.321775918075361,-0.223689166194183,-1.29224947204242,159,"hallmark","Lmna; Sptan1; Add1; Plat; Sc5d; Psen2; Gadd45a; Casp9; Dffa; Clu; Crebbp; Lgals3; Rhot2; Cdkn1a; Bmp2; Rara; Bcl2l1; Mgmt; Krt18; Aifm3; Ank; Btg2; Gadd45b; Il1b; Rela; Madd; Dap; Mmp2; Ppp2r5b; App; Bcl2l2; Cav1; Gsn; Smad7; Birc3; Avpr1a; Igfbp6; Bcap31; Gpx3; Jun; Cd14; Tgfb2; Ptk2","kidney","RR-3","GLDS-163"
"HALLMARK_BILE_ACID_METABOLISM",0.981798715203426,1,0.0138082722594766,0.157503994154894,0.642582325149786,111,"hallmark","Abca5; Abca6; Pnpla8; Phyh; Akr1d1; Cyp7a1; Slco1a5; Dio2; Paox; Pex12; Nudt12; Bbox1; Hacl1; Pex13; Abcg4; Abcd3; Cyp8b1; Aqp9; Soat2; Crot; Nr1h4; Cyp39a1; Hsd3b3; Gstk1; Abca8b; Abca9; Acsl5; Agxt; Abca4; Pex11a; Abca1; Lonp2; Aldh9a1; Isoc1; Apoa1; Gnmt; Slc35b2; Hsd17b4; Acsl1; Abcg8; Amacr; Gnpat; Ephx2; Nr1i2; Hao1; Slc27a2; Idh2; Idh1; Sod1; Hsd17b6; Rxrg; Ttr","kidney","RR-3","GLDS-163"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.7554299431044e-07,1.7554299431044e-06,0.690132458796796,-0.454130677074398,-2.29427220524855,75,"hallmark","Pcyt2; Anxa5; Sc5d; S100a11; Niban1; Actg1; Scd2; Srebf2; Fdps; Clu; Fasn; Lgals3; Ldlr; Chka; Nfil3; Cd9; Abca2; Jag1; Lss; Sqle; Pparg; Anxa13; Mvd; Dhcr7; Fdft1; Fbxo6; Avpr1a","kidney","RR-3","GLDS-163"
"HALLMARK_COAGULATION",0.132087467381172,0.235870477466379,0.249246554383295,-0.210099863203047,-1.1843915567527,137,"hallmark","Masp2; Plat; Serpina1e; Crip2; Rapgef3; Gnb2; Casp9; Mmp15; Clu; Proc; Sirt2; Cd9; Usp11; Wdr1; Prep; Pdgfb; Thbd; Mmp2; Cfd; Klf7; Vwf; Cpn1; Gsn; Furin; C2; Mmp7; Capn2; Prss23; Hnf4a","kidney","RR-3","GLDS-163"
