"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.0206319516084065,0.131455005962133,0.352487857583619,0.573115057790082,1.6250300087945,17,"kegg","Cox7a2; Cox7a2l; Cox5a; Cox5b; Cox7c; Cox6a1; Cox4i1; Cox6b1; Cox8a; Cox6c; Cox7b; Cox6a2; As3mt","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.913857677902622,0.992043316894606,0.080419996876154,-0.192410911765953,-0.659223789851643,16,"kegg","Gstp1; Gstm1","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.333333333333333,0.688271604938272,0.14641623786055,-0.323713694309112,-1.10908350483213,16,"kegg","Fos; Mapk3; Map2k2; Src","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0136481196003639,0.101451022362705,0.380730400722792,-0.532123737938982,-1.7770757569221,15,"kegg","Mapt; Tubb2b; Tubb6; Tubb1; Tubb4b; Tubb2a; Tubb4a","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.137037037037037,0.441926589694985,0.234392647294686,-0.404430323937673,-1.35063195417192,15,"kegg","Src; Nfkb1; Abl1; Prkd2; Rela; Abl2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.267206477732794,0.608031066677683,0.172324344900946,-0.312326830581488,-1.14808664653616,19,"kegg","Fos; Chrna7; Mapk3; Map2k2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.418326693227092,0.836571758368603,0.133554954557592,-0.268977694939961,-1.00591749276507,20,"kegg","Arnt; Gstp1; Gstm1","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0290905833562141,0.154457144962756,0.352487857583619,-0.490137194956014,-1.63685786711137,15,"kegg","Mapt; Tubb2b; Tubb6; Tubb1; Tubb4b; Tubb2a; Tubb4a","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.593984962406015,0.981175160122529,0.105520936843198,-0.252903779704955,-0.889646355415119,17,"kegg","Actb; Nck2; Actg1","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.740740740740741,0.992043316894606,0.0913924325943768,-0.239944035159796,-0.801314990291663,15,"kegg","Mapk3; Map2k2; Src","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.953551912568306,0.992043316894606,0.0300618095810087,0.206899076711609,0.56616267427251,15,"kegg","Kras; Nras; Raf1; Sos1; Sos2; Map2k1; Araf; Braf; Pdgfra","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0180546136255741,0.125133837720605,0.352487857583619,-0.430777864270296,-1.68328000517806,25,"kegg","Atf6b; Creb3l1; Creb3; Gnai2; Prkaca; Adcy5; Creb1; Adcy1; Creb3l2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.227041788579172,0.550329552751688,0.249246554383295,-0.29009835149046,-1.24369131089006,33,"kegg","Atf6b; Creb3l1; Creb3; Gnb2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.882195448460509,0.992043316894606,0.0328701032730105,0.235407378027683,0.680452107446797,18,"kegg","Ppp3ca; Ppp3cb; Calm2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.885225885225885,0.992043316894606,0.0281514818960232,0.213560482632882,0.694031357449485,30,"kegg","Pik3ca; Gnb3; Gnb4; Chuk; Gng5; Gng2; Gng10","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.507518796992481,0.927677801060027,0.115734447701689,-0.269766749196509,-0.948965671904335,17,"kegg","Plcg2; Gnaq; Calm1; Nfatc3; Nfatc2; Ccr5; Plcg1","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.709844559585492,0.992043316894606,0.114750719227023,-0.210499870381301,-0.828188946136988,26,"kegg","Cfl1; Gnb2; Limk1","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.285185185185185,0.635962962962963,0.158514105424824,-0.345877639898868,-1.15508992533649,15,"kegg","Nfkb1; Tradd; Rela; Tab1; Traf2; Tab3; Ikbkg","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.285185185185185,0.635962962962963,0.158514105424824,-0.346012550886991,-1.15554047288632,15,"kegg","Atp6v0c; Egfr; Mapk3; Map2k2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.785185185185185,0.992043316894606,0.0880945010398517,-0.233754434541836,-0.780644254485345,15,"kegg","Anapc2; Cdc16; Cdc20; Anapc5; Anapc1; Anapc7; Anapc4; Anapc13; Cdc23; Espl1; Anapc11; Pttg1; Anapc10; Cdc27; Cdc26","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.558011049723757,0.964623752623239,0.136490437780413,-0.220030134392673,-0.93294779274977,31,"kegg","Fos; Gnb2; Mapk3; Map2k2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.954602774274905,0.992043316894606,0.0259033757772498,0.191200659808697,0.59231285884171,24,"kegg","Gnb3; Gnb4; Gng5; Gng2; Gng10; Pik3r5","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.992673992673993,0.997145497145497,0.0219398252709772,0.158000939301976,0.506185364696443,28,"kegg","Gnb3; Gnb4; Gng5; Gng2; Gng10; Pik3r5","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.00171055592276542,0.0444276098622683,0.45505986738723,-0.530035634580763,-1.97076057638188,21,"kegg","Klc1; Tubb2b; Plekhm2; Klc2; Tubb6; Tubb1; Tubb4b; Tubb2a; Tubb4a; Kif5a; Klc4; Tubb5; Kif5c","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.32529394756998,0.677949068300052,0.203508959461977,-0.299925116581965,-1.2514050139455,30,"kegg","Wasf2; Actb; Actg1; Wasf3; Cyfip2; Cyth2; Arf1; Arf6; Pik3c2b","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.0832596308231849,0.320118925406383,0.287805130535564,-0.394724501148364,-1.47618292519286,20,"kegg","Wasf2; Actb; Actg1; Wasf3; Cyfip2","kidney","RR-3","GLDS-163"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.207446808510638,0.53442265795207,0.227987202850442,-0.284709768278416,-1.17319138855614,29,"kegg","Wasf2; Actb; Actg1; Wasf3; Cyfip2","kidney","RR-3","GLDS-163"
