"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.0891472868217054,0.802325581395349,0.16823816568964,-0.43441472589722,-1.38760630324954,25,"mitocarta","Bckdhb; Hmgcl; Hibch; Etfdh; Aldh6a1; Bckdk; Dld; Echs1; Mccc1; Etfa; Hibadh; Acad8; Acadsb; Acat1; Dbt; Hsd17b10","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.900398406374502,0.963351575769013,0.0845557442441281,0.207233711170719,0.672721016325738,15,"mitocarta","Gcat; Chdh; Shmt2; Etfb","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.193591455273698,0.963351575769013,0.11101149245045,-0.428384317156525,-1.23643070033464,16,"mitocarta","Acaa2; Etfdh; Dld; Aass; Dhtkd1; Echs1; Etfa; Acat1; Gcdh; Aadat","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_PYRUVATE_METABOLISM",0.193075898801598,0.963351575769013,0.11101149245045,-0.441991277950256,-1.25771691108839,15,"mitocarta","Mpc1; Pdhx; Dld; Pdha1; Pdha2; Pdhb; Mpc2; Dlat; Pdk3; Pdp1; Pdpr","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.936591809775429,0.963351575769013,0.0292811015816512,-0.20195565844131,-0.613273900701128,20,"mitocarta","Sucla2; Sdhd; Suclg1; Dld; Sdhb; Idh3b; Suclg2; Sdhc; Mrps36; Sdha; Idh3a; Fh1; Idh2","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.70280612244898,0.963351575769013,0.0412376090540065,-0.258511176589022,-0.836066680886009,27,"mitocarta","Glrx2; Gpx4; Prdx3; Gpx1; Mgst1; Prdx2; Prdx4; Aldh9a1; Oxr1; Msra; Hagh; Nit1; Aldh3a2","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.87012987012987,0.963351575769013,0.0911073131586733,0.193759196745434,0.733002678965987,23,"mitocarta","Aldh1b1; Cyb5r3; Maob; Aldh2; Cyb5b","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.799741602067183,0.963351575769013,0.0358449292332649,-0.23950728926675,-0.758819952935474,24,"mitocarta","Acot10; Phyh; Lypla1; Acss3; Ehhadh; Acot9; Hao2; Fabp1; Them4; Hsd17b4; Ephx2; Ech1","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.545816733067729,0.963351575769013,0.114750719227023,0.287253139669914,0.932479677026638,15,"mitocarta","Agpat4; Pgs1; Hadha; Prelid1","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.445652173913043,0.963351575769013,0.0597317976364411,-0.290398417098339,-1.02590669450046,44,"mitocarta","Eci2; Acaa2; Etfdh; Decr1; Slc25a20; Cpt1b; Echs1; Mmut; Pcca; Acadvl; Etfa; Acadsb; Crot; Acat1; Acad11; Cpt1a; Mcee; Acadm; Pccb; Acsm3; Hsd17b10; Acsm2","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
