"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.824719101123595,1,0.0275182928235944,-0.202623775702126,-0.805235754561954,86,"reactome","Abca12; Abca5; Abca6; Uba52; Psmc6; Erlin2; Abcb6; Abcc9; Erlec1; Eif2s3x; Psma5; Abcb7; Pex3; Psma3; Abcg4; Abcd3; Rps27a; Psmb2; Psmd7; Psma6; Cftr; Psmb1; Abcb4; Abca8b; Abca9; Eif2s2; Psmc1; Psma7; Derl3; Abca4; Psmb7","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.234354194407457,0.558611506497084,0.0988903007520636,-0.413376060135957,-1.20889534319713,17,"reactome","Abca12; Abca5; Abca6","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.668989547038328,0.992290367290367,0.0391956336118146,-0.232364334618948,-0.882362466340564,64,"reactome","Abca12; Uba52; Psmc6; Erlin2; Abcb6; Abcc9; Erlec1; Psma5; Psma3; Rps27a; Lmbrd1; Psmb2; Psmd7; Psma6; Cftr; Psmb1; Abcb4; Psmc1; Psma7; Derl3; Psmb7; Abcb11; Abca1; Psmd12; Psmd6; Psma1; Apoa1; Psma2; Derl1; Abcc8; Psma4; Abcg8; Sel1l; Sem1; Derl2","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.634920634920635,0.968582375478927,0.0475434194201301,-0.290797711726866,-0.883253378440441,20,"reactome","Rb1; Cdc26; Cdc27; Ube2s; Anapc15; Ube2e1; Anapc10","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0479816609286903,0.16846894281629,0.321775918075361,0.439267250698623,1.50520757046513,17,"reactome","Cdkn1c; E2f1; Cdkn1a; Ccnd3; Tfdp2; Cdk6","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.0742219668922677,0.235213453819049,0.287805130535564,0.359792936209751,1.35317423870368,23,"reactome","Nelfe; Nelfcd; Gtf2f1; Supt5; Polr2f; Nelfb; Polr2a; Polr2b; Ctdp1","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.54127198917456,0.911182374470416,0.0559428593065705,-0.32980167868556,-0.948703478038651,16,"reactome","Syt1; Slc5a7; Ppfia3; Rims1; Chat; Snap25; Cplx1","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.891823899371069,1,0.0292811015816512,-0.213554888940618,-0.714872866052142,32,"reactome","Aph1b; Uba52; Aph1c; Adam10; Neurl1a; Dner; Dlk1; Mib1; Rps27a; Cntn1; Arrb2","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.26027397260274,0.59109448398076,0.231126709673834,0.221960007739702,1.09629831463228,60,"reactome","Klk1; Pkn1; H4c17; H2aj; H2ac19; H2ac10; H3c11; Klk1b16; H4c4; Klk1b24; H3c7; H2bc7; H2ac4; H3c10; H3c2; H2ac23; Ncoa2; H2ax; H3c15; H3c8; H2bc18; H4c12","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.122362869198312,0.347008547008547,0.266350657088526,0.349402393712951,1.31409561036555,23,"reactome","Mapkapk2; Irak1; Ubc; Nod2; Ube2n; Irak2; Tab1; Map2k6; Ube2v1; Traf6; Map2k3; Tab3; Ikbkg","kidney","RR-3","GLDS-163","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
