"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.477428180574555,0.727071360153257,0.0623861492893626,0.340300810162804,0.999976102560192,25,"mitocarta","Acadsb; Hibch; Dld; Ppm1k; Aldh6a1; Acad8; Etfdh; Dbt; Hibadh","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.416129032258065,0.693548387096774,0.118815039412263,-0.34034655315487,-1.00512343993028,15,"mitocarta","Chdh; Gldc; Amt; Dmgdh; Shmt2; Aldh7a1; Gcat","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.830459770114943,0.880790665273424,0.0390355298112393,0.280973354334081,0.743838932893665,16,"mitocarta","Hadhb; Dld; Aadat; Etfdh","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.521739130434783,0.730434782608696,0.106323255932708,-0.286889215998346,-0.935705324038418,20,"mitocarta","Dlst; Ogdh; Cs; Fh1; Mdh2; Idh3g; Aco2; Idh2; Sdha; Ogdhl; Sdhb; Idh3b","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.599728629579376,0.740117746005046,0.0513223330421143,0.307969612833295,0.924430006411948,27,"mitocarta","Mgst1; Prxl2a; Oxr1; Sod2; Msrb3; Prdx4; Prdx3; Glrx2; Txnrd1; Cat; Aldh3a2; Aifm2","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.30949105914718,0.601788170563961,0.0847985102819124,0.385148978472468,1.11501339071045,23,"mitocarta","Mgst1; Abhd10; Maob","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.0281002448930033,0.196701714251023,0.352487857583619,0.520098888591015,1.51912709392735,24,"mitocarta","Lypla1; Ehhadh; Fasn; Acss3; Echdc1; Fabp1; Acot2; Phyh; Lyplal1; Hao2; Acot9; Them4; Them5","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.382947976878613,0.693548387096774,0.0760837160951725,0.414844444520203,1.07704075854726,15,"mitocarta","Ptpmt1; Crls1; Pnpla8; Agpat5","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.715197956577267,0.834397616006812,0.0404934829859503,0.256681199353051,0.855629661935704,45,"mitocarta","Acadsb; Crot; Hadhb; Slc25a20; Acsl1; Acadm; Decr1; Etfdh; Mcee","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.596180081855389,0.740117746005046,0.0518457624865066,0.314894645778202,0.919757758818226,24,"mitocarta","Prelid3b; Chpt1; Ptpmt1; Pnpla8; Lactb; Agpat5","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.0426409903713893,0.213204951856946,0.257206466468838,0.495822702317635,1.43541586088336,23,"mitocarta","Isca1; Isca2; Ndufab1; Abcb7; Lyrm4; Hscb; Nubpl; Glrx5; Grpel2; Fdx1; Cisd1","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS",0.410322580645161,0.693548387096774,0.0668966276500666,0.331594932711434,1.03751965216734,31,"mitocarta","Isca1; Uqcrfs1; Isca2; Lias; Nubpl; Glrx5; Etfdh; Ndufv2; Fdx1; Cisd1; Glrx2; Dna2; Rsad1","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING",0.498563218390805,0.727071360153257,0.0626618230932491,0.373253553041621,0.988138271158375,16,"mitocarta","Hccs; Cpox; Abcb7; Fabp1","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING",0.221458046767538,0.484439477303989,0.104343952581949,0.414268655925455,1.19931539359262,23,"mitocarta","Hint1; Nudt2; Nudt5; Sucla2; Suclg2; Cmpk2; Paics; Ak3; Fhit","kidney","RR-7","GLDS-253"
"MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM",0.613240418118467,0.740117746005046,0.0988903007520636,-0.260695944303649,-0.869145712720948,22,"mitocarta","Sfxn3; Chdh; Aldh1l2; Aldh1l1; Amt; Dmgdh; Shmt2","kidney","RR-7","GLDS-253"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES",0.496607869742198,0.727071360153257,0.0601186142531851,0.330991924600133,0.993535901693105,27,"mitocarta","Mrps9; Tfb1m; Trmt10c; Mtpap; Fastkd2; Ptcd2; Grsf1; Prorp; Fastkd5; Supv3l1; Mrpl47","kidney","RR-7","GLDS-253"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY",0.0399429386590585,0.213204951856946,0.271288554688953,0.539085890203693,1.45375469314042,17,"mitocarta","Fastkd3; Pnpt1; Mtpap; Lactb2; Pde12; Fastkd2; Slirp; Grsf1; Rexo2; Fastkd5; Supv3l1","kidney","RR-7","GLDS-253"
"MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS",0.182596291012839,0.456490727532097,0.119348440591015,0.461212277940606,1.2437526668279,17,"mitocarta","Trit1; Mettl5; Tfb1m; Mtpap; Mettl15; Trmt2b","kidney","RR-7","GLDS-253"
