"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.848837209302326,1,0.0277995594097672,0.217303580776447,0.778842640956516,87,"reactome","Derl1; Derl2; Abcb4; Abcd2; Psmb1; Erlin2; Pex3; Abca5; Psmc6; Abcb7; Abcd3; Psmd14; Eif2s2; Eif2s1; Psma3; Abcg8; Abcg5; Eif2s3x; Psma1; Erlec1; Psma2; Abca8b; Psmd12; Erlin1; Cftr; Abcg4; Psma4","kidney","RR-7","GLDS-253"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.345781466113416,0.844592213697073,0.0791316651768349,0.410835333480502,1.09239177567923,17,"reactome","Abcd2; Pex3; Abca5; Abcd3; Abcg8; Abcg5; Abcg4; Abca6","kidney","RR-7","GLDS-253"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.862275449101796,1,0.11146266692298,-0.194134407206331,-0.800476771964413,64,"reactome","Psmd11; Vcp; Rnf5; Rnf185; Psmc2; Apoa1; Psmd8; Abcc8; Abcd1; Abca3; Ubc; Psmd2; Sel1l; Abcd4; Psmc5; Kcnj11; Os9; Psmc3; Derl3; Adrm1","kidney","RR-7","GLDS-253"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.449061662198391,0.914722998671127,0.0643583367917361,0.367988816757257,1.02031970596071,20,"reactome","Ube2e1; Rb1; Anapc10; Cdc26; Skp2; Anapc4; Cdc27; Cdc16; Ube2d1","kidney","RR-7","GLDS-253"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.153526970954357,0.63768318647334,0.129442887745046,0.494814668192974,1.31568886599941,17,"reactome","Cdkn1b; Ccne2; Rb1; Tfdp2; Tfdp1; E2f3; Cdk6","kidney","RR-7","GLDS-253"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.413533834586466,0.893974702838969,0.130105630751129,-0.302896305107359,-1.018561107813,23,"reactome","Polr2a; Nelfb; Ctdp1; Gtf2f1; Nelfcd; Ncbp1; Polr2c; Nelfe; Nelfa; Supt5; Polr2j; Polr2f","kidney","RR-7","GLDS-253"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.103806228373702,0.553870013914832,0.261663521711573,-0.470710341643725,-1.37626856947836,15,"reactome","Vamp2; Unc13b; Rab3a; Stxbp1","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.956331877729258,1,0.0862865626267245,-0.186603377746804,-0.668979843817188,32,"reactome","Ncstn; Psen1; Neurl1b; Numb; Dll4; Notch1; Ubc","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.825454545454545,1,0.0312771255290148,0.231441624043272,0.793674274052352,61,"reactome","H3f3a; H2bc4; H3f3b; Klk1b27; Klk1b11; H2bc21; Kdm4c; Klk1b3; Klk1b9; H2ac10; H2bc14; Klk1; Klk1b16; Klk1b21; H3c2; H2ac4; H3c3; H3c1; H2az2; Klk1b1; H3c15; H3c11; H2bc3; H3c8; H2bc1; H2bc7; H2ac7; H4c2; H2bc8","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.364661654135338,0.851388998812822,0.139599673451922,-0.31261658505184,-1.05124786873269,23,"reactome","Mapk14; Map2k3; Irak1; Mapk11; Ubc; Ube2v1; Nod2; Map2k6; Nod1; Ubb; Irak2; Mapkapk2","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.124542124542125,0.595332828091449,0.245041785430996,-0.376234108678853,-1.28991339496204,24,"reactome","Mapt; Tuba4a; Tubb1; Tubb4a; Tuba1c; Tubb4b; Prkag1; Prkag3; Prkag2","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.735537190082645,0.987691578245938,0.14641623786055,-0.195049366838473,-0.871331601494996,106,"reactome","Polr2a; Crebbp; Ep300; Ncoa6; Pcgf2; Ncoa3; Kmt2d","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.958083832335329,1,0.104732821580651,-0.164956188096027,-0.680165864788318,64,"reactome","Psmd11; Ccna1; Psmc2; Ube2c; Anapc1; Anapc2; Psmd8","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.0501930501930502,0.403362990319512,0.227987202850442,0.454634560042286,1.41759476136435,36,"reactome","Rad9b; Orc4; Dbf4; Rfc4; Rpa3; Cdc7; Rad17; Orc6; Orc1; Atr; Orc2; Hus1; Orc5; Chek1; Orc3; Cdc25c","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.671809256661992,0.974242743692459,0.0476387259290825,0.33021467376214,0.848408810424648,15,"reactome","Ppp3r1; Akt3; Ywhaq; Bcl2; Ppp3cc; Ywhaz; Ywhah","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.733333333333333,0.987691578245938,0.0404114482034376,0.272312486895528,0.817423645701575,30,"reactome","Pmaip1; Mapk8; Trp63; Ppp3r1; Tfdp2; Akt3; Ywhaq; Tfdp1; Bcl2","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.00624127479783958,0.203242305523992,0.407017918923954,-0.41132413014797,-1.59688740251479,43,"reactome","Crebbp; Ncoa6; Ncoa1; Ncoa2; Fdft1; Nfya; Fdps; Lss; Scd2; Srebf2; Ppara; Carm1; Dhcr7","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.945054945054945,1,0.0307752597613667,0.22954093474799,0.618163327495943,18,"reactome","Tlr4; Ly96; Tank; Ticam2; Cd14; Tbk1; Rps27a; Ikbke; Irf7","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.726797385620915,0.987691578245938,0.0408229003677776,0.274602915653727,0.824299021293385,30,"reactome","Gng10; Gng5; Gng2; Grik2; Gng11; Ncald; Gng12; Calm1; Dlg1; Plcb1","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.984674329501916,1,0.024919740580511,0.175518138058891,0.560421921240598,42,"reactome","Cma1; Klk1b27; Klk1b11; Spock3; Ctsl; Mmp13; Mmp16; Klk1b3; Klk1b9; Tpsb2; Klk1; Klk1b16; Klk1b21; Timp1; Klkb1; Mmp8","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",0.757612667478684,0.988461703804542,0.0356176233437444,0.242954541049338,0.817647343657012,54,"reactome","Prkcb; Chuk; Psmb1; Ikbkg; Psmc6; Bcl10; Psmd14; Psma3; Skp1; Cul1; Map3k7; Rel; Psma1; Psma2; Psmd12; Psma4; Malt1; Fbxw11; Psma5; Rps27a; Psmd6; Psma6","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.827906976744186,1,0.0290688186426821,0.221712045406862,0.796830130668112,88,"reactome","Prkar2b; Camk2b; Nras; Lin7c; Rps6ka6; Rasgrf1; Creb1; Kras; Kif17; Nefl; Gria2; Prkar1a; Prkacb; Camk2d; Prkaa1; Rac1; Calm1; Erbb4; Gria4; Dlg1; Prkaa2; Lin7a; Tuba8; Gria1; Rps6ka3; Cask; Lin7b; Pdpk1; Ppm1e; Grin1; Gria3; Prkab2; Mapk1; Lrrc7; Kpna2; Prkx","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_SMO",0.656934306569343,0.974088713219148,0.09754492162472,-0.278546939941579,-0.857662402414604,18,"reactome","Evc; Cdon; Dhh; Iqce; Boc; Ptch1; Arrb1; Smo; Grk2; Evc2","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.616136919315403,0.964362570282967,0.0453152441270267,0.266971577990275,0.909243710465618,58,"reactome","Rps27l; Eif1ax; Rps21; Eif4a2; Eif3m; Eif3j1; Eif4e; Eif3e; Eif2s2; Eif2s1; Eif3j2; Eif2s3x; Rps20; Rps23; Rps13","kidney","RR-7","GLDS-253"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.0944372574385511,0.531629027915498,0.163180127180689,0.435733803978081,1.32926016949934,32,"reactome","Pole4; Orc4; Dbf4; Rpa3; Cdc7; Orc6; Orc1; Orc2; Orc5; Prim1; Orc3; Gmnn; Pole3; Pola1; Pole2; Mcm8; Prim2","kidney","RR-7","GLDS-253"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.598908594815825,0.960962495556345,0.05163559644842,0.314410003547042,0.908629702161513,25,"reactome","Pla2g4c; Plaat3; Pnpla8; Pla2g4f; Lpcat2; Pla2g4a; Plbd1; Mboat2","kidney","RR-7","GLDS-253"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.181446111869031,0.677981757818078,0.116739204791222,0.428593364765474,1.23861409300543,25,"reactome","Plaat5; Pla2g4c; Plaat3; Plaat1; Pnpla8; Pla2g4f; Pla2g4a; Plbd1; Mboat2","kidney","RR-7","GLDS-253"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",0.455696202531646,0.914722998671127,0.065981614400873,0.391529871633057,1.01944024528988,16,"reactome","Crls1; Pla2g4f; Pla2g4a; Lpgat1; Pla2g2e; Pla2g2d; Pla2r1","kidney","RR-7","GLDS-253"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",0.155680224403927,0.644214062925206,0.129442887745046,0.504662214680902,1.29661066949467,15,"reactome","Pla2g4c; Plaat3; Pla2g4f; Pla2g4a; Plbd1; Pla2g2e; Pla2g2d; Pla2r1; Pla2g4e","kidney","RR-7","GLDS-253"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",0.591152815013405,0.960962495556345,0.0514264916187015,0.32685586039433,0.906270680473062,20,"reactome","Plaat3; Osbpl8; Pla2g4f; Pla2g4a","kidney","RR-7","GLDS-253"
