"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.413385826771654,0.832645161290323,0.0886261133285098,0.35652008407888,1.02415699660004,17,"kegg","As3mt; Cox6b2; Cox6a2; Cox7a2l; Cox7a1; Cox7c; Cox7b; Cox4i1; Cox7a2; Cox5a","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.601980198019802,0.928769448373409,0.069119845655101,-0.303780854539399,-0.876820815965229,16,"kegg","Gstm2; Gstm4; Mgst2; Gstm1; Gsto1","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.467455621301775,0.832645161290323,0.0819778796501272,-0.347101273952926,-0.987717491501154,15,"kegg","Nras; Mapk3; Fos; Kras; Raf1; Jun; Src","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.468686868686869,0.832645161290323,0.083129129135339,0.357163417907975,0.988921552253834,15,"kegg","Tuba3a; Tuba8; Tuba1c","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.446464646464646,0.832645161290323,0.0857844408075645,0.363064917904874,1.00526174905154,15,"kegg","Prkd1; Chuk; Nfkbia; Abl1","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.0423039824627923,0.509628358925478,0.321775918075361,-0.514943112928037,-1.50472383221418,17,"kegg","Myc; Chrna7; Nras","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.820833333333333,0.99437148217636,0.0566484183613995,-0.253344956504862,-0.764903442127431,20,"kegg","Gstm2; Gstm4; Mgst2; Gstm1; Gsto1","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.226262626262626,0.733980582524272,0.128788713061714,0.444438836053641,1.23057155799001,15,"kegg","Tuba3a; Tuba8; Tuba1c; Gsk3b","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.0910931174089069,0.688413948256468,0.211400189384923,-0.47539124403456,-1.38914865849408,17,"kegg","Arpc4; Wipf2; Actr3; Arpc2; Arpc1b; Actb","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.461538461538462,0.832645161290323,0.0826646449123753,-0.347932196128129,-0.990081978260817,15,"kegg","Elk1; Nras; Sos1; Mapk3","liver","RR-3","GLDS-137","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
