"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.997933884297521,0.997933884297521,0.0472587336673259,0.147746157041961,0.463965309001632,25,"mitocarta","Acat1; Aldh6a1; Etfdh; Hadha; Mccc2; Hmgcl; Acad8; Ppm1k; Ivd; Bckdk; Dld; Bckdha; Etfa; Etfb; Bcat2; Auh; Acadsb; Hsd17b10; Mccc1; Bckdhb; Dbt; Echs1; Hibch; Slc25a44; Hibadh","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.682745825602968,0.997933884297521,0.0598603117764473,-0.310201430989721,-0.823631780201004,15,"mitocarta","Gcsh; Dmgdh","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.366108786610879,0.658995815899582,0.0992333343771191,0.378918052051138,1.06511361459624,16,"mitocarta","Hadh; Acat1; Hadhb; Etfdh","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.233269598470363,0.493982679113711,0.122679189568808,-0.406945103395083,-1.17926819927095,20,"mitocarta","Sdhd; Mrps36; Fh1","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.101338432122371,0.280629504338873,0.193813302725311,-0.424303277958067,-1.31681738259936,27,"mitocarta","Prdx4; Prdx3; Aldh9a1; Mgst1; Prxl2a; Prdx2; Oxr1; Hagh; Msrb2; Glrx2; Txn2; Gpx4; Sod1; Prdx6","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.0598455598455598,0.195858195858196,0.257206466468838,-0.492993826911794,-1.45571371543191,22,"mitocarta","Mtarc1; Mtarc2; Gstz1; Mgst1; Cyb5b; Gstk1; Aldh1b1; Cbr3; Cyb5r3","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.279158699808795,0.558317399617591,0.110564716336619,-0.375491765595442,-1.13782254568612,24,"mitocarta","Dbi; Them5; Lyplal1; Slc25a1; Hao2; Fasn; Acot13; Acss3; Cyb5r3; Echdc1; Them4; Fabp1; Acot9","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.146567717996289,0.329777365491651,0.156312403073186,-0.508363076993404,-1.34978096250759,15,"mitocarta","Pld6; Gpam; Ptpmt1; Agpat5; Triap1","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.00439202374798724,0.0197641068659426,0.407017918923954,0.448490493257017,1.5915557916223,44,"mitocarta","Acsl1; Acad11; Acadm; Cpt2; Hadh; Acsm2; Acat1; Crat; Crot; Cpt1b; Hadhb; Acadl; Acsm5; Slc25a20; Acsf2; Etfdh; Hadha","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.420650095602294,0.688336520076482,0.0860347242455604,-0.33981718716379,-1.02972073529618,24,"mitocarta","Gpam; Sptlc2; Ptpmt1; Agpat5; Akr1b7; Triap1","liver","RR-6","GLDS-245","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
