"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.00140858531181816,0.010713657287493,0.45505986738723,0.419797535600861,1.67329995569321,86,"reactome","Derl1; Psma5; Erlin1; Psmb7; Psmb1; Erlin2; Derl2; Psmc1; Psmb4; Psma2; Sem1; Psma6; Rps27a; Psmc3; Abca3; Abca9; Abcc4; Sel1l; Psma1; Psmd13; Psmc6; Psma3; Psmd7; Psma4; Psmd6; Eif2s2; Psma7; Psmb2; Psmc2; Eif2s1; Psmd14; Abcd1; Abca12; Pex3; Abcb10; Abca6","liver","RR-6","GLDS-245"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.691983122362869,0.841642794312029,0.0653834195468773,-0.30158177704374,-0.85323153527283,17,"reactome","Abcg5; Abcg8","liver","RR-6","GLDS-245"
"REACTOME_ABC_TRANSPORTER_DISORDERS",9.43317184337289e-05,0.00109485005118296,0.538434096309916,0.5050417723357,1.90831272474713,63,"reactome","Derl1; Psma5; Erlin1; Psmb7; Psmb1; Erlin2; Abcb11; Derl2; Psmc1; Psmb4; Psma2; Sem1; Psma6; Rps27a; Psmc3; Abca3; Sel1l; Psma1; Psmd13; Psmc6; Psma3; Psmd7; Psma4; Psmd6; Psma7; Psmb2; Psmc2; Psmd14; Lmbrd1; Abcd1; Abca12","liver","RR-6","GLDS-245"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.269961977186312,0.447951639036192,0.112378519110475,0.390578664461777,1.13911584446119,20,"reactome","Cdc16; Ube2c; Cdc26","liver","RR-6","GLDS-245"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.360759493670886,0.546650843881856,0.100633389423036,-0.379739330832956,-1.07435394613743,17,"reactome","Cdkn1a; E2f3; Cdk2; Rb1; Cdk6; Cdkn1c","liver","RR-6","GLDS-245"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.39365671641791,0.577394153225806,0.0883594442500905,0.347565784242777,1.05035309254225,23,"reactome","Polr2g; Polr2h; Polr2k; Supt4a; Polr2d","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.435424354243542,0.621790537277101,0.0822054920415869,0.308860812908448,1.01099022605609,32,"reactome","Aph1c; Neurl1b; Adam17; Rps27a; Psen1; Ncstn; Aph1b; Dll4; Dlk1; Psenen","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.00729640283361119,0.0371980163152795,0.407017918923954,0.452228659073016,1.62179461348582,48,"reactome","Klk1b4; Klk1; Ncoa2; H3c15; H2bc4; H2bc3; H2bc6; H2ac7; H2bc18; H2ac4; H3c2; H3f3b; H3c3; H3c4; H3c8; H2bc14; H4c12; H2az2; H2bc21","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.0643776824034335,0.17172628729131,0.261663521711573,-0.459802107702694,-1.43846733491065,23,"reactome","Map3k7; Traf6; Tab2; Ikbkg; Tab3","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.459627329192547,0.644541666001373,0.0855356947987884,-0.319763301868274,-0.991604813470647,22,"reactome","Prkaa2; Tubb2a; Prkaa1; Prkab2","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.727906976744186,0.866972174266274,0.0676760401641789,-0.20794137253541,-0.883907618048176,98,"reactome","Jun; Paxip1; Pbx1; Ncor1; Hoxa2; Pias2; Ctcf; Polr2a; Kdm6a; Egr2; Ash2l; Crebbp; Hoxa4; Zfp335; Polr2b; Cnot6; Ncoa6; Kmt2d; Hoxb2; Hoxb3; Rbbp5","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",1.29032842825819e-07,5.2636636537109e-06,0.690132458796796,0.594524019796301,2.25947426587858,64,"reactome","Cdc20; Ccnb1; Cdc16; Cdk1; Ube2c; Bub1b; Psma5; Cdc26; Psmb7; Psmb1; Ccna2; Psmc1; Psmb4; Psma2; Sem1; Psma6; Rps27a; Psmc3; Plk1; Mad2l1; Psma1; Psmd13; Psmc6; Psma3; Psmd7; Psma4; Psmd6; Psma7; Psmb2; Psmc2; Psmd14","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.139705882352941,0.291990646833446,0.159646701919906,0.373209825695914,1.26189089304783,36,"reactome","Mcm10; Rpa3; Rfc4; Rfc5; Cdc45; Mcm6; Orc1; Rpa1; Rpa2; Rfc3; Cdc6; Mcm3; Mcm2; Mcm5; Mcm8","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.718220338983051,0.861075153659899,0.0637845390312975,-0.297882839089955,-0.81820612317774,15,"reactome","Ywhag; Bcl2; Ywhae; Ppp3r1; Ywhab; Ywhaz","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.117647058823529,0.261944777911164,0.191892240384838,-0.376951880312413,-1.26711959341618,30,"reactome","Ywhag; Trp53bp2; Dynll2; Trp63; Bcl2l11; Bcl2; Ywhae; Trp53; Ppp3r1; Ywhab; Ywhaz; Tfdp1; Mapk8","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",1.30264820027676e-07,5.2636636537109e-06,0.690132458796796,0.6580352592289,2.30649584717999,43,"reactome","Sqle; Dhcr7; Fdps; Cyp51; Tm7sf2; Scd1; Fdft1; Lss; Hmgcr; Sc5d; Acaca; Mvd; Gpam; Idi1; Elovl6; Pmvk; Hmgcs1; Ncoa2; Mvk; Acacb; Fasn","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.854166666666667,0.947021960538136,0.0547939500773363,-0.24827071342468,-0.716588872586683,18,"reactome","Ikbke; Traf3; Ptpn11; Ticam1; Tank; Irf3; Tbk1; Ubc","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.511711711711712,0.68422020707017,0.0725351864394589,0.295094851416668,0.95095356785183,29,"reactome","Gnb4; Gng2; Gng10; Gngt2; Dlg3; Gngt1; Gng11","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.00104607821808652,0.00847940822485271,0.45505986738723,0.548308730868999,1.81454258216425,34,"reactome","Ctsl; Klk1b4; Klk1; Ctrb1; Klkb1; Ctsk; Mmp3; Plg; Mmp8; Prss2; Mmp9; Mmp2","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",0.0044105678094548,0.0255572680264595,0.407017918923954,0.454679862540991,1.66050085007287,54,"reactome","Psma5; Psmb7; Psmb1; Psmc1; Psmb4; Psma2; Sem1; Psma6; Rps27a; Psmc3; Psma1; Psmd13; Psmc6; Prkcb; Psma3; Psmd7; Psma4; Psmd6; Psma7; Psmb2; Psmc2; Psmd14; Bcl10; Skp1","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.0380072322384672,0.118813439461799,0.321775918075361,-0.333372677920812,-1.37078047728481,83,"reactome","Grin3b; Prkaa2; Camk2d; Kras; Tubb2a; Prkaa1; Creb1; Gria1; Grin3a; Nras; Gria2; Prkab2; Camk2g; Arhgef7; Prkx; Nbea; Lin7c; Pdpk1; Dlg4; Apba1; Lrrc7; Prkar1a; Rps6ka3; Prkar1b; Camkk2; Mapk1; Camk4; Prkar2a; Grin2a","liver","RR-6","GLDS-245"
"REACTOME_ACTIVATION_OF_SMO",0.4,0.584203480589023,0.0937465422491719,-0.364060640374737,-1.05079572310676,18,"reactome","Iqce; Cdon; Evc2; Gas8; Gas1; Smo; Dhh; Arrb2","liver","RR-6","GLDS-245"
