"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",0.0156913179391191,0.0523043931303971,0.352487857583619,0.28502744073374,1.33171763924823,198,"hallmark","Echs1; Atp1b3; Enpp2; Ndufab1; Ifngr1; Acads; Abcb8; Rab34; Uqcr11; Uqcr10; Dgat1; Grpel1; Cox7b; Ndufs3; Acaa2; Sdhb; Omd; Ech1; Uqcrq; Aifm1; Slc5a6; Dhrs7b; Hadh; Ndufb7; Cavin2; Suclg1; Sdhc; Ubc; Coq3; Retsat; Sowahc; Taldo1; Cmbl; Etfb; Ephx2; Scp2; Ddt; Cyc1; Decr1; Cyp4b1; Chuk; Prdx3; Ucp2; Rnf11; Bckdha; Cd302; Esyt1; Cpt2; Tst; Atl2; Uqcrc1; Lama4; Jagn1","liver","RR-8","GLDS-379"
"HALLMARK_ALLOGRAFT_REJECTION",2.40177009713964e-08,3.00221262142455e-07,0.73376198835648,0.41770634135607,1.94543917074663,194,"hallmark","Il27ra; Klrd1; H2-M3; Rps19; Stab1; Degs1; H2-T23; Rpl9; Rpl39; Itgb2; Ifngr1; Il16; Lyn; Ccr2; Ncf4; F2r; Zap70; Wars1; Trat1; Sit1; Cd47; Prkcg; Ccl4; Cd4; Eif3j2; C2; Rps9; Crtam; Flna; Cdkn2a; Fgr; Itgal; Pf4; Cd86; Il2rg; Ripk2; Mrpl3; Irf8; Cd40; Gzma; Cfp; Cd3d; Prf1; Socs1; Tlr3; St8sia4; Nlrp3; Tap1; Ptprc; Psmb10; Bcl10; Cd247; Cd1d1; Irf7; Lck; Acvr2a; Cxcl13; Tlr1; Tap2; Mmp9; Glmn; Ccl2; Il18rap; Capg; Cd8b1; Il2rb; Il15; Il18; Tlr2; Ncr1; H2-Aa; Cxcr3; Il12rb1; Ctss; Cd80; Ets1; Fcgr2b; Ccnd2; Fas; Prkcb; Tpd52; H2-Oa; Traf2; Ccl5","liver","RR-8","GLDS-379"
"HALLMARK_ANDROGEN_RESPONSE",0.0601503759398496,0.158290462999604,0.224966093540314,-0.344911982772532,-1.34373217758959,102,"hallmark","Camkk2; Ube2i; Ell2; Tmprss2; Sms; Scd1; Ptpn21; Map7; Fads1; Iqgap2; Cdk6; B2m; Lifr; Arid5b; Idi1; Hmgcs1; Elovl5; Dbi; Pias1; Elk4; Lman1; Tsc22d1; Ptk2b; Zmiz1; Srf; Homer2; Zbtb10","liver","RR-8","GLDS-379"
"HALLMARK_ANGIOGENESIS",0.210268948655257,0.375480265455816,0.149207542435322,0.328467476536479,1.14588415963469,36,"hallmark","Spp1; Lum; Itgav; Pf4; Kcnj8; S100a4; Col3a1; Thbd; App; Ccnd2; Col5a2; Fstl1; Apoh; Nrp1; Postn; Vcan","liver","RR-8","GLDS-379"
"HALLMARK_APICAL_JUNCTION",0.0203724763849568,0.0636639887029899,0.352487857583619,-0.321224688908716,-1.36625973439874,193,"hallmark","Adra1b; Actn2; Cap1; Nrap; Speg; Akt2; Plcg1; Dlg1; Ywhah; Acta1; Flnc; Inppl1; Myl12b; Dhx16; Shroom2; Myh9; Thy1; Stx4a; Nf2; Gtf2f1; Irs1; Pfn1; Ptk2; Baiap2; Cdh15; Tsc1; Cd276; Ctnna1; Lima1; Rras; Nfasc; Itga9; Actn3; Cdk8; Actn4; Sirpa; Arpc2; Taok2; Mpzl1; Adam9; Pcdh1; Itga3; Wasl; Akt3; Mvd; Nrtn; Ikbkg; Tjp1; Tial1; Nexn; Map3k20; Actb; Slit2","liver","RR-8","GLDS-379"
"HALLMARK_APICAL_SURFACE",0.46,0.547619047619048,0.0739901439101341,-0.296568861241016,-0.986181724173978,42,"hallmark","Ncoa6; Slc2a4; Akap7; Shroom2; Thy1; Crybg1","liver","RR-8","GLDS-379"
"HALLMARK_APOPTOSIS",0.0938511326860841,0.219633307868602,0.266350657088526,0.258116396731529,1.1766238554211,158,"hallmark","Wee1; Dap3; Bik; Tspo; Lgals3; Ifngr1; Lum; Casp4; Casp1; F2r; Bmp2; Anxa1; Txnip; Cd38; Retsat; Gch1; Slc20a1; Smad7; Cd69; Bcl2l11; Ppp3r1; Pmaip1; Bax; Rhob; Prf1; Pdgfrb; Tap1; Plppr4; Ccnd1; Ctnnb1; Bcl10; Fdxr; Erbb2; Rnasel; Casp2; Gsn; Hgf; Hmox1; Hmgb2; Tgfbr3; Ppt1; App; Il18; Madd; Gadd45a; Nedd9; Casp7; Cd44; Ccnd2; Tnfsf10; Fas; Btg3; Pea15a; Casp6; Gna15; Gpx4; Tnfrsf12a; Xiap; Mmp2; Cdkn1b; Timp3; Bmf; Timp2; Dcn; Bcap31; Irf1","liver","RR-8","GLDS-379"
"HALLMARK_BILE_ACID_METABOLISM",0.414201183431953,0.547619047619048,0.11331290842208,0.235151087184136,1.01933055873925,111,"hallmark","Abca5; Hsd17b11; Isoc1; Slc35b2; Mlycd; Retsat; Abcg8; Slc27a5; Sult1b1; Ephx2; Scp2; Ch25h; Pex13; Abca6; Bmp6; Rbp1; Nr1i2; Npc1; Fdxr; Hsd17b6; Lck; Slc22a18; Cyp7b1; Ttr; Pnpla8; Crot; Akr1d1; Abca1; Pex6; Slc27a2; Gstk1; Cyp46a1; Gnmt; Pecr; Apoa1; Lonp2","liver","RR-8","GLDS-379"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000389220998031195,0.00324350831692662,0.49849310876659,-0.473366127719105,-1.754230895371,75,"hallmark","Nfil3; Nsdhl; Pnrc1; Pmvk; Avpr1a; Gstm7; Acss2; Sc5d; Scd1; Atxn2; Trp53inp1; Fdps; Hsd17b7; Cyp51; Cbs; Idi1; Errfi1; Cd9; Sqle; Hmgcs1; Lpl; Dhcr7; Fabp5; Chka; Ebp; Ethe1; Sema3b; Aldoc; Mvd; Lss; Srebf2; Abca2; Cpeb2; Fads2; Fasn; Mvk","liver","RR-8","GLDS-379"
"HALLMARK_COAGULATION",0.245161290322581,0.388136942675159,0.159646701919906,0.245621365867937,1.08990529607198,137,"hallmark","C8g; Ctsk; Mmp3; Arf4; Pros1; F8; Anxa1; Ctso; Sirt2; Vwf; C2; Maff; Pef1; P2ry1; Pf4; Ctsh; Gda; Plek; Gnb2; Mmp8; Ctsb; Gsn; Csrp1; Msrb2; Thbd; Mmp9; Fbn1; Itga2; Sparc; Lta4h; Dpp4; Cpq; C1qa; Cfh; Serpine1; Mst1; Rabif; Klkb1; Apoa1; Apoc2","liver","RR-8","GLDS-379"
