"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.29372197309417,0.59293407652655,0.11776578836269,-0.391806654131211,-1.13050982179256,17,"kegg","Cox6b2; Gsto1; Cox8a; Cox6a1; As3mt","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.108510638297872,0.418673705047839,0.197822021315103,-0.489222336146715,-1.39136269317433,15,"kegg","Gstt2; Gstm4; Mgst3; Gsta3; Gsto1","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.659574468085106,0.804904435629282,0.0681513438679483,-0.304742268308688,-0.866695961794505,15,"kegg","Map2k2; Mapk3; Map2k1; Esr2; Mapk1; Hras; Nras; Jun","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0553191489361702,0.271566731141199,0.282013350011725,-0.527527500254306,-1.50030370497482,15,"kegg","Tubb4b; Tuba4a; Tuba1c; Tuba8; Tubb5","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.14468085106383,0.488297872340425,0.169570644405628,-0.462549734234661,-1.31550502992326,15,"kegg","Ikbkg; Acp1; Prkd3; Chuk","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.928251121076233,0.941325080528011,0.0543434390269162,-0.218536168924142,-0.630559187243728,17,"kegg","Map2k2; Mapk3; Map2k1; Chrnb2; Mapk1; Hras; Nras; Jun","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0983981693363844,0.403940557689097,0.216542836735348,-0.4612739350948,-1.35842378529674,19,"kegg","Gstt2; Gstm4; Mgst3; Gsta3; Gsto1","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0702127659574468,0.322679945676777,0.248911114434702,-0.515136976228711,-1.46506469071828,15,"kegg","Tubb4b; Tuba4a; Tuba1c; Tuba8; Tubb5","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.820627802690583,0.91842282580915,0.0601186142531851,-0.262700384294631,-0.757989588748291,17,"kegg","Wasl; Arpc4; Wipf3; Arpc5l; Actr2; Nck1; Actg1; Nck2; Actb","liver","RR-9","GLDS-242"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.674468085106383,0.80936170212766,0.0670512579829467,-0.299997077378153,-0.85320049941489,15,"kegg","Map2k2; Grb2; Mapk3; Map2k1; Mapk1","liver","RR-9","GLDS-242"
