"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",2.75686418066057e-09,4.96235552518902e-08,0.774939030136436,-0.794525338984997,-2.5373708744332,25,"mitocarta","Acat1; Bckdha; Etfb; Hmgcl; Hadha; Hsd17b10; Etfa; Echs1; Auh; Etfdh; Ivd; Mccc2; Dld; Aldh6a1; Hibch; Bcat2; Acad8","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",2.23966819630966e-05,0.000115182935810211,0.575610261071129,-0.771125952146137,-2.1627614248405,15,"mitocarta","Amt; Gcsh; Etfb; Chdh; Etfa; Dmgdh; Etfdh; Dld; Slc25a38; Shmt2; Aldh7a1","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.000143083579102259,0.000468273531607392,0.518848077743792,-0.725223836218226,-2.06356997198425,16,"mitocarta","Acat1; Hadhb; Hadh; Etfb; Etfa; Echs1; Acaa2; Etfdh; Dld; Aldh7a1; Dlst; Gcdh; Slc25a29","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.00206438952748579,0.00437164841114638,0.431707695803346,-0.622184125526448,-1.89980461777533,20,"mitocarta","Idh2; Sdhc; Sucla2; Mdh2; Sdhd; Suclg1; Dld; Suclg2; Dlst; Idh3g; Ogdh","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",5.93864022993296e-07,7.12636827591955e-06,0.659444398037935,-0.717662024808918,-2.38411932333931,27,"mitocarta","Gsr; Txnrd2; Txn2; Txnrd1; Msrb2; Hagh; Aldh9a1; Sod1; Glrx2; Prdx6; Nit1; Aldh3a2; Msra; Sod2; Aldh7a1; Aifm2; Gpx4; Prdx5","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.0319812597027336,0.0548250166332575,0.321775918075361,-0.481697346839901,-1.5022258693877,22,"mitocarta","Mtarc2; Maob; Acsm5; Bphl; Akr7a5; Mtarc1; Maoa; Cyb5b; Gstk1; Tst; Aldh1b1","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.401349072512648,0.454623287671233,0.0817515582532145,0.342200244403247,1.03885984280479,23,"mitocarta","Dbi; Fabp1; Them5; Acot9; Cyb5r3; Acot13; Fasn","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.308558558558559,0.383038210624418,0.114750719227023,-0.397567994034971,-1.11505094447542,15,"mitocarta","Hadha; Pnpla8; Gpat2; Prelid1; Crls1","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",5.28699209759057e-06,3.80663431026521e-05,0.610526878385931,-0.593662743811364,-2.23777117962282,44,"mitocarta","Acadm; Acat1; Acadl; Hadhb; Hadh; Eci1; Acadvl; Etfb; Acaa1a; Hadha; Acsm5; Hsd17b10; Etfa; Acads; Echs1; Decr1; Acaa2; Etfdh; Cpt2; Mmut; Crat; Acsf2; Acad10; Acsm3; Cpt1a; Acsm1; Crot; Acad11; Eci2","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",3.1454125216647e-05,0.000141543563474911,0.557332238758646,-0.678726286171023,-2.13867949975243,23,"mitocarta","Stard7; Akr1b7; Lactb; Pnpla8; Chpt1; Osbpl1a; Prdx6; Sphk2; Gpat2; Pisd; Prelid1","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.00166997223015982,0.0037574375178596,0.45505986738723,-0.586525654216181,-1.84815354629562,23,"mitocarta","Cisd3; Nfs1; Hspa9; Nubpl; Cisd1; Fdx1; Iscu; Bola1; Grpel1; Abcb7; Nfu1; Iba57; Grpel2","liver","RR-9","GLDS-242"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS",0.000117046073379594,0.000421365864166538,0.538434096309916,-0.599851536328433,-2.06280988324505,31,"mitocarta","Cisd3; Ndufs2; Aifm3; Abat; Fech; Glrx2; Etfdh; Nfs1; Nubpl; Cisd1; Uqcrfs1; Fdx1; Iscu; Bola1","liver","RR-9","GLDS-242"
