"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",1.43798768136045e-17,1.79192216269182e-15,1.07686819261983,0.687514963517938,2.89626711537355,84,"reactome","Psmd11; Abcb6; Psmd1; Psmc4; Psmc2; Psmd2; Adrm1; Psma1; Psmc5; Psmc1; Psmd3; Psma4; Psmb7; Vcp; Psmd7; Psmb3; Abca8b; Psmd12; Psmb6; Psmd13; Psmb5; Psmb4; Psmc3; Psmd6; Ubb; Abca6; Psmd14; Psmd8; Psma7; Psmb2; Abcd2; Psma2; Psmb1; Abcd1; Derl1; Rnf5; Apoa1; Derl2; Psmc6; Erlin1; Sel1l; Abcb8; Psma6; Rnf185; Abca3; Cftr; Psma5; Derl3","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.377672209026128,0.563878284228425,0.105125131597001,0.374135503814494,1.06144500976735,16,"reactome","Abca6; Abcd2; Abcd1; Apoa1; Abca3","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",1.46181425706905e-18,4.19050141083816e-16,1.11466447751729,0.758169981586428,3.00097645025843,62,"reactome","Psmd11; Abcb6; Psmd1; Psmc4; Psmc2; Psmd2; Adrm1; Psma1; Psmc5; Psmc1; Psmd3; Psma4; Psmb7; Vcp; Psmd7; Psmb3; Psmd12; Psmb6; Psmd13; Psmb5; Psmb4; Psmc3; Psmd6; Ubb; Psmd14; Psmd8; Psma7; Psmb2; Psma2; Psmb1; Abcd1; Derl1; Rnf5; Apoa1; Derl2; Psmc6; Erlin1; Sel1l; Psma6; Rnf185; Abca3; Cftr; Abcb11; Psma5; Derl3","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.804088586030664,0.906396387197552,0.0483117581055019,-0.261875740558502,-0.761763025922071,20,"reactome","Ube2c; Rb1; Anapc1; Ube2s; Skp2; Anapc10; Cdc27; Cdc23; Anapc15; Ube2e1","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.12998266897747,0.28206642292218,0.160801401070022,-0.491161000532392,-1.35142465773452,17,"reactome","Ccnd1; E2f3; Ccne1; Cdk2; Rb1; Cdkn1a; E2f1","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.664251207729469,0.800260321957008,0.0741758965588009,0.273654199673463,0.849002134496932,23,"reactome","Ncbp2; Polr2c; Polr2e; Ctdp1; Polr2a; Polr2b; Nelfb; Polr2g; Gtf2f2","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.758974358974359,0.872983382854627,0.0511147954416412,-0.250975866580801,-0.803181980024034,30,"reactome","Dtx4; Arrb2; Neurl1a; Dll1; Ubc; Uba52; Rps27a","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",3.3833040136386e-05,0.000266683963427984,0.557332238758646,-0.567585096602089,-2.00438020998889,48,"reactome","H3c8; Klk1b4; H3c3; H2bc14; H3c2; H2ac23; H2bc18; H4c6; H2bc6; Kdm4c; H2bc3; H4c18; Kdm1a; H2ac7; Pkn1; H4c17; H4c11; H4c12; H3c11","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.277777777777778,0.468204053109714,0.126875729929857,0.372060151443045,1.15430299667727,23,"reactome","Ikbkg; Ubb; Ube2n; Map2k3; Ube2v1; Map3k7; Mapk14","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.21563981042654,0.390163417326847,0.144630528034484,0.397369045005838,1.22235400246691,22,"reactome","Tubb4b; Tuba4a; Prkag1; Tuba1c; Calm1; Tuba8","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.359746434231379,0.548574932426797,0.0843144320642653,-0.261789828951884,-1.04870918374209,97,"reactome","H3c8; H3c3; H2bc14; H3c2; H2ac23; H2bc18; H4c6; H2bc6; H2bc3; H4c18; H2ac7; Hoxa2; Meis1; H4c17; Dpy30; Polr2d; H4c11; H4c12; H3c11","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",8.16491788670267e-08,9.83459772420816e-07,0.704975715167238,0.588807925083415,2.35215810352758,63,"reactome","Psmd11; Psmd1; Psmc4; Psmc2; Psmd2; Adrm1; Psma1; Psmc5; Psmc1; Psmd3; Psma4; Psmb7; Psmd7; Psmb3; Psmd12; Psmb6; Psmd13; Psmb5; Psmb4; Psmc3; Psmd6; Ubb; Psmd14; Psmd8; Psma7; Psmb2; Psma2; Psmb1","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.024270703979416,0.0751970944102139,0.352487857583619,-0.4538949113255,-1.53278723494418,37,"reactome","Mcm5; Cdc6; Mcm6; Dbf4; Mcm4; Rfc3; Clspn; Orc2; Cdk2; Rpa3; Orc5; Mcm2; Rad9a; Orc3; Mcm3; Orc1; Orc4","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.131764705882353,0.282503529411765,0.188204146308491,0.485528328327935,1.3755452112977,15,"reactome","Bid; Ywhab; Ywhaz; Ywhag; Ywhae","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.300733496332518,0.487725125670892,0.122107920287081,0.335667952409071,1.1080832124407,29,"reactome","Bid; Bmf; Ywhab; Ywhaz; Bcl2l11; Ywhag; Dynll2; Ywhae; Bbc3; Trp53bp2; Tfdp2; Akt2; Ywhaq; Mapk8","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",3.10411636527274e-05,0.000246489832857213,0.557332238758646,0.574180892956043,2.09288196473707,43,"reactome","Cyp51; Mvk; Idi1; Lss; Fdft1; Fdps; Pmvk; Hmgcs1; Nfyb; Sqle; Srebf2; Dhcr7; Sc5d; Hmgcr","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.0483592400690846,0.128319567708066,0.271288554688953,-0.532865778991907,-1.49866642286621,18,"reactome","Cd14; Irf7; Tank; Ticam2; Tlr4; Ubc; Ikbke; Uba52; Rps27a; Irf3","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.131229235880399,0.28206642292218,0.156312403073186,-0.429965595980586,-1.32881156359107,25,"reactome","Gngt2; Gng2; Plcb2; Gngt1; Gnb4; Gng10; Gng11; Plcb3; Plcb1; Dlg4","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.779286926994907,0.893471214693626,0.0495901956956338,-0.24221390250718,-0.789840216996566,32,"reactome","Klk1b4; Mmp3; Mmp25; Mmp2; Elane; Prss2; Try4; Mmp24","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",1.04819719465142e-13,2.66406567923779e-12,0.954541630725724,0.731242232520215,2.81023009378406,54,"reactome","Psmd11; Psmd1; Psmc4; Psmc2; Psmd2; Adrm1; Psma1; Psmc5; Psmc1; Psmd3; Psma4; Psmb7; Psmd7; Psmb3; Psmd12; Psmb6; Psmd13; Psmb5; Ikbkg; Psmb4; Psmc3; Psmd6; Ubb; Psmd14; Psmd8; Psma7; Psmb2; Psma2; Psmb1","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.4144,0.60032,0.077274697304471,-0.260070528074641,-1.01888588198497,81,"reactome","Grin2b; Apba1; Rps6ka2; Gria4; Dlg2; Actn2; Prkag3; Camk2b; Erbb4; Prkar2b; Camk2d; Prkaa1; Rps6ka6; Src; Nrgn; Gria3; Camk2a; Camkk1; Dlg4; Rps6ka1; Camkk2; Prkar1b; Camk2g; Kras; Prkaa2; Tubb2b; Tuba1b; Tuba1a; Rasgrf2","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_SMO",0.392055267702936,0.578061586490705,0.0843144320642653,-0.372074962800475,-1.04644785895837,18,"reactome","Iqce; Arrb2; Smo; Efcab7; Cdon; Evc2","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.0655737704918033,0.162720097146327,0.224966093540314,-0.369450637609067,-1.36153995762767,59,"reactome","Rpsa; Rps6; Rps10; Rps24; Rps4x; Rps15; Rps29; Rps23; Rps7; Rps21; Rps3; Rps12; Rps15a; Rps27; Rps3a1; Rps16; Rps8; Rps17; Rps14; Eif3e; Rps25; Rps13; Rps11; Rps27a; Rps26; Rps28; Rps2; Rps19; Eif3h","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.0319072229107031,0.090969529149664,0.321775918075361,-0.470406830155289,-1.53395915329636,32,"reactome","Mcm5; Cdc6; Mcm6; Pole2; Dbf4; Pole; Mcm4; Orc2; Cdk2; Rpa3; Orc5; Mcm2; Orc3; Mcm3; Orc1; Orc4; Pola2; Mcm10; Pola1","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.507109004739337,0.683799815195684,0.0875697115548511,0.310468600130378,0.95503799498044,22,"reactome","Pla2g12a; Pnpla8; Pla2g6","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.190361445783133,0.357386111873061,0.156312403073186,0.432822187028664,1.28841067374507,20,"reactome","Pla2g12a; Abhd4; Pnpla8; Pla2g6","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",0.227036395147314,0.403620258039669,0.11776578836269,-0.439237820140608,-1.20855853804384,17,"reactome","Pla1a; Osbpl8; Pla2g4a; Plaat3; Pla2g4f; Mboat1; Lpcat4; Osbpl10; Osbpl5; Lpcat3; Pla2g2f; Pla2r1; Pla2g4b; Pla2g1b","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.271356783919598,0.461005502950569,0.103958471559957,-0.313475539370772,-1.11600098086656,50,"reactome","Nectin4; Mov10; Cdh18; Cdh5; Cadm3; Tnrc6b; Adam33; Zc3h12a; Ago4; Zeb2; Cdh19; Adam19; Cadm2","liver","RR-9","GLDS-242","Stat_(FLT_C1)v(GC_C2)",1,"flight_positive"
