"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.0187010267011305,0.125806906898514,0.352487857583619,-0.554560653906224,-1.60161817779949,17,"kegg","Cox7c; Gsto1; Cox8a; Cox7b; Cox6a2; Cox4i1; Cox6b1; As3mt; Cox7a2l; Cox5a; Cox4i2; Cox6c; Cox7a2; Cox5b","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.0121481044550568,0.0963171138936646,0.380730400722792,-0.61215817697412,-1.70259154401141,15,"kegg","Gstp2; Gstm1; Gstp1; Gsto1; Gstm5; Mgst3; Gstt2; Gsto2","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.0127220988677124,0.0973898602976601,0.380730400722792,-0.588904372796466,-1.66819521836558,16,"kegg","Esr2; Esr1; Src; Raf1; Chrna9; Jun; Araf; Mapk3","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.295218295218295,0.642533936651584,0.112378519110475,-0.405273038511026,-1.12718325808438,15,"kegg","Tubb4b; Tuba4a; Tuba8; Mapt","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.365904365904366,0.676083716710944,0.0988903007520636,-0.38113459642852,-1.06004716659504,15,"kegg","Chuk; Src; Nfkbia; Ikbkg; Rela","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.362105263157895,0.676083716710944,0.10027910675413,-0.360241335647218,-1.05456618803121,19,"kegg","Raf1; Jun; Araf; Myc; Mapk3; Chrna3; Map2k2; Kras; Hras","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0244096432246045,0.154826879881777,0.352487857583619,-0.548550088632638,-1.60581898485966,19,"kegg","Gstp2; Gstm1; Gstp1; Gsto1; Gstm5; Mgst3; Gstt2; Gsto2","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.251559251559252,0.581730769230769,0.123257226381337,-0.424153447465494,-1.17969521633715,15,"kegg","Tubb4b; Tuba4a; Tuba8; Mapt","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.989495798319328,0.998491214667685,0.0484087618816951,-0.17424604106263,-0.503237337178083,17,"kegg","Arpc5l; Wipf2; Arpc4; Arpc5; Nck2; Wipf3; Arpc3; Actg1","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.82341650671785,0.933573819191929,0.0526973085708419,0.271608678630068,0.732675176491971,15,"kegg","Sos1; Elk1","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.307101727447217,0.64407515591695,0.104732821580651,0.424008002732021,1.14377839398428,15,"kegg","Sos1; Pdgfra; Pdgfrb","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.177480916030534,0.525343511450382,0.142901149386948,0.412072648558623,1.27310030102214,25,"kegg","Creb3l3; Creb3l1; Adcy7; Prkacb; Gnao1","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.00150195744423035,0.0175491869799546,0.45505986738723,0.56847659341782,1.8394416247728,32,"kegg","Creb3l3; Gng10; Creb3l1; Map2k6; Gng7; Gng13; Rhoa; Gng8; Gnb5; Gnb1; Gnb4; Creb3","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.355371900826446,0.676083716710944,0.10027910675413,-0.359841084232741,-1.05859449454402,18,"kegg","Ppp3r1; Ppp3cc; Nfatc1; Ppp3ca; Calm2","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.375722543352601,0.678133370929085,0.0928481214159878,0.332277850822425,1.05205994081248,29,"kegg","Gng10; Gng7; Gng13; Gng8; Gnb5; Gnb1; Pik3cd; Gnb4; Nfkb1; Gng11","skin","MHU-2_dorsal","GLDS-238"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.113445378151261,0.419747899159664,0.191892240384838,-0.459806991961188,-1.327961569969,17,"kegg","Ppp3r1; Ppp3cc; Nfatc1; Ppp3ca; Calm2","skin","MHU-2_dorsal","GLDS-238"
