"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.578947368421053,0.614035087719298,0.0741758965588009,0.298794167034954,0.938570757640028,25,"mitocarta","Slc25a44; Hadha; Hibch; Etfdh; Etfa; Etfb; Hsd17b10; Bckdk; Aldh6a1; Acadsb; Hibadh","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.143129770992366,0.200381679389313,0.160801401070022,0.471424540658015,1.32706670158435,15,"mitocarta","Acaa2; Hadhb; Etfdh; Gcdh; Etfa; Etfb","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.0272972840044996,0.0734926877044221,0.352487857583619,0.514427259033113,1.5558161986895,20,"mitocarta","Idh3g; Mrps36; Idh3b; Idh2; Ogdh; Aco2; Fh1; Sucla2; Sdha; Suclg1; Sdhd; Ogdhl; Sdhb; Mdh2","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.423954372623574,0.478658162639519,0.0852884689790502,-0.324146837105763,-1.01895232813205,27,"mitocarta","Prdx4; Aldh7a1; Oxr1; Aldh9a1","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.0570342205323194,0.109509442395798,0.261663521711573,-0.497883308490428,-1.49161591706209,22,"mitocarta","Bphl; Tst; Gstz1; Aldh2; Dhrs2; Ephx2; Glyat; Akr1b10","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.0987394957983193,0.157085561497326,0.206587922696891,0.441103486749083,1.35664749852054,22,"mitocarta","Acot2; Mlycd; Acaa1b; Ech1; Acot9","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.0638297872340425,0.111702127659574,0.248911114434702,0.517316802821257,1.47110453418192,16,"mitocarta","Crls1; Taz; Hadha; Pnpla8; Pgs1; Agpat4; Tamm41; Triap1","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.0133826581993447,0.0514331847970081,0.380730400722792,0.444851964548097,1.59383118050845,43,"mitocarta","Eci2; Acss1; Cpt1b; Acaa2; Acadl; Eci1; Slc25a20; Acad11; Hadhb; Hadha; Etfdh; Acacb; Acad12; Acadvl; Etfa; Etfb; Crat; Hsd17b10; Acadm; Hadh; Amacr; Acsl1; Acadsb; Mmut; Acad10","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.108786610878661,0.158647140864714,0.195789002148949,0.422956208165231,1.32032505080401,24,"mitocarta","Serac1; Pisd; Pnpla8; Pgs1; Agpat4; Sptlc2; Osbpl1a; Tamm41; Sphk2; Triap1; Gpam; Prelid3b; Ptpmt1; Acp6; Stard7","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.000541915602166813,0.00474176151895961,0.477270815362862,0.625308932189454,1.94981505859357,23,"mitocarta","Isca2; Nfu1; Hspa9; Iscu; Nfs1; Fdx2; Hscb; Fxn; Grpel1; Bola1; Bola3; Abcb7; Cisd3","skin","MHU-2_dorsal","GLDS-238","Stat_(Space Flight & uG & JAXA Chow )v(Ground Control & 1G & JAXA Chow )",1,"flight_positive"
