"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",0.00843332954841119,0.0234259154122533,0.380730400722792,-0.280410459448407,-1.44616984030825,200,"hallmark","Angptl4; Chuk; Ifngr1; Slc27a1; Adipor2; Lep; Ech1; Nabp1; Hspb8; Elmod3; Pim3; Miga2; Fzd4; Jagn1; Lipe; Mgst3; Acox1; Cavin2; Samm50; Sncg; Gpat4; Cavin1; Sorbs1; Itih5; Acadl; Adcy6; Dhrs7b; Mgll; Cd151; Plin2; Cd36; Fabp4; Phldb1; Agpat3; Acaa2; Retsat; Coq3; Cyp4b1; Fah; Nmt1; Map4k3; Rreb1; Pex14; Ephx2; Adig; Ltc4s; Arl4a; Preb; Slc1a5; Itga7; Ppm1b; Aco2; Cmbl; Apoe; Etfb; Hibch; Bckdha","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_ALLOGRAFT_REJECTION",0.0207414863872453,0.0513779125568366,0.352487857583619,-0.265847146147909,-1.36807550411534,196,"hallmark","Cd79a; Ifngr1; Fasl; Cd40lg; Il2rb; Lck; Ccl7; Cd8a; Cd96; Ccl4; Flna; Tap2; Cd8b1; Itgal; Ccl19; Itk; Ccl22; Ccl2; Tap1; Zap70; Cxcl13; Il4ra; Ets1; Ltb; Cd4; Il12a; Map4k1; H2-T23; Cd3d; Nos2; Il15; Sit1; H2-Ob; Il27ra; Cd2; Ccl5; Cd3e; Prf1; Ccnd3; Il18rap; Stat4; H2-Oa; Gpr65; Ube2d1; Ikbkb; Fas; Elane; Tlr1; Ifng; Glmn; Cd247; Ncr1; Srgn; Cd3g; Il2ra; Gzmb; Trat1; Cd28; Gzma; Klrd1; Il2; Icosl","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_ANDROGEN_RESPONSE",0.188251001335113,0.294142189586115,0.112843355675562,0.292342556742982,1.16695676945611,102,"hallmark","Scd2; Insig1; Maf; Cenpn; Sec24d; Klk1; Stk39; Dbi; Lman1; Itgav; Tpd52; Appbp2; Ell2; Pa2g4; Abcc4; Scd1; Sat1; Nkx3-1; Spcs3; Fads1; Homer2; Idi1; Pgm3; Klk1b24; Akt1; Ccnd1; Slc38a2; Tmprss2; Ube2i; Sord; Hpgd; Cdc14b; Map7; Selenop; Ank; Gnai3","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_ANGIOGENESIS",2.06336068642852e-06,1.71946723869043e-05,0.627256739718528,0.677146597667877,2.23970913943836,36,"hallmark","Col3a1; Lum; Col5a2; Timp1; Fstl1; Vcan; Cxcl5; Postn; Pf4; S100a4; Thbd; Itgav; Spp1","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_APICAL_JUNCTION",0.486486486486487,0.517538815411156,0.0564118388217596,0.227352288252552,0.986835925833106,195,"hallmark","Cercam; Bmp1; Cd34; Insig1; Cdh4; Vcan; Cd276; Mmp2; Thy1; Adra1b; Fbn1; Col16a1; Slc30a3; Dsc1; Cdh11; Msn; Gamt; Itga10; Ldlrap1; Tial1; Cx3cl1; Mapk14; Arpc2; Cntn1; Krt31; Jup; Baiap2; Cdsn; Mapk13; Atp1a3; Alox8","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_APICAL_SURFACE",0.230994152046784,0.303939673745768,0.105520936843198,0.33918164339338,1.17270533356578,44,"hallmark","Pcsk9; Mdga1; Thy1; Srpx; Dcbld2; Sulf2; Lypd3; Mal; Cx3cl1","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_APOPTOSIS",0.478927203065134,0.517538815411156,0.0589694466690997,0.235209508011302,0.992379858481937,159,"hallmark","Lum; Timp1; Bgn; Timp2; Dcn; Casp1; Ereg; Mmp2; Dap; Il18; Sc5d; Igfbp6; Cd44; Ebp; Cth; Top2a; Casp6; Lgals3; Krt18; Btg3; Pdcd4; Casp3; Il6; Tgfb2; Clu; Ppt1; Cdc25b; Sat1; Smad7; Dnm1l; Ifitm3; Gstm2; Emp1; Wee1; Pdgfrb; Plat; Fdxr; Gna15; Ccnd1","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_BILE_ACID_METABOLISM",0.152,0.281145668599543,0.231126709673834,-0.253278812937779,-1.16245085901118,104,"hallmark","Slc23a1; Lck; Ch25h; Mlycd; Pex6; Lipe; Gnmt; Hsd17b4; Abca5; Slc27a5; Pex19; Hsd3b7; Aldh9a1; Retsat; Optn; Acsl1; Nr3c2; Bmp6; Abca3; Slc29a1; Ephx2; Pex11g; Ttr; Idh2; Ar; Abca2; Hsd17b11; Pxmp2; Cat; Nedd4; Aqp9; Lonp2; Isoc1; Cyp27a1; Pex13; Bcar3; Abca4; Sod1; Abcd2; Pfkm","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0407186784606167,0.0848305801262848,0.321775918075361,0.381955705730777,1.4445691720608,74,"hallmark","Scd2; Fasn; Sema3b; Acss2; Niban1; Gpx8; Hsd17b7; Sc5d; Pmvk; Ebp; Dhcr7; Lgals3; Cyp51; Pdk3; Gusb; Cpeb2; Fabp5; Stard4; Clu; Stx5a; Scd1; Mvk; Lss; Idi1; Antxr2; Mal2; Sqle; Srebf2; Tm7sf2; Ldlr; Pcyt2; Lgmn; Aldoc; Nsdhl; Anxa5","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_COAGULATION",1.58789242930516e-07,1.58789242930516e-06,0.690132458796796,0.494162196168885,2.03700985083039,128,"hallmark","Fn1; Mmp3; Sparc; Timp1; Ctsh; Bmp1; Comp; Htra1; Klk8; Rgn; Serping1; Cpq; Ctsk; Mmp2; Fbn1; Arf4; Furin; P2ry1; Serpinc1; Apoc3; Pf4; Gng12; Fyn; Capn5; Thbd; Mmp14; Lamp2; Dpp4; C3; Serpinb2; Dusp14; C1s1; Ctsb; Lta4h; C9; Plau; Apoa1; Ctsl; Clu; Pros1; C2; Prep; Cfh; Capn2; Masp2; Itgb3; F10; Gnb2; C1qa; Lrp1; Plat","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_COMPLEMENT",0.0321904328658615,0.0699792018823075,0.321775918075361,0.318834366917614,1.38104945186608,192,"hallmark","Fn1; Timp1; Ctsh; Timp2; Pcsk9; Scg3; Casp1; Serping1; Cpq; Usp8; Pclo; Atox1; Serpinc1; Klk1; Itgam; Fyn; Mt3; Ctsc; Mmp13; Prdm4; Kif2a; Vcpip1; Mmp14; Lamp2; Dpp4; Me1; C3; Lgals3; Serpinb2; Phex; C1s1; Ctsb; Lta4h; Hpcal4; Cpm; Cdk5r1; C9; Casp3; Il6; Pim1; Prcp; Ctsl; Clu; C2; Cd59b; Prep; Cfh; Rbsn; F10; C1qc; Calm1; Gnb2; C1qa; Lrp1; Lap3; Kcnip3; Ppp2cb; Plat; Zfpm2","skin","MHU-2_femoral","GLDS-239"
"HALLMARK_DNA_REPAIR",0.940949935815148,0.945762711864407,0.0275885895800029,0.180349168479244,0.757350231703945,150,"hallmark","Polr2d; Ada; Rad51; Nme1; Polr2i; Gtf2h1; Itpa; Lig1; Dut; Guk1; Rae1; Gmpr2; Fen1; Rala; Aaas; Pola1; Rfc2; Rpa2; Polr1d; Dad1; Aprt; Tyms; Tmed2; Gtf2h3; Rfc5; Rfc3; Eloa; Srsf6; Taf10; Rfc4; Gtf2b; Mpg; Rev3l; Gtf2h5; Sec61a1; Nudt21; Rpa3; Nt5c3; Pom121; Gtf2f1; Taf9; Ddb1; Polh; Ell; Ak3; Vps28; Arl6ip1; Bcap31; Pcna; Polr3c; Polr2g; Sdcbp; Polr2h; Dctn4; Ercc2; Sac3d1; Prim1; Gtf2a2; Nme4; Ago4; Upf3b; Clp1; Trp53; Ercc5","skin","MHU-2_femoral","GLDS-239"
