"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.993431855500821,1,0.0369160593316849,-0.167303209166212,-0.464050181363352,17,"kegg","Gsto1; Cox6a1; Cox7a2; Cox6b1; Cox7a2l; Cox4i2; Cox5b; Cox7b; Cox5a; Cox6c; Cox4i1; Cox7a1; Cox8a; Cox7c; As3mt; Cox6a2; Cox6b2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.592654424040067,0.871397504612952,0.0615706755421678,-0.341995418269316,-0.928033926705799,16,"kegg","Gsta1; Gsta5; Gsto1; Mgst2; Gstm2; Gsta3","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0.0555947097758869,0.154101775617498,0.455702533700493,16,"kegg","Chrna9; Jun; Araf; Esr1; Raf1; Esr2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.170854271356784,0.569089227230681,0.135740943810425,-0.484583397232523,-1.29291741455065,15,"kegg","Tubb4a; Tubb2a; Cdk5; Tubb3; Tubb5; Tuba1c; Tubb6; Tuba1a; Tubb2b; Tuba1b","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.493827160493827,0.833097728772029,0.0913924325943768,0.32658918666373,0.963081485370682,15,"kegg","Chuk; Prkd2; Nfkb1; Ikbkb; Nfkbia; Ikbkg; Prkd3","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.954314720812183,1,0.0588438169595807,0.19043102273611,0.595663375403281,19,"kegg","Bcl2; Jun; Araf; Chrnb4; Raf1","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.425587467362924,0.797074832942426,0.103576326612592,0.319132652619277,1.01095255052433,20,"kegg","Gstt2; Cyp1a1; Gstm1; Cyp1b1; Mgst3","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.172529313232831,0.569089227230681,0.135002033828631,-0.482656263558733,-1.28777562739649,15,"kegg","Tubb4a; Tubb2a; Tubb3; Gsk3b; Tubb5; Tuba1c; Tubb6; Tuba1a; Tubb2b; Tuba1b","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.318555008210181,0.683501522470388,0.0931454575337804,-0.400052526307575,-1.10962872925805,17,"kegg","Arpc2; Arpc4; Wasl; Actr2; Arpc3; Arpc5; Arpc1a; Wipf2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.304857621440536,0.668433161854045,0.096887770327544,-0.420439717413289,-1.12177560254207,15,"kegg","Sos1; Mapk1; Kras; Nras; Elk1; Mapk3; Map2k2; Sos2; Braf; Hras","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.217755443886097,0.624986403880876,0.118287526124085,-0.459996711386202,-1.22731765509058,15,"kegg","Sos1; Mapk1; Pdgfra; Pdgfrb; Kras; Nras; Mapk3; Map2k2; Sos2; Braf; Hras","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.273458445040214,0.664113366526235,0.135740943810425,0.323927363866703,1.09883019758287,25,"kegg","Adcy1; Adcy5; Adcy4; Adcy6; Creb3l2; Adcy2; Creb1","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.0165355775895444,0.243624176485954,0.352487857583619,-0.524957040127821,-1.71542857558738,32,"kegg","Creb3l3; Creb3l1; Gng13; Rhoa; Gng7; Gng10; Gng12; Map2k6; Mapk14; Mapk13; Creb3; Gnb1; Gnb2; Gng8","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.83547557840617,0.971629762588203,0.0658311958368866,0.238449180415132,0.730287648892793,18,"kegg","Ppp3cc; Nfatc1; Ppp3cb; Ppp3r2; Calm2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.399385560675883,0.774247446573423,0.0770736734944102,-0.325759242053781,-1.04301490481383,29,"kegg","Gng13; Gng7; Gng10; Gng12; Il6; Gnb1; Gnb2; Gng8; Akt1; Gnb5","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.152671755725191,0.546546546546547,0.181383128498408,0.431594048127231,1.29676843909978,17,"kegg","Ppp3cc; Cxcr4; Nfatc1; Ppp3cb; Ppp3r2; Calm2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.1939586645469,0.587189929655683,0.122679189568808,-0.398137991661718,-1.22241104738931,25,"kegg","Gng13; Gng7; Gng10; Gng12; Cfl1; Gnb1; Gnb2; Gng8; Gnb5","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.288888888888889,0.668433161854045,0.12563992130984,0.381144845827853,1.12396110848343,15,"kegg","Chuk; Nfkb1; Ikbkb; Nfkbia; Tnfrsf1a; Ikbkg; Tab1; Traf5; Traf2","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.582914572864322,0.871397504612952,0.0625237414724762,-0.346834990031914,-0.925390760700347,15,"kegg","Sos1; Mapk1; Kras; Nras; Mapk3; Map2k2; Sos2; Braf; Hras","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.113902847571189,0.474953383268544,0.169570644405628,-0.519459011148561,-1.385969072599,15,"kegg","Anapc2; Espl1; Cdc20; Cdc27; Anapc7; Cdc16","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.109090909090909,0.474953383268544,0.16440575583821,-0.417215800668468,-1.34825802483439,30,"kegg","Hif1a; Gng13; Gng7; Gng10; Gng12; Gnb1; Mapk1; Gnb2; Gng8; Kras; Gnb5","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.133012820512821,0.510918611776503,0.152144922367565,-0.432626399293459,-1.29860391238442,23,"kegg","Gng13; Gng7; Gng10; Gng12; Gnb1; Gnb2; Gng8; Akt1; Gnb5","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.0448916408668731,0.321342021648985,0.266350657088526,-0.479930733753699,-1.50920922365355,27,"kegg","Gng13; Gng7; Gng10; Gng12; Mapk8; Il6; Gnb1; Mapk9; Gnb2; Gng8; Gnb5","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.525396825396825,0.847537944618237,0.0649407684612899,-0.327499073704235,-0.966880734137473,21,"kegg","Tubb4a; Tubb2a; Kif5b; Tubb3; Tubb5; Tuba1c; Tubb6; Tuba1a; Tubb2b; Tuba1b","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.448484848484848,0.805814239960581,0.0704500850658419,-0.311446985545108,-1.00645971916424,30,"kegg","Arpc2; Arpc4; Pik3c2b; Nckap1; Wasf1; Actr2; Arpc3; Arpc5; Arpc1a; Cyth3","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.190630048465267,0.587189929655683,0.125033367555272,-0.429123235189939,-1.24051808528262,20,"kegg","Arpc2; Arpc4; Nckap1; Wasf1; Actr2; Arpc3; Arpc5; Arpc1a","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.56989247311828,0.868594734890619,0.059476028695732,-0.285855546298968,-0.915251378698567,29,"kegg","Arpc2; Arpc4; Nckap1; Wasf1; Actr2; Arpc3; Arpc5; Arpc1a; Cyth3","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1,1,0.0652353056017703,0.129703284211084,0.494970720056039,39,"kegg","Psmd4; Psmd2; Psmc3; Psmd7; Psmc2; Psmd12; Psma8; Psmb3; Psmd1; Psmb7; Psma7; Psmb6; Psmd6; Psma5; Psmb4","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY",0.188888888888889,0.587189929655683,0.124434168630393,-0.420295349703124,-1.24084465851809,21,"kegg","Creb3l3; Creb3l1","skin","MHU-2_femoral","GLDS-239","Stat_(Space Flight & uG & JAXA Chow with FOS)v(Ground Control & 1G on Earth & JAXA Chow with FOS)",1,"flight_positive"
