"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"HALLMARK_ADIPOGENESIS",0.326947637292465,0.46706805327495,0.0778840111977068,-0.216080348284529,-1.04993227227531,200,"hallmark","Col15a1; Mrap; Slc25a10; Cdkn2c; Ak2; Grpel1; Retn; Tkt; Aplp2; Tst; Col4a1; Cox6a1; Stom; Pdcd4; Taldo1; Abcb8; Cox8a; Fah; Ndufb7; Bckdha; Nabp1; Pfkl; Mdh2; Agpat3; Acly; Acads; Slc5a6; Hadh; Gpat4; Uqcr11; Slc25a1; Uqcr10; Scarb1; Rab34; Cyc1; Ccng2; Cd151; Baz2a; Ucp2; Apoe; Nmt1; Uqcrq; Esrra; Mgst3; Lpl; Aifm1; Atp1b3; Atp5o; Lpcat3; Ddt; Sdhb","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_ALLOGRAFT_REJECTION",0.809302325581395,0.825818699572852,0.0995791200495904,0.162159049400246,0.873542418494571,197,"hallmark","Il12a; Gbp2; Cxcl9; Tgfb2; Ube2d1; Irf4; Elf4; Fas; H2-M3; Prkcg; Ifngr1; Cd47; Cd2; Trat1; Il7; Ripk2; Ifng; Ccl11; Cxcl13; Hdac9; B2m; Il2ra; Gzmb; Csf1; Rpl3l; Il16; Gzma; Tlr3; H2-Aa; Nck1; Cd28; Cd40lg; Prkcb; Cd86; Galnt1; Cd4; Il2; St8sia4; Pf4; Cd96; Ctss; Itk; Icam1; Ccl5; Il27ra; Stat1; Glmn; Ptprc; Itgb2; Fcgr2b; Stat4; Cd3g; Gpr65; C2; Jak2; Ccr2; Acvr2a; Ly75; Ache; Ptpn6; Was; Tap2; H2-DMb1; Il13; Cd3d; Il15","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_ANDROGEN_RESPONSE",0.543262411347518,0.631700478311067,0.0579754757571486,-0.215230498739819,-0.956610168346368,105,"hallmark","Scd2; Insig1; Dbi; Pa2g4; Krt19; H1f0; Ell2; Spdef; Krt8; Pmepa1; Ccnd1; Ube2i; Map7; Hsd17b14; Aldh1a3; Fads1; Adrm1; Akt1; Myl12a; Cenpn; Scd1; Rrp12; Ptk2b; Actn1; Tmprss2; Sat1; Abhd2; Tpd52; Srf; Xrcc6; Tmem50a; Appbp2; Zmiz1; Klk1b9; Srp19; Sgk1; Adamts1; Klk1; Acsl3","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_ANGIOGENESIS",0.494029850746269,0.588130774697939,0.0649407684612899,-0.270345162581808,-0.979211759089014,36,"hallmark","Timp1; Cxcl5; Msx1; Jag1; Lpl; Lrpap1; Thbd; Vcan; App; Jag2; Col5a2; Col3a1; Stc1","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_APICAL_JUNCTION",0.0141803618468793,0.0308268735801724,0.380730400722792,-0.289545152519544,-1.40597442703277,198,"hallmark","Lamc2; Insig1; Dsc1; Icam5; Slc30a3; Cldn14; Mpzl1; Hras; Lama3; Pfn1; Cldn4; Gtf2f1; Mmp9; Cdsn; Actg1; Nectin4; Nectin2; Pik3r3; Cdh1; Pard6g; Mpzl2; Fscn1; Tubg1; Jup; Mapk13; Vasp; Crb3; Cdh3; Dmp1; Src; Pcdh1; Nectin1; Hadh; Bmp1; Cap1; Ctnna1; Cldn8; Alox8; Actb; Actn4; Amh; Grb7; Tjp1; Vcl; Myh9; Pbx2; Egfr; Dlg1; Shc1; Col16a1; Myl12b; Ldlrap1; Fbn1; Nf2; Evl; Cdh11; Thy1; Vcan; Dhx16; Mdk; Msn; Actn1; Cntn1; Myh10; Zyx; Actc1; Mvd; Krt31; Nrxn2; Cnn2; Gamt; Arpc2; Cldn7; Kcnh2; Ctnnd1; Itga3; Nrtn; Pik3cb","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_APICAL_SURFACE",0.315555555555556,0.464052287581699,0.0878312634480124,-0.290161380520455,-1.09879818988303,44,"hallmark","Lypd3; Crybg1; Rhcg; Mdga1; Sulf2; Pcsk9; Scube1; Thy1; App; Brca1; Hspb1; Ephb4; Pkhd1; Adam10; Efna5; Plaur","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_APOPTOSIS",0.0319758755372355,0.0614920683408375,0.321775918075361,-0.293348315506528,-1.3797302034277,159,"hallmark","Timp1; Gadd45b; Ebp; Il6; Bnip3l; Pdcd4; Hmgb2; Cdkn1a; H1f0; Cth; Ctnnb1; Hmox1; Sc5d; Pmaip1; Top2a; Ier3; Igf2r; Rhot2; Krt18; Rhob; Casp6; Tspo; Ccnd1; Cd14; Casp3; Fdxr; Dap3; Gucy2e; Aifm3; Smad7; Clu; Bcl2l10; Etf1; Lmna; Lgals3; Gna15; Ppp2r5b; Psen2; Bax; Cd44; Casp2; Erbb3; Bcl2l1; Lef1; Btg3; Btg2; Slc20a1; Gpx1; Sat1; Bik; App; Dnaja1; Brca1; Hspb1; Diablo; Cdk2; Isg20; Nedd9; Gch1; Erbb2; Cdc25b; Tnfrsf12a; Bcl2l2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_BILE_ACID_METABOLISM",0.264808362369338,0.427110261886029,0.159646701919906,0.217785032954841,1.0819007550268,109,"hallmark","Nr1h4; Ar; Nr3c2; Abca8b; Rxrg; Hsd17b11; Abca5; Bbox1; Nudt12; Abcg8; Cyp39a1; Abcd3; Abca9; Pex11a; Abca6; Ch25h; Gc; Pecr; Pex13; Cyp8b1; Slc23a1; Acsl5; Atxn1; Nedd4; Gnpat; Pfkm; Amacr","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00400022689637275,0.0100005672409319,0.407017918923954,-0.393633830897547,-1.65808433757002,75,"hallmark","Scd2; Fasn; Ebp; Fabp5; Gstm7; Ctnnb1; Sc5d; Actg1; Nfil3; Alcam; Fads2; Cd9; Pcyt2; Mal2; Cbs; Mvk; Trib3; Clu; Nsdhl; Ethe1; Cpeb2; Lgals3; Stard4; Jag1; Aldoc; S100a11; Lpl; Scd1; Srebf2; Mvd; Atf5; Ldlr; Fdps; Abca2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"HALLMARK_COAGULATION",0.424042272126816,0.552977189690925,0.066436413766281,-0.218706570451089,-1.01232465954356,138,"hallmark","Klk8; Timp1; Prep; Ctsl; Wdr1; Mmp9; S100a1; C8a; Dusp14; Proc; Cd9; Sh2b2; Ctsb; Bmp1; Dusp6; Fgg; Apoc2; Clu; Pef1; Gnb2; Apoc1; Capn2; Maff; Fbn1; Furin; Lta4h; Serpine1; Mmp14; Thbd; Rabif; Capn5; Crip2; Serpina1e; Serpinc1; Csrp1; Rgn; Fyn; Arf4; C8b; Mmp8; Lgmn; C1rb; F11; Ctse","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
