"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.0185825727215806,0.065194350616649,0.352487857583619,-0.532410260678414,-1.60393658891755,17,"kegg","Cox6b1; Gsto1; Cox7a2; Cox6a1; Cox8a; Cox4i2; Cox4i1; Cox7a2l; Cox5b; Cox6b2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.390048154093098,0.523980351582897,0.0806388495950661,-0.356919984059818,-1.05029014404359,16,"kegg","Gsto1; Gstm7; Mgst2; Mgst3; Gsta3; Gstp1","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.187800963081862,0.342444717444717,0.12563992130984,-0.424545037337921,-1.24928692237055,16,"kegg","Hras; Mapk3; Map2k1; Src; Braf; Map2k2; Nras","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.000229567652969,0.00170645288706956,0.518848077743792,-0.692692585111041,-1.98605417244911,15,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Tuba1c; Tubb2b; Tubb5; Cdk5; Tubb4b","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.141447368421053,0.269596266306793,0.149207542435322,-0.454691558216538,-1.30366931274222,15,"kegg","Acp1; Ptpn11; Src","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.193910256410256,0.342444717444717,0.123257226381337,-0.398533731074217,-1.23236052805757,19,"kegg","Hras; Mapk3; Map2k1; Braf; Chrna4; Chrnb2; Map2k2; Nras; Chrna7; Myc; Raf1; Chrna3; Kras","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.191099476439791,0.342444717444717,0.163180127180689,0.357147653674439,1.21335664025434,20,"kegg","Cyp1a1; Gsta5; Ahr; Arnt","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.000104933844586896,0.00101740205838599,0.538434096309916,-0.714505450289523,-2.04859494859132,15,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Tuba1c; Tubb2b; Tubb5","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.237341772151899,0.383530544854155,0.108820126769161,-0.395153715581185,-1.19043818175061,17,"kegg","Arpc4; Arpc3; Actg1; Actb; Arpc1a; Arpc1b","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.101973684210526,0.213895720609936,0.178219874951973,-0.477347799322728,-1.36862817493901,15,"kegg","Hras; Mapk3; Map2k1; Src; Braf; Map2k2; Nras","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
