"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.933333333333333,0.96,0.062249042949858,0.185140435302371,0.672622934620795,25,"mitocarta","Acadsb; Ppm1k; Etfa; Bckdhb; Aldh6a1; Etfdh; Dbt; Hibch; Hadha; Acat1; Auh; Dld; Mccc2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.56738768718802,0.824226289517471,0.0635007968065945,-0.324247763447892,-0.922982122228392,15,"mitocarta","Gcat; Sardh; Shmt2; Aldh7a1; Amt; Etfb; Slc25a38; Chdh; Gcsh; Dmgdh; Glyat","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.750617283950617,0.900740740740741,0.069119845655101,0.245409165973445,0.787141739908587,16,"mitocarta","Aadat; Aass; Hadhb; Etfa; Etfdh","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.499197431781701,0.781352501919185,0.0679922591544058,-0.310183722821787,-0.964385632140873,20,"mitocarta","Dlst; Mdh2; Ogdhl; Sdhb; Cs","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.446909667194929,0.731306728137156,0.0728938564822936,-0.296240039949923,-0.992110363172221,27,"mitocarta","Prdx2; Hagh; Txnrd1; Prdx5; Gpx1; Aldh7a1; Nit1; Prdx4; Gpx4","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.27140549273021,0.57474104342868,0.101713902282311,-0.361587407185079,-1.15781761813196,23,"mitocarta","Acsm2; Tst; Mtarc1; Gstz1; Mpst; Aldh1b1; Akr7a5; Cyb5r3; Cbr3","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.43739837398374,0.731306728137156,0.0753093764172773,-0.309933323273541,-0.997646411434872,24,"mitocarta","Fasn; Dbi; Acot7; Acaa1b; Slc25a1; Them4","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.896838602329451,0.96,0.0422468188360053,-0.232261813808915,-0.661141034690339,15,"mitocarta","Prelid1; Plscr3; Ptpmt1; Prelid3a; Pgs1; Tamm41; Triap1","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.0100957286626204,0.062050723533074,0.380730400722792,0.378861052216001,1.59863176535997,45,"mitocarta","Decr1; Eci2; Acsl6; Acadl; Slc25a20; Acadm; Acss1; Cpt1b; Acadsb; Acad12; Hadhb; Acad11; Etfa; Acsf2; Crat; Eci1; Amacr; Etfdh","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.829457364341085,0.9594,0.066436413766281,0.200678677141787,0.725736962301391,24,"mitocarta","Serac1; Gpam; Osbpl1a; Agk; Akr1b7; Stard7","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
