"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.000344802994155999,0.00130440725924778,0.49849310876659,-0.410246318187442,-1.75607796976038,87,"reactome","Vcp; Psmd13; Psmd2; Psmd7; Derl1; Psmc4; Psma5; Psmc5; Psmd3; Psmc1; Psmb1; Sem1; Abcb8; Psmc2; Psma7; Psmb2; Abcf1; Rnf185; Psmc3; Psmb5; Abcb10; Uba52; Psmd8; Psmb3; Psmd14; Psma2; Psmd1; Psmb6; Eif2s2; Adrm1; Os9; Psmb7; Rps27a; Abcg4; Psmb4; Abcb9; Psmd11; Abca7; Eif2s3x; Ubb; Ubc; Abca2; Abcb6; Psma6; Eif2s1; Abcc10; Psma1; Psmc6; Psmd12","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.0105619752370898,0.0274120101502144,0.380730400722792,0.559640398609511,1.80186218470598,17,"reactome","Abca5; Abcg8; Abcd3; Abca9; Abca6; Pex3","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ABC_TRANSPORTER_DISORDERS",2.06985773092732e-05,9.62483844881202e-05,0.575610261071129,-0.495530453144399,-1.98919109577759,64,"reactome","Vcp; Psmd13; Psmd2; Psmd7; Derl1; Psmc4; Psma5; Psmc5; Psmd3; Psmc1; Psmb1; Sem1; Psmc2; Psma7; Psmb2; Rnf185; Psmc3; Psmb5; Uba52; Psmd8; Psmb3; Psmd14; Psma2; Psmd1; Psmb6; Adrm1; Os9; Abcb11; Psmb7; Rps27a; Psmb4; Psmd11; Ubb; Ubc; Abcb6; Psma6; Psma1; Psmc6; Psmd12","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.117363344051447,0.209899826861242,0.163180127180689,-0.440779318183252,-1.3699541270509,20,"reactome","Anapc15; Ube2c; Skp2; Ube2s; Fzr1; Anapc7; Anapc11","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.000559359908904059,0.00200722076635669,0.477270815362862,-0.642494973183828,-1.91185930351709,17,"reactome","Tfdp1; E2f2; Cdkn1a; Ccne1; Cdk4; E2f3; Ccnd1","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",7.57475633731609e-08,5.28339254527797e-07,0.704975715167238,-0.744503090871725,-2.40418021731394,23,"reactome","Polr2g; Ncbp2; Polr2b; Gtf2f1; Ctdp1; Ncbp1; Polr2f; Polr2h; Polr2i; Polr2e; Nelfcd; Polr2l; Polr2j; Polr2d; Supt5; Nelfe; Gtf2f2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.135135135135135,0.233092443293371,0.199915231309662,0.409833442084167,1.31953194078581,17,"reactome","Ppfia2; Unc13b; Chat; Ppfia4; Vamp2; Snap25; Stxbp1; Slc18a3","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.0393081761006289,0.0846570479268126,0.287857117255149,-0.425474572503563,-1.49032385763025,32,"reactome","Ncstn; Uba52; Numb; Notch1; Aph1a; Jag1; Rps27a; Psen2; Cntn1; Ubb; Jag2; Arrb2; Ubc; Psenen; Adam10; Neurl1b; Dtx2; Mib1; Mib2","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",2.05827791311705e-14,3.76563631317807e-13,0.97599468306432,-0.719793321457736,-2.77739893732534,51,"reactome","H3c15; H3c7; H2ac7; H2ac19; H4c6; H2bc7; H4c1; H2bc4; H4c3; H3c3; H2bc8; H4c8; H3c2; H3c4; H4c2; H4c18; H2bc14; H4c4; H3c1; H3c11; H3f3a; H4c11; H2ac20; H2ax; H3c8; H4c12; Ncoa2; H4c14; H3c10; H2ac4","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.0849358974358974,0.1617550538199,0.193813302725311,-0.433460936758767,-1.3997500103238,23,"reactome","Map2k3; Map3k7; Uba52; Ube2v1; Rps27a; Ube2n; Mapkapk2; Ubb; Mapkapk3; Ubc; Tab1; Mapk11","skin","RR-6","GLDS-243","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
