"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.02895031232358,0.0949399948258579,0.352487857583619,0.532410260678414,1.58346065319222,17,"kegg","Cox6b1; Gsto1; Cox7a2; Cox6a1; Cox8a; Cox4i2; Cox4i1; Cox7a2l; Cox5b; Cox6b2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.399366085578447,0.530952380952381,0.0787113806986485,0.356919984059819,1.04639129324713,16,"kegg","Gsto1; Gstm7; Mgst2; Mgst3; Gsta3; Gstp1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.187004754358162,0.336306937273146,0.125033367555272,0.424545037337921,1.24464936260679,16,"kegg","Hras; Mapk3; Map2k1; Src; Braf; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.000189129682005013,0.00147501906068042,0.518848077743792,0.692692585111041,1.9915684934283,15,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Tuba1c; Tubb2b; Tubb5; Cdk5; Tubb4b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.131746031746032,0.255472739820566,0.152144922367565,0.454691558216538,1.30728897787568,15,"kegg","Acp1; Ptpn11; Src","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.194704049844237,0.345672123015873,0.120985142145252,0.398533731074217,1.2360260553745,19,"kegg","Hras; Mapk3; Map2k1; Braf; Chrna4; Chrnb2; Map2k2; Nras; Chrna7; Myc; Raf1; Chrna3; Kras; Jun; Mapk1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.245810055865922,0.399609982343795,0.147331213699377,-0.357147653674439,-1.18207538427781,20,"kegg","Cyp1a1; Gsta5; Ahr; Arnt","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",7.35718675533733e-05,0.000781263164971535,0.538434096309916,0.714505450289523,2.05428291534448,15,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Tuba1c; Tubb2b; Tubb5","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.252427184466019,0.402080443828017,0.106323255932708,0.395153715581185,1.17524098763276,17,"kegg","Arpc4; Arpc3; Actg1; Actb; Arpc1a; Arpc1b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.0904761904761905,0.199356338279993,0.186432558434075,0.477347799322728,1.37242819971299,15,"kegg","Hras; Mapk3; Map2k1; Src; Braf; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.287301587301587,0.429988281666134,0.0972150808846466,0.395245039764219,1.13637360251525,15,"kegg","Hras; Mapk3; Map2k1; Braf; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.845911949685535,0.898277927523211,0.042331839351853,0.226218635124076,0.749126283119295,25,"kegg","Atf4; Creb3l3; Creb3l4; Atf6b; Adcy8; Prkaca; Creb5; Creb3l1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.106976744186047,0.222951532275592,0.16823816568964,0.381752561003501,1.33225792974674,32,"kegg","Gnb1; Atf4; Creb3l3; Creb3l4; Atf6b; Mapk13; Gnb5; Gnb2; Creb5; Creb3l1; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.00848095096681557,0.0363702320307668,0.380730400722792,-0.528399228337428,-1.72465634595457,18,"kegg","Plcb4; Gnaq; Ppp3ca; Nfatc1; Ppp3cb; Calm2; Ptgs2; Ppp3r1; Ppp3cc; Plcb2; Plcb1; Nfatc3; Nfatc2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.37888198757764,0.512064746847356,0.080419996876154,0.304284340818618,1.04360362785686,29,"kegg","Il6; Gnb1; Gnb5; Gnb2; Akt1; Gnb3; Gng3; Gng4; Pik3cb; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.1953125,0.345672123015873,0.160801401070022,-0.382815176661817,-1.24079840173862,17,"kegg","Gnaq; Ppp3ca; Nfatc1; Ppp3cb; Calm2; Ppp3r1; Ppp3cc; Nfatc3; Nfatc2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.224842767295597,0.378201141952626,0.111918316325105,0.35663832916411,1.18101298683042,25,"kegg","Gnb1; Cfl1; Gnb5; Gnb2; Rac3; Cxcr4; Gnb3; Gng3; Gng4; Gng13; Limk1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.815873015873016,0.878935664442911,0.0444181153081573,0.260455639339808,0.748839032486155,15,"kegg","Map3k7; Tradd; Tab1; Tnfrsf1a; Rela; Traf2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.0634920634920635,0.159519156954428,0.224966093540314,0.503897118326283,1.4487604550106,15,"kegg","Hras; Mapk3; Map2k1; Atp6v0c; Braf; Egfr; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.36031746031746,0.497623601692459,0.0843144320642653,0.371409090809471,1.06784258894646,15,"kegg","Cdc20; Anapc13; Anapc7; Anapc11; Cdc23; Espl1; Anapc2; Cdc26; Anapc10; Cdc16; Anapc1; Cdc27","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.0301628755866843,0.0974829167511682,0.352487857583619,0.42976759524521,1.48254351549119,30,"kegg","Gnb1; Hras; Mapk3; Hif1a; Map2k1; Gnb5; Gnb2; Map2k2; Nras; Gnb3; Gng3; Gng4; Gng13; Raf1; Kras; Gng5; Jun; Mapk1; Gngt2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.606635071090047,0.719572451346173,0.0578529757032509,0.279742935189406,0.909507267188625,23,"kegg","Gnb1; Gnb5; Gnb2; Mtor; Akt1; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.889589905362776,0.924250440917108,0.0401660980049421,0.211545369487349,0.714148512455927,27,"kegg","Il6; Gnb1; Gnb5; Gnb2; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.000109418305056022,0.000976011281099715,0.538434096309916,0.651043549346395,2.07695412657237,21,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Klc3; Tuba1c; Tubb2b; Tubb5; Klc4; Tubb4b; Klc1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0482115085536547,0.136090714018544,0.257206466468838,0.418444105832813,1.44348155273082,30,"kegg","Arf6; Arpc4; Arf1; Arpc3; Actg1; Cyth2; Actb; Arpc1a; Cyfip1; Arpc1b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.116459627329193,0.240467563837129,0.160801401070022,0.423611597640142,1.33263560964926,20,"kegg","Arpc4; Arpc3; Actg1; Actb; Arpc1a; Cyfip1; Arpc1b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0427225374978516,0.124887198187135,0.321775918075361,0.434361815705185,1.48973018280502,29,"kegg","Arf6; Arpc4; Arf1; Arpc3; Actg1; Cyth2; Actb; Arpc1a; Cyfip1; Arpc1b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",2.22558099472074e-09,1.65434853940908e-07,0.774939030136436,0.679235834926068,2.49218500821426,39,"kegg","Psmd13; Psmd2; Psmd7; Psmc4; Psma5; Psmc5; Psmd3; Psmc1; Psmb1; Sem1; Psmc2; Psma7; Psmb2; Psmc3; Psmb5; Uba52; Psmd8; Psmb3; Psmd14; Psma2; Psmd1; Psmb6; Psmd4; Adrm1; Psmd9; Psmb7; Rps27a; Psmb4; Psmd11; Ubb; Ubc; Psma6; Psma1; Psmc6; Psmd12","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY",0.0431224854726878,0.124887198187135,0.321775918075361,0.484436284369363,1.54544491054776,21,"kegg","Atf4; Creb3l3; Hras; Creb3l4; Mapk3; Atf6b; Map2k1; Braf; Map2k2; Nras; Creb5; Creb3l1; Chrna7; Raf1; Kras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY",0.557103064066852,0.671535044794098,0.0913924325943768,-0.254377581133922,-0.948367945502791,30,"kegg","Pbx1; Adcy1; Mc2r; Adcy4; Creb3l2; Adcy2; Nr4a1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119",0.347826086956522,0.490919097413319,0.0850427463764322,0.34794249735309,1.094588922178,20,"kegg","H2ac4; Jarid2; Trim27; Pcgf1; Ring1; Ubb; Bcorl1; Skp1; Bcor; Aebp2; Yaf2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES",0.130503144654088,0.255472739820566,0.152144922367565,0.395931876951323,1.31113413882243,25,"kegg","Hdac1; Tfdp1; H2ac4; Jarid2; Max; Ring1; Wdr5; Ubb; Cbx3; Ehmt2; Pcgf6; Hdac2; L3mbtl2; Aebp2; Yaf2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY",0.83179012345679,0.889436528939407,0.0422468188360053,0.215009517981577,0.761974715121004,34,"kegg","Smarce1; Actg1; Smarcb1; Smarca4; Actb; Actl6a; Adcy8; Adrb3; Smarcc1; Prkaca; Arid1a; Smarcd2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY",0.05229793977813,0.143980747784234,0.248911114434702,0.505524418428809,1.48205865065564,16,"kegg","Il6; Hras; Mapk3; Map2k1; Ager; Braf; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.388586956521739,0.522017417496071,0.111918316325105,-0.289031454693421,-1.05437310376503,27,"kegg","Plcb4; Camk2a; Gnaq; Creb3l2; Camk4; Camk2d; Calm2; Camk2b; Camk1; Plcb2; Camk2g; Plcb1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT",9.73146081471883e-05,0.000943528592035782,0.538434096309916,0.673736308889721,2.11950050881944,20,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Klc3; Tuba1c; Tubb2b; Tubb5; Klc4; Tubb4b; Klc1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.0587301587301587,0.155914588057445,0.234392647294686,0.510013337066594,1.46634526651852,15,"kegg","Hras; Areg; Mapk3; Map2k1; Braf; Egfr; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.000222745175172395,0.00159161532384352,0.518848077743792,0.555320678818043,1.92751235042935,31,"kegg","Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Klc3; Tuba1c; Tubb2b; Tubb5; Borcs8; Klc4; Bloc1s2; Tubb4b; Bloc1s1; Klc1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0142315934452667,0.0566722381838298,0.380730400722792,0.502411604636955,1.66374329759019,25,"kegg","Arf6; Arpc4; Arf1; Arpc3; Actg1; Cyth2; Actb; Arpc1a; Cyfip1; Arpc1b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE",9.45589328227113e-06,0.000131791512621654,0.593325476396405,0.720116056244207,2.20244963493039,18,"kegg","Cct7; Cct2; Cct3; Cct6a; Ruvbl2; Cct5; Nhp2; Nop10; Tert; Wrap53; Cct8; Tcp1; Gar1; Dkc1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1",0.248811410459588,0.399609982343795,0.105920292736253,0.401853872772999,1.17812510480454,16,"kegg","Nrbf2; Mlst8; Becn1; Atg101; Telo2; Mtor; Akt1s1; Ulk1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",0.0963541666666667,0.207095096582467,0.234392647294686,-0.434284237155112,-1.40762232067506,17,"kegg","Ppp3ca; Nfatc1; Btk; Ppp3cb; Calm2; Ppp3r1; Ppp3cc; Nfatc3; Nfatc2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_BILE_ACID_BIOSYNTHESIS",0.862903225806452,0.911978290781226,0.066436413766281,-0.22479531120046,-0.69338831809311,15,"kegg","Cyp39a1; Cyp8b1; Amacr; Cyp27a1; Hsd17b4; Scp2; Hsd3b7","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY",0.757009345794392,0.835366439343003,0.0469758727821845,0.256386754492438,0.795166592176218,19,"kegg","Bmp8a; Bmp7; Smad1; Acvr1; Smad4; Bmp4; Gdf5; Bmpr1a; Bmp6; Acvr2b","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION",0.000277074139913012,0.00187234949092733,0.49849310876659,0.578771294913508,1.97212430970995,28,"kegg","Haus7; Tuba1a; Tubb6; Tubb2a; Tuba4a; Tubb3; Tuba1b; Tpx2; Tuba1c; Tubb2b; Tubb5; Mzt2; Haus4; Tubb4b; Haus5; Tubb1; Tubgcp3; Haus8; Tuba8","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY",0.00632687238091941,0.0287937253254088,0.407017918923954,-0.537347192468192,-1.7581121734613,19,"kegg","Camk2a; Mylk; Mylk4; Camk4; Camk2d; Calm2; Phkg1; Camk2b; Camk1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL",0.181571815718157,0.331889466435648,0.170932335370056,-0.359539895717166,-1.26772919818186,23,"kegg","Cacnb2; Cacna1e; Cacna2d1; Cacna1c; Cacng6; Cacna1b; Cacnb1; Cacna1s; Cacna1d","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY",0.0698412698412698,0.167468851339819,0.213927855492356,0.499944084837061,1.43739504253207,15,"kegg","Hras; Mapk3; Map2k1; Src; Braf; Ptk2b; Map2k2; Nras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING",0.0209868036164826,0.0780009534412604,0.352487857583619,-0.487409174535429,-1.59472314216694,19,"kegg","Cacnb2; Cacna2d1; Asph; Cacna1c; Casq2; Ryr2; Cacng6; Cacnb1; Casq1; Trdn","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.786936236391913,0.857986946066644,0.0451344222209097,0.230843761787413,0.796327889575418,30,"kegg","Gnb1; Gnb5; Gnb2; Akt1; Gnb3; Gng3; Gng4; Pik3cb; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CCR5_GNB_G_PLCB_G_PKC_SIGNALING_PATHWAY",0.930817610062893,0.952166637816629,0.0379271467108098,0.201531067622933,0.667373046162294,25,"kegg","Gnb1; Gnb5; Gnb2; Prkca; Plcb3; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY",0.127329192546584,0.255472739820566,0.153158808683073,0.381586705817287,1.30872745360975,29,"kegg","Ccl3; Ccl4; Gnb1; Cxcr2; Gnb5; Gnb2; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY",0.425068119891008,0.554328600793537,0.106323255932708,-0.29263738238324,-1.01649165686118,22,"kegg","Ppp2r3a; Ctla4; Akt3; Ppp2r2b; Ppp2r2d","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE",0.302694136291601,0.441181649627627,0.0940503465727813,0.381713568056024,1.11907926696864,16,"kegg","Cdc20; Anapc13; Anapc7; Anapc11; Cdc23; Espl1; Anapc2; Rad21; Cdc26; Anapc10; Cdc16; Anapc1; Cdc27","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",0.00115508423594788,0.00643959461540941,0.45505986738723,0.638488291251719,1.87187218044386,16,"kegg","Plk1; Aurkb; Cdk1; Cdca5; Ppp2r1a; Ppp2r1b; Sgo1; Ppp2cb; Ppp2r5b; Ppp2r5d; Ppp2ca","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",3.66775039924087e-05,0.000454393521683729,0.557332238758646,0.693046693848744,2.18024886126255,20,"kegg","Ncapd2; Kif4; Ncaph; Top2a; Smc2; Ppp2r1a; Ppp2r1b; Ncapg2; Ncapd3; Ncapg; Ncaph2; Ppp2cb; Ppp2r5b; Ppp2r5d; Smc4; Ppp2ca","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION",0.0107258206528943,0.0442936667702857,0.380730400722792,0.523520574643388,1.68327546589455,22,"kegg","Copz1; Arf1; Kdelr2; Tmed9; Kdelr3; Copb2; Cope; Copg1; Kdelr1; Copg2; Copa; Tmed7; Tmed1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",0.00170511413172508,0.00905334408034983,0.45505986738723,0.525698736857322,1.7912831331676,28,"kegg","Gtf2h5; Pold4; Polh; Ercc3; Xrcc1; Gtf2h3; Pole3; Lig1; Rpa2; Lig3; Pold1; Pold2; Ercc2; Ercc1; Gtf2h4; Pole; Pcna; Pole2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.735849056603774,0.823997252747253,0.048701086452153,0.245827329900003,0.81406075956618,25,"kegg","Atf4; Creb3l3; Creb3l4; Atf6b; Adcy8; Prkaca; Creb5; Creb3l1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY",0.264150943396226,0.411553896006352,0.13880510939114,-0.37188103760204,-1.17029424366657,16,"kegg","Adcy1; Adcy4; Gnai1; Adcy2; Adcy5; Adcy9","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY",0.940809968847352,0.957993712570591,0.036993251998507,0.199016189895659,0.617235573735123,19,"kegg","Mapk3; Map2k1; Braf; Prkca; Map2k2; Cxcr4; Plcb3; Cxcl12; Raf1; Plcg1; Plcg2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.131652661064426,0.255472739820566,0.206587922696891,-0.38878823942249,-1.31230965178273,21,"kegg","Plcb4; Gnaq; Ppp3ca; Nfatc1; Ppp3cb; Calm2; Ppp3r1; Ppp3cc; Plcb2; Plcb1; Nfatc3; Nfatc2","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY",0.615863141524106,0.726653336295638,0.0564118388217596,0.259270607363591,0.894390275016057,30,"kegg","Gnb1; Gnb5; Gnb2; Prkca; Ptk2b; Cxcr4; Plcb3; Gnb3; Gng3; Cxcl12; Gng4; Gng13; Pxn","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.171383647798742,0.318487945492662,0.130777137971974,0.376296493442537,1.24611128225055,25,"kegg","Gnb1; Cfl1; Gnb5; Gnb2; Rac3; Cxcr4; Gnb3; Gng3; Cxcl12; Gng4; Gng13; Limk1","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY",0.040423240547308,0.122231267061733,0.321775918075361,0.469731996149939,1.55552430128052,25,"kegg","Gnb1; Cxcr2; Hras; Mapk3; Map2k1; Gnb5; Gnb2; Map2k2; Nras; Gnb3; Gng3; Gng4; Gng13; Raf1; Kras","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.36150234741784,0.497623601692459,0.0833634065110386,0.318661904966182,1.05046012487715,24,"kegg","Gnb1; Cxcr2; Gnb5; Gnb2; Mtor; Akt1; Gnb3; Gng3; Gng4; Gng13","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",0.0048009014597883,0.0223041880319331,0.407017918923954,-0.416478504139341,-1.68752838162859,42,"kegg","Il12a; Il12rb2; Il5ra; Il6st; Ifngr1; Il6ra; Il7; Il15ra; Ifng; Il2ra; Il7r; Il2; Jak1; Stat1; Csf2rb2; Stat4; Stat5b; Jak2; Stat2; Il13; Il15; Il5; Il4; Il2rb; Stat3; Il2rg","skin","RR-6","GLDS-243"
"KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119",0.94811320754717,0.961042024013722,0.0370705393657621,0.194125718287749,0.642850124699067,25,"kegg","Phc2; Cbx2; Cbx8; Ring1; Cbx4; Hcfc1; Bap1; Foxk2; Phc1; Mbd6; Cbx6","skin","RR-6","GLDS-243"
