"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.0216021322940086,0.0489648331997528,0.352487857583619,0.488275979086955,1.55734311748171,25,"mitocarta","Hmgcl; Echs1; Etfa; Ppm1k; Etfb; Aldh6a1; Bckdha; Acad8; Acat1","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.326754385964912,0.444385964912281,0.109250039480711,0.387028818003247,1.0903244309446,15,"mitocarta","Slc25a38; Sardh; Etfa; Etfb; Gcsh","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.0142304284020181,0.0403195471390514,0.380730400722792,0.60559116027374,1.7189909582946,16,"mitocarta","Echs1; Acaa2; Hadhb; Hadh; Etfa; Etfb; Slc25a29; Gcdh; Acat1","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.341346153846154,0.44637573964497,0.112378519110475,0.369635338121446,1.09427240127443,20,"mitocarta","Sdhd; Sdhb; Suclg1; Sdhc","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",0.888077858880779,0.888077858880779,0.0602484086158019,0.228724383248216,0.741921839570075,27,"mitocarta","Txnrd2; Prdx4; Prdx6; Prdx3; Msrb2; Aldh3a2; Hagh; Gpx4","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.263657957244656,0.389755241144273,0.129442887745046,0.374640846096239,1.14906997809246,22,"mitocarta","Acsm5; Bphl; Ephx2; Cbr3; Aldh1b1; Tst; Maoa; Mtarc1; Mpst; Gstk1","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.520481927710843,0.610220191109265,0.0870515867946735,0.303573894720058,0.954724952972112,24,"mitocarta","Ech1; Acot9; Ehhadh; Mlycd; Ephx2; Them4; Acaa1b; Lypla1; Acot13","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.023786302223346,0.0505458922246102,0.352487857583619,0.594782391598644,1.67560073692037,15,"mitocarta","Gpat2; Pnpla8; Triap1; Agpat4; Pld6; Agpat5; Plscr3; Tamm41; Gpam; Hadha; Pgs1","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",0.00390936205890861,0.0189883300004133,0.407017918923954,0.461955057879083,1.67977939270923,44,"mitocarta","Acad10; Echs1; Acaa1a; Acads; Eci1; Acadvl; Acsm5; Acaa2; Hadhb; Hadh; Etfa; Etfb; Decr1; Cpt2; Slc25a20; Cpt1a; Acat1; Crot; Cpt1c","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.132530120481928,0.236658932714617,0.190023305279108,0.402694521012384,1.26645444263318,24,"mitocarta","Gpat2; Prdx6; Stard7; Pnpla8; Triap1; Agpat4; Chpt1; Agpat5; Osbpl1a","liver","RR-8","GLDS-379"
"MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS",0.00768911770701461,0.0290477780042774,0.407017918923954,0.554346873037056,1.70584059765301,23,"mitocarta","Nubpl; Fdx1; Ndufab1; Hscb; Grpel1; Glrx5; Cisd1; Nfu1; Fdxr; Abcb7; Bola1","liver","RR-8","GLDS-379"
