"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.990059642147117,0.994707809481141,0.0458620343117985,0.180160514858995,0.52040412222357,17,"kegg","Gsto1; Cox8a; Cox5a; Cox4i2; Cox7c; Cox7a1; Cox6b2; Cox6a1; Cox4i1; Cox6c; As3mt; Cox5b","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.440239043824701,0.628074369189907,0.0857844408075645,0.367637251153313,1.01238591574742,15,"kegg","Gstm1; Gsto1; Gstt2; Gsta1; Gstm2; Mgst1; Gstp1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.469184890656064,0.643625426925626,0.0822054920415869,-0.351467164733887,-0.986435181661913,16,"kegg","Raf1; Nras; Chrna9; Kras","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.422,0.61854794520548,0.0883594442500905,-0.371092560100287,-1.01667027430904,15,"kegg","Prkd3; Prkd2; Ptpn11; Abl1; Ikbkg","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.196819085487078,0.37606503834138,0.138022242496643,0.431356060155067,1.24599706004674,17,"kegg","Bcl2; Myc; Jun","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.107784431137725,0.228831683168317,0.191892240384838,0.446916679066868,1.31373193901336,18,"kegg","Cyp1b1; Gstm1; Ahr; Gsto1; Gstt2; Gsta1; Gstm2; Mgst1; Gstp1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.00146063758092808,0.006512009214971,0.45505986738723,-0.685529079041178,-1.9539449408948,17,"kegg","Nck2; Arpc1a; Arpc2; Actb; Arpc5; Nck1; Actg1; Wasl; Arpc1b; Arpc4; Arpc3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.651394422310757,0.774435590969455,0.0655321029282414,0.318900853460166,0.878177419589797,15,"kegg","Src; Grb2; Elk1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.664,0.783098901098901,0.0647943366000727,-0.311378382803011,-0.853073275768962,15,"kegg","Raf1; Nras; Kras","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.756,0.838259067357513,0.0585937568945671,0.262660214842999,0.830882919000778,25,"kegg","Creb3l2; Adcy2; Gnao1; Adcy7; Gnai1; Prkaca; Atf6b; Creb3l4","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.884615384615385,0.937166793602437,0.0518457624865066,-0.224595638048412,-0.738408580044371,30,"kegg","Rhoa; Creb1; Gnb1; Gng10; Gnb2; Gng2; Creb3; Map2k6; Atf2; Atf4","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.512922465208748,0.681772717730882,0.0774767547848578,0.335467701722464,0.969017961487697,17,"kegg","Plcb1; Plcb4; Nfatc2; Ppp3ca; Ptgs2; Gnaq; Nfatc4; Nfatc1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.961382113821138,0.975522944860009,0.0482149710025564,-0.198703572073426,-0.637342616242539,27,"kegg","Akt1; Gnb1; Gng10; Ikbkg; Gnb2; Gng2; Nfkbia; Akt2","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.188866799204771,0.367431772998373,0.141225119642531,-0.448227113353551,-1.25800370091891,16,"kegg","Nfatc3; Cxcr4; Calm1; Calm3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.0423977104826214,0.106742471097423,0.321775918075361,-0.503228257766859,-1.55605512160264,23,"kegg","Cfl1; Rac2; Cxcr4; Gnb1; Gng10; Gnb2; Gng2; Rac1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.218,0.398871593370611,0.130777137971974,-0.443483948890998,-1.21499861880502,15,"kegg","Traf2; Tab1; Ikbkg; Tnfrsf1a; Map3k7; Tab2; Nfkbia; Ripk1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.448,0.632476629429992,0.0850427463764322,-0.367790761083733,-1.00762444242557,15,"kegg","Raf1; Nras; Kras","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.000670539526202562,0.00333710368854298,0.477270815362862,-0.706124904196086,-1.93454754213199,15,"kegg","Anapc5; Cdc20; Anapc1; Anapc7; Espl1; Cdc27","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.640562248995984,0.769068863984953,0.0667426134241917,-0.277554402612233,-0.898960077301522,28,"kegg","Raf1; Nras; Gnb1; Gng10; Kras; Gnb2; Gng2","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.264646464646465,0.449977866312528,0.11776578836269,-0.378950951537925,-1.14339123911724,21,"kegg","Pik3cg; Akt1; Gnb1; Gng10; Gnb2; Gng2; Pik3r5; Akt2; Mtor","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.237051792828685,0.420601549788153,0.124434168630393,-0.367795441584721,-1.16241159799633,25,"kegg","Pik3cg; Mapk9; Prex1; Gnb1; Gng10; Gnb2; Gng2; Pik3r5; Rac1","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",3.33309681377951e-05,0.000212040028826604,0.557332238758646,-0.711833619358321,-2.11347833418413,20,"kegg","Tuba1b; Tubb5; Tubb4b; Tubb2a; Tubb2b; Tuba1c; Tuba1a","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0183224563384405,0.0515921796898193,0.352487857583619,-0.485039904793828,-1.59467757466628,30,"kegg","Arpc1a; Pik3cg; Arpc2; Actb; Arpc5; Arf1; Cyfip2; Cyth2; Abi1; Actg1; Brk1; Arf6; Pik3c2b; Arpc1b; Arpc4; Arpc3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.0244348745409581,0.0670392711764749,0.352487857583619,-0.520970130924612,-1.54679275398482,20,"kegg","Arpc1a; Arpc2; Actb; Arpc5; Cyfip2; Abi1; Actg1; Brk1; Rac1; Arpc1b; Arpc4; Arpc3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0322832062518684,0.0863575767237481,0.321775918075361,-0.471834524737582,-1.53152671893738,29,"kegg","Arpc1a; Nckap1l; Arpc2; Actb; Arpc5; Arf1; Cyfip2; Cyth2; Abi1; Actg1; Brk1; Arf6; Arpc1b; Arpc4; Arpc3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",2.04958472792399e-06,2.34652586094703e-05,0.627256739718528,-0.652273527819144,-2.29024419890427,39,"kegg","Ubb; Psmd8; Psmc1; Uba52; Psmb7; Psmd13; Psmb1; Psma1; Psmd4; Psmb5; Psmd6; Psmc3; Psmd11; Psmb4; Psmb3; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Psmd3","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY",0.302605210420842,0.50990169315008,0.108394255853397,-0.372860351355525,-1.10704559722334,20,"kegg","Raf1; Nras; Creb1; Kras; Creb3; Atf2; Atf4","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY",0.253968253968254,0.438300051203277,0.119348440591015,0.35519432127707,1.15137884889558,28,"kegg","Pbx1; Creb3l2; Adcy2; Nr4a1; Adcy7","thymus","MHU-2","GLDS-289","Stat_(MHU-1 & Space Flight & uG)v(MHU-1 & Ground Control & 1G on Earth)",1,"flight_positive"
