"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.00123521638191117,0.00369878683250066,0.45505986738723,0.417303627369397,1.68675050813466,86,"reactome","Abcc5; Ubb; Psmd8; Psmc1; Abcb9; Uba52; Sel1l; Psmb7; Psmd13; Psmb1; Psma1; Eif2s3x; Psmb5; Eif2s1; Psmd6; Psmc3; Vcp; Psmd11; Abcd1; Psmb4; Psmb3; Derl2; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Rnf185; Psmd3","thymus","MHU-2","GLDS-289"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.186770428015564,0.285182041644162,0.140406238523342,-0.441329389075722,-1.24425449803159,17,"reactome","Abcd2; Abcg1; Pex3; Abcd3; Abca2; Abcg5; Apoa1; Abca5; Abca9","thymus","MHU-2","GLDS-289"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.00457364268500199,0.0115736779681506,0.407017918923954,0.420921893696353,1.61237578447923,64,"reactome","Ubb; Psmd8; Psmc1; Uba52; Sel1l; Psmb7; Psmd13; Psmb1; Psma1; Psmb5; Psmd6; Psmc3; Vcp; Psmd11; Abcd1; Psmb4; Psmb3; Derl2; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Rnf185; Psmd3; Derl1; Rnf5; Rps27a; Abcb11","thymus","MHU-2","GLDS-289"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.00107147301833593,0.00326284721402862,0.45505986738723,0.639454665749993,1.89540059130778,20,"reactome","Anapc5; Anapc1; Skp2; Anapc7; Cdc27; Rb1; Ube2c; Fzr1; Ube2e1; Anapc4; Cdc16","thymus","MHU-2","GLDS-289"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0200805693266164,0.0436428502703478,0.352487857583619,0.554628278788696,1.55841237558308,17,"reactome","E2f2; Cdk2; Cdkn1b; Cdk4; Tfdp1; Ccne2; Rb1; E2f1; Ccne1","thymus","MHU-2","GLDS-289"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.00638933095639759,0.0157253396598096,0.407017918923954,0.568283863879671,1.72857789911475,23,"reactome","Polr2c; Ncbp1; Nelfa; Ctdp1; Gtf2f2; Nelfcd; Polr2a; Supt4a; Polr2d; Polr2b; Supt5; Polr2f; Nelfb; Ncbp2","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.461077844311377,0.55535409627672,0.0833634065110386,-0.315389561366328,-1.01995245046217,31,"reactome","Dtx1; Jag2; Arrb2; Psen2; Ubc; Jag1; Dtx4; Numb","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",7.81355955104987e-19,1.53145767200577e-17,1.12391496374483,0.789685519298026,2.95512442805677,57,"reactome","H2ac13; H3f3a; H2ac10; H3c10; H2bc18; H2ac4; H3c7; H3c2; H3c11; H3c8; H2bc4; H4c4; H3c15; H3c1; H4c6; H3c4; H2bc21; H2ac19; H2ac20; H4c16; H4c1; H3c3; H2bc8; H4c14; H4c12; H4c2; H4c3; H2ax; H2bc3; H4c17; H2bc7; Kdm4c; H4c11; H2bc14; H2bc6; H2ac18; H4c18; H4c8","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.477272727272727,0.568303281767578,0.0833634065110386,0.323863247054627,0.985111291691903,23,"reactome","Ubb; Traf6; Uba52; Tab1; Ikbkg; Map3k7; Ripk2; Map2k6; Tab2; Rps27a; Mapk14","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",3.29016613141414e-06,1.73862700473747e-05,0.627256739718528,0.76100678593826,2.25569190329522,20,"reactome","Tuba1b; Tubb4b; Tubb2a; Tubb2b; Tuba1c; Tuba1a; Calm1","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",9.39467651686939e-13,1.07738949842396e-11,0.910119734774459,0.604586925663593,2.5053506720081,102,"reactome","H2ac13; H3f3a; H2ac10; H3c10; H2bc18; H2ac4; H3c7; H3c2; H3c11; H3c8; H2bc4; H4c4; H3c15; H3c1; H4c6; H3c4; H2bc21; H2ac19; H2ac20; H4c16; H4c1; Ep300; Polr2c; Pknox1; H3c3; H2bc8; H4c14; H4c12; H4c2; H4c3; H2ax; H2bc3; H4c17; H2bc7; H4c11; Ctcf; Kmt2c; H2bc14; H2bc6; H2ac18; H4c18; H4c8; Rbbp5; Ezh2; H3f3b; Eed; Polr2a; Cnot9; H2ac7; Paxip1; Cnot6; Polr2d; Ash2l; Ncor1; Rbbp7","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",9.53253771336267e-12,1.03798743989949e-10,0.875325132024659,0.682659813894637,2.60972025208887,63,"reactome","Anapc5; Ccnb1; Bub3; Cdc20; Ubb; Cdk1; Ccna2; Bub1b; Psmd8; Anapc1; Mad2l1; Psmc1; Uba52; Nek2; Psmb7; Psmd13; Psmb1; Plk1; Psma1; Psmb5; Anapc7; Psmd6; Cdc27; Psmc3; Psmd11; Psmb4; Ube2c; Psmb3; Psmb6; Psma7; Psmc6; Psmc4; Psmc2; Psma2; Psmd3; Ube2e1; Anapc4; Cdc16","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",2.67269944787681e-08,2.0433829821356e-07,0.73376198835648,0.714461396120392,2.44151922398933,36,"reactome","Dbf4; Cdc45; Cdk2; Cdc25c; Mcm10; Rfc4; Rfc3; Mcm5; Orc6; Mcm7; Mcm2; Cdc6; Mcm3; Rad9a; Mcm6; Cdc7; Rad17; Orc5; Mcm4; Mcm8; Rpa2; Cdc25a; Orc1","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.0374320576078936,0.0747254779653875,0.321775918075361,0.565605416842203,1.53719124243013,15,"reactome","Ywhaz; Ywhaq; Ywhah; Bad; Ywhab; Bid; Akt1; Ywhae","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.432539682539683,0.526272886882368,0.0865399737444125,0.310102181221575,1.01106682516486,30,"reactome","Dynll1; Ywhaz; Ywhaq; Ywhah; Tfdp1; Bad; Ywhab; Bid; Akt1; Ywhae; E2f1","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.000886422138001294,0.0027617429617497,0.477270815362862,0.514545039232369,1.80711313845235,43,"reactome","Hmgcs1; Srebf2; Fdps; Hmgcr; Med1; Sqle; Nfyc; Sp1; Fdft1; Nfya; Idi1; Acaca; Mvk; Scd2; Cyp51; Fasn; Sc5d","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.327485380116959,0.434230307215353,0.101713902282311,-0.385230861225552,-1.1004524519326,18,"reactome","Irf7; Ticam1; Ikbke; Tlr4; Ubc; Tank; Cd14; Optn","thymus","MHU-2","GLDS-289"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.797959183673469,0.843056274509074,0.0570059526582387,0.246592014024366,0.780645591225412,27,"reactome","Calm1; Dlg3; Gnb1; Gng10; Gnb2; Gng2; Dlg4","thymus","MHU-2","GLDS-289"
