"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"HALLMARK_ADIPOGENESIS",6.75051166541767e-26,1.68762791635442e-24,1.31888879607587,-0.548350133732407,-3.05279222743906,198,"hallmark","Ltc4s; Slc1a5; Slc5a6; Esyt1; Scarb1; Mdh2; Pim3; Nmt1; Cd151; Phldb1; Vegfb; Cyc1; Ech1; Samm50; Aldh2; Por; Idh3g; Rab34; Retsat; Abcb8; Reep5; Coq9; Apoe; Miga2; Sdhb; Sncg; Slc27a1; Sod1; Slc19a1; Elmod3; Dhrs7b; Acads; Col4a1; Dgat1; Mylk; Ubc; Lipe; Plin2; Scp2; Lep; Sult1a1; Uqcrc1; Taldo1; Sqor; Reep6; Angptl4; Cdkn2c; Ucp2; Tst; Sdhc; Sparcl1; Pfkl; Lama4; C3; Slc25a10; Adipoq; Fah; Cavin2; Ddt; Cavin1; Mgst3; Mrap; Uqcr10; Abca1; Hspb8; Mgll; Gpx3; Bckdha; Agpat3; Gpx4; Etfb; Cox8a; Itga7; Retn; Echs1; Tkt; Ak2; Crat; Col15a1; Slc25a1; Coq5; Adig; Uqcrq; Aco2; Chchd10; Itsn1; Ndufs3; Uck1; Cyp4b1; Grpel1; Itih5; Pex14; Stom; Pgm1; Gpam; Cs; Gpat4; Dhrs7; Adipor2; Cox6a1; Uqcr11; Acly; Aplp2; Ndufb7; Mtarc2; Ghitm; Enpp2; Rmdn3; Qdpr; Cat; Prdx3; Esrra; Sspn; Cd302; Hadh; Sorbs1; Acadm; Ephx2; Acox1; Ywhag; Ndufa5; Acaa2; Mccc1; Aldoa; Suclg1; Pfkfb3; Aifm1; Immt; Fabp4; Bcl2l13; Gphn; Lpcat3; Cidea; Pemt; Decr1; Fzd4","thymus","RR-6","GLDS-244"
"HALLMARK_ALLOGRAFT_REJECTION",0.0859375,0.09765625,0.248911114434702,-0.218157771278295,-1.21340993365203,196,"hallmark","C2; Nlrp3; Cfp; Pf4; Wars1; Lif; Ncf4; Flna; Tapbp; Csf1; Capg; Ccnd2; Stab1; Spi1; Il1b; Timp1; Ifngr2; Dyrk3; Cd74; Cd79a; Prkcg; H2-DMa; Il2rb; Inhbb; Apbb1; Fgr; Bcl3; Irf7; Eif5a; Akt1; Cxcr3; Socs5; H2-Oa; Tgfb2; H2-T23; Egfr; Icam1; H2-DMb1; Lyn; Ccl19; Eif3d; Cartpt; Ccr1; H2-M3; Icosl; Ncr1; Irf8; Ltb; Cdkn2a; Cd40; H2-Aa; Rps19; Tlr2; Csk; Fcgr2b; Ccr5; F2r; Ptpn6; Ccl2; Tap1; Gcnt1; Psmb10; Crtam; Bcat1; Tnf; Inhba; Gbp2; Ccl5; Ifnar2; H2-Ob; Nos2; Cxcl13; Ly86; Prf1; Nme1; Map4k1; Irf4; Rps9; Cd7; Tap2; H2-Q10; Ccr2; Ctss; B2m; Igsf6; Tgfb1; F2","thymus","RR-6","GLDS-244"
"HALLMARK_ANDROGEN_RESPONSE",0.0373151856114411,0.0444228400136203,0.321775918075361,-0.264618929703193,-1.33561656823998,112,"hallmark","Hsd17b14; Tsc22d1; Myl12a; Krt19; Ndrg1; Abcc4; Rrp12; Fads1; B4galt1; Ptpn21; Rab4a; Gpd1l; Gucy1a1; Ccnd1; Adrm1; Mertk; Adamts1; Tmprss2; Steap4; Gsr; Plpp1; Akt1; Zmiz1; Sord; Homer2; Uap1; Abhd2; H1f0; Ank; Azgp1; Akap12; Spdef; Ncoa4; Pmepa1; Srf; Arid5b; Sgk1; Camkk2; Sec24d; Dhcr24; Pgm3; Mak; Klk1b21","thymus","RR-6","GLDS-244"
"HALLMARK_ANGIOGENESIS",5.18783200602283e-07,1.17905272864155e-06,0.659444398037935,-0.597688218912118,-2.3833741773012,36,"hallmark","Pf4; Slco2a1; Fgfr1; Thbd; Ccnd2; Timp1; Pdgfa; Tnfrsf21; Kcnj8; Pglyrp1; Vegfa; Vtn; Jag1; Lrpap1; Col5a2; App; Fstl1; Col3a1; Msx1; Prg2; Nrp1; S100a4; Vcan; Jag2; Lum; Spp1; Lpl; Apoh","thymus","RR-6","GLDS-244"
"HALLMARK_APICAL_JUNCTION",2.08026911207419e-15,1.15570506226344e-14,1.00731795687447,-0.457451660289646,-2.5498128115662,197,"hallmark","Thbs3; Pecam1; Adam15; Vwf; Cldn18; Cldn5; Rras; Cldn15; Zyx; Lima1; Nlgn2; Adra1b; Tgfbi; Src; Sorbs3; Bmp1; Itga9; Sdc3; Akt2; Mmp2; Shc1; Cnn2; Itga3; Mpzl1; Myl12b; Tspan4; Actn4; Alox8; Col16a1; Cercam; Vcl; Actg1; Itga2; Sirpa; Ldlrap1; B4galt1; Rsu1; Amigo1; Nectin2; Layn; Pkd1; Myh9; Myh10; Cx3cl1; Mapk14; Ctnna1; Myl9; Sgce; Hras; Nrxn2; Pcdh1; Map3k20; Amigo2; Inppl1; Cd276; Syk; Cldn7; Crat; Tjp1; Speg; Cd34; Fscn1; Fbn1; Atp1a3; Itgb4; Crb3; Mdk; Actn2; Actg2; Adam9; Rhof; Jup; Gtf2f1; Pik3cb; Egfr; Tubg1; Jam3; Icam1; Cdh11; Ctnnd1; Wnk4; Irs1; Sympk; Parva; Grb7; Gnai2; Hadh; Itga10; Stx4a; Vcan; Cd209b; Nectin3; Gamt; Madcam1; Baiap2; Cadm3; Nectin1; Tmem8b; Actc1; Shroom2; Cldn11; Nfasc; Cadm2; Nrtn; Ikbkg; Cldn19; Mapk13; Mvd; Cap1; Tnfrsf11b; Adamts5; Slit2; Flnc; Gnai1; Cdh1","thymus","RR-6","GLDS-244"
"HALLMARK_APICAL_SURFACE",0.00118264126928416,0.00164255731845022,0.45505986738723,-0.440153802803009,-1.81772494389141,43,"hallmark","Sulf2; Plaur; Ephb4; Slc2a4; Srpx; B4galt1; Scube1; Cx3cl1; Flot2; Il2rb; App; Crocc; Gstm5; Dcbld2; Adipor2; Lyn; Hspb1; Atp8b1; Gas1; Slc22a12; Tmem8b; Rtn4rl1; Shroom2; Mal; Efna5","thymus","RR-6","GLDS-244"
"HALLMARK_APOPTOSIS",3.10082391590443e-05,4.5600351704477e-05,0.557332238758646,-0.340890485540629,-1.82973463653283,160,"hallmark","Dap; Smad7; Tnfrsf12a; Jun; Pdgfrb; Ifitm3; Cd14; Gsn; Tgfbr3; Mmp2; Psen2; Timp2; Bcl2l2; Ier3; Gpx1; Rela; Igfbp6; Ccnd2; Lgals3; Retsat; Ebp; Hmox1; Bik; Plat; Il1b; Sod1; Clu; Irf1; Timp1; Txnip; Pea15a; Tspo; Mgmt; Add1; Bgn; Ccna1; Rara; Sptan1; Casp9; Gstm2; Ccnd1; Igf2r; Erbb2; Gpx3; Gpx4; Aifm3; Dcn; Sqstm1; App; Gsr; Erbb3; Rhob; Lmna; Ppp2r5b; Atf3; Tgfb2; H1f0; Anxa1; Ank; Gna15; Timp3; Cd44; Cav1; Hspb1; Gadd45b","thymus","RR-6","GLDS-244"
"HALLMARK_BILE_ACID_METABOLISM",2.60462860388631e-11,7.66067236437149e-11,0.863415391606693,-0.504391870751206,-2.53430732085687,111,"hallmark","Abca3; Rbp1; Idh2; Abca2; Bcar3; Retsat; Hsd17b11; Gstk1; Rxra; Sod1; Pex16; Fads2; Cyp27a1; Hsd3b7; Fads1; Lipe; Scp2; Slc22a18; Pex11g; Pex19; Mlycd; Prdx5; Lonp2; Gclm; Amacr; Abca1; Rxrg; Pex6; Nr3c2; Bmp6; Abca9; Pecr; Nr1h4; Pxmp2; Abcd1; Paox; Abca4; Efhc1; Cyp39a1; Cyp46a1; Optn; Slc35b2; Abcd2; Acsl5; Hsd17b4; Cat; Ch25h; Slc23a1; Nr0b2; Abcg4; Pex11a; Ephx2; Nedd4; Slc23a2; Ttr; Gnpat; Ar; Abca6; Hacl1; Dhcr24; Apoa1; Pfkm; Acsl1; Gnmt; Aldh9a1; Nr1i2; Phyh; Aldh1a7; Idh1; Abca8b","thymus","RR-6","GLDS-244"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2.0674056878852e-06,3.97578016901001e-06,0.627256739718528,-0.470135185504435,-2.2135009590078,75,"hallmark","Tnfrsf12a; Gusb; S100a11; Plaur; Abca2; Ech1; Lgals3; Ebp; Fdft1; Fbxo6; Gstm7; Ldlr; Clu; Cd9; Fads2; Actg1; Lgmn; Niban1; Jag1; Sema3b; Pmvk; Trib3; Plscr1; Fasn; Atf3; Anxa5; Gldc; Pcyt2; Mvk; Atf5; Cbs; Nfil3; Antxr2; Ethe1; Tmem97; Ctnnb1; Avpr1a; Adh4; Tm7sf2; Fdps; Lss; Mal2; Anxa13; Srebf2; Pparg; Mvd; Lpl; Hsd17b7; Gnai1; Alcam; Cxcl16; Cpeb2; Gpx8","thymus","RR-6","GLDS-244"
"HALLMARK_COAGULATION",8.46409696403892e-22,8.46409696403892e-21,1.21254456769062,-0.578054320701349,-3.01323331896994,138,"hallmark","Itgb3; F10; Gp1ba; Thbs1; C2; Pecam1; Vwf; Fn1; Gp9; Pf4; Htra1; Furin; F2rl2; Bmp1; Mmp15; Gsn; Mmp2; Iscu; Lrp1; Hmgcs2; Mmp14; Pdgfb; Thbd; Trf; Serping1; Crip2; Plat; Clu; Cd9; Timp1; Cfd; Sirt2; Itga2; Cfb; Pef1; S100a1; Apoc1; Lgmn; Capn2; Ctsb; Ctsk; C1s1; S100a13; Maff; Dct; Prss23; Ang; Comp; Sh2b2; Casp9; Csrp1; C3; Hpn; Serpine1; Plek; C1qa; Pros1; Mmp3; Msrb2; Mmp11; Sparc; Plau; Fbn1; Capn5; A2m; Adam9; Apoc3; Gnb2; Cpq; Serpina1b; Mst1; Anxa1; Dusp14; Timp3; Apoc2; Gda; Cfh; F12; Ctsh; C1rb; Serpina1e; Itih1; Cpn1; Dusp6; Fga; Cfi; Apoa1; Proc; Rac1; P2ry1; F3; C8g","thymus","RR-6","GLDS-244"
