"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.000450344741321591,0.00339259705128932,0.49849310876659,-0.623857874322768,-2.01875341558966,17,"kegg","Cox4i2; Cox4i1; Cox8a; Cox7a1; Cox5b; Cox6a2; Cox7a2l; Cox6a1; Cox6b2; Gsto1; Cox7a2; As3mt; Cox5a; Cox6b1","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.00407389920449969,0.0177057926964794,0.407017918923954,-0.591171752411233,-1.85634320111224,16,"kegg","Gstm7; Gstp1; Gstm2; Mgst3; Gstm1; Gstm4; Gsta3; Gstm5; Mgst1; Gsto1; Gstp2; Gsto2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.349206349206349,0.464239028944911,0.107140237276725,-0.348016116076102,-1.09280822082642,16,"kegg","Fos; Mapk3; Jun; Src","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.00240257568714747,0.0125551144634048,0.431707695803346,-0.608091310938198,-1.90947244368725,16,"kegg","Tubb1; Tubb6; Tubb4b; Cdk5; Tuba4a; Tuba8; Tuba1c; Tuba1a; Mapt; Tuba1b; Tubb4a; Tubb2a","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.167032967032967,0.30443105281815,0.159646701919906,-0.427119790311635,-1.31051098099046,15,"kegg","Ptpn11; Src; Ptprj; Rela","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.45374449339207,0.551323954336602,0.0897104652742981,-0.297948781431843,-1.0012752557558,19,"kegg","Fos; Mapk3; Jun","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0127106427910488,0.0450204965449637,0.380730400722792,-0.497008562619621,-1.6917047259736,20,"kegg","Gstm7; Gstp1; Gstm2; Mgst3; Gstm1; Gstm4; Gsta3; Gstm5; Cyp1a1; Mgst1; Gsto1; Gstp2; Gsto2; Ahr; Gstt2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.033415643753936,0.0848532077347138,0.321775918075361,-0.504097105667188,-1.58291939861614,16,"kegg","Tubb1; Tubb6; Tubb4b; Tuba4a; Tuba8; Tuba1c; Tuba1a; Mapt; Tuba1b; Tubb4a; Tubb2a","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.507194244604317,0.580808080808081,0.0728938564822936,0.305887103637701,0.969334123394034,17,"kegg","Wasl; Actr3; Nck2; Arpc5; Nck1; Wipf1; Actr2; Wipf2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.208409506398537,0.341308322072967,0.127505315300183,0.397181677113917,1.21482669991172,15,"kegg","Kras; Mapk1; Sos1; Braf; Nras; Elk1","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.310786106032907,0.438985374771481,0.100990587455923,0.365497184420558,1.11791596632314,15,"kegg","Kras; Mapk1; Sos1; Braf; Nras","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0204010842575432,0.0583625954709464,0.352487857583619,-0.446426363421127,-1.63497581077392,25,"kegg","Adcy4; Creb3l1; Creb3l2; Creb3; Adcy9; Adcy7; Prkaca; Adcy8; Gnao1; Adcy5; Adcy3; Creb3l4; Gnai2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.0163238418610539,0.0498538954134889,0.352487857583619,-0.404128645967138,-1.58012370958768,33,"kegg","Creb3l1; Creb3l2; Creb3; Gnb1; Gng11; Mapk12; Mapk14; Gng7; Gnb2; Gnb5; Creb3l4; Gng2; Mapk13; Gng13; Gng4; Atf4; Atf6b; Mapk11; Gng8; Creb5; Gng12; Gnb3","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.873394495412844,0.885144197144855,0.047925896705813,0.225968219830834,0.724719960087902,18,"kegg","Ppp3cb; Nfatc3; Ppp3r1; Calm2; Ppp3r2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.0603448275862069,0.136379310344828,0.271288554688953,-0.373487244386507,-1.40797717846415,30,"kegg","Akt2; Rela; Gnb1; Gng11; Gng7; Akt1; Gnb2; Gnb5; Pik3cb; Gng2; Ikbkg; Nfkb1; Gng13; Gng4; Gng8; Gng12; Pik3cd; Gnb3","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.553956834532374,0.612439987197269,0.0684714904492087,0.296812658145351,0.940577861485613,17,"kegg","Ppp3cb; Nfatc3; Ppp3r1; Cxcr4; Calm2; Ppp3r2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.0404534779648068,0.0962366949478561,0.321775918075361,-0.409784102046345,-1.51823084672389,26,"kegg","Gnb1; Gng11; Gng7; Limk1; Gnb2; Gnb5; Gng2; Rac3; Ccr5; Rac1; Cfl1; Gng13; Gng4; Gng8; Rac2; Gng12; Gnb3","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.277879341864717,0.402568790137346,0.107972360317345,0.375580039139371,1.14875555895679,15,"kegg","Chuk; Map3k7; Tab2; Tab3","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.248628884826325,0.37460085313833,0.115240003147781,0.38547736388355,1.17902768642323,15,"kegg","Kras; Mapk1; Sos1; Braf; Nras","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.341864716636197,0.462800271623801,0.0952879846194844,0.358905420123413,1.09775428281879,15,"kegg","Anapc4; Anapc1; Cdc27; Anapc10; Cdc16; Cdc26","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.0130263229710707,0.0452915229455689,0.380730400722792,-0.418957893580136,-1.59002816243318,31,"kegg","Fos; Mapk3; Jun; Pdgfb; Gnb1; Gng11; Vegfa; Hras; Gng7; Angpt2; Map2k1; Gnb2; Gnb5; Gng2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.0127491671631756,0.0450204965449637,0.380730400722792,-0.459493104662838,-1.67207958865406,24,"kegg","Akt2; Gnb1; Gng11; Gng7; Pik3r6; Mtor; Akt1; Gnb2; Gnb5; Gng2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.225053078556263,0.363299969669396,0.132846300606183,-0.313121396194076,-1.1696220045023,28,"kegg","Rela; Gnb1; Gng11; Gng7; Pik3r6; Gnb2; Gnb5; Gng2; Rac1; Nfkb1; Gng13; Gng4; Gng8; Gng12; Gnb3","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.0142519804230969,0.0487094295195285,0.380730400722792,-0.479812961938847,-1.69105191990853,22,"kegg","Tubb1; Tubb6; Tubb4b; Plekhm2; Tuba4a; Tuba8; Klc4; Tuba1c; Tuba1a; Tuba1b; Tubb4a; Tubb2a; Klc1; Klc2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.394396551724138,0.503579777907656,0.0965629554309422,-0.273736651704733,-1.03193606823853,30,"kegg","Cyth4; Wasf1; Pik3c2b; Actg1; Arf1; Arpc1a; Cyfip1; Pik3cb; Arpc1b; Wasf3; Arpc4; Arpc3; Cyth3; Brk1; Nckap1; Cyth2","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.555803571428571,0.612439987197269,0.0793434960134973,-0.272865720144456,-0.928773190328013,20,"kegg","Wasf1; Actg1; Arpc1a; Cyfip1; Arpc1b; Wasf3; Rac1; Arpc4; Arpc3; Brk1; Nckap1","thymus","RR-6","GLDS-244"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.507494646680942,0.580808080808081,0.0819778796501272,-0.257418936989456,-0.96612757560582,29,"kegg","Cyth4; Wasf1; Actg1; Arf1; Arpc1a; Cyfip1; Pik3cb; Arpc1b; Wasf3; Arpc4; Arpc3; Cyth3; Brk1; Nckap1; Cyth2; Pik3cd","thymus","RR-6","GLDS-244"
