"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM",0.000331589020794265,0.00116056157277993,0.49849310876659,0.577398884360358,2.03238214926552,25,"mitocarta","Ivd; Bckdk; Acad8; Hmgcl; Hsd17b10; Bckdha; Etfb; Echs1; Mccc2; Slc25a44; Bcat2; Acat1; Etfa; Mccc1; Hadha; Aldh6a1; Bckdhb; Dbt; Auh; Acadsb; Etfdh","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM",0.0361713795316458,0.0666314886109265,0.321775918075361,0.538382723426851,1.67220134523612,15,"mitocarta","Gcat; Sardh; Amt; Etfb; Gldc; Etfa; Shmt2; Aldh7a1; Gcsh; Etfdh; Slc25a38","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM",0.00183170339411671,0.00457925848529178,0.45505986738723,0.609699251683256,1.92837232045083,16,"mitocarta","Etfb; Echs1; Gcdh; Acat1; Etfa; Hadh; Acaa2; Slc25a29; Aldh7a1; Aass; Dhtkd1; Dlst; Etfdh; Hadhb","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE",0.000323223629202127,0.00116056157277993,0.49849310876659,0.620501595994496,2.08861932643863,20,"mitocarta","Idh2; Mdh2; Idh3g; Sdhb; Ogdh; Sdhc; Aco2; Idh3b; Cs; Sdhd; Sdha; Suclg2; Suclg1; Dlst; Fh1; Sucla2; Idh3a; Mrps36; Ogdhl","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM",3.33385672008975e-06,2.33369970406282e-05,0.627256739718528,0.639655332391678,2.32680260153979,27,"mitocarta","Gpx1; Msra; Txn2; Sod1; Prdx6; Txnrd2; Prdx5; Nit1; Txnrd1; Gpx4; Msrb2; Hagh; Gsr; Msrb3; Mgst1; Aifm2; Cat; Prdx3; Sod2; Prdx2; Aldh7a1; Prxl2a; Aldh9a1; Prdx4","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM",0.00182779934567503,0.00457925848529178,0.45505986738723,0.545561926834304,1.89718138877764,23,"mitocarta","Aldh1b1; Aldh2; Gstk1; Cyb5r3; Gstz1; Tst; Akr7a5; Bphl; Acsm5; Cbr3; Mpst; Mgst1; Mtarc2; Akr1b10; Ephx2","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM",0.000595186175415969,0.00189377419450535,0.477270815362862,0.574186578137824,2.02088367712439,24,"mitocarta","Ech1; Cyb5r3; Acaa1b; Mlycd; Slc25a1; Fasn; Them5; Acot13; Hsd17b4; Acot2; Ephx2; Acot7; Lyplal1; Phyh; Dbi; Acss3","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS",0.110878661087866,0.161698047419805,0.193813302725311,0.443884411924984,1.37869229165774,15,"mitocarta","Agpat4; Plscr3; Triap1; Gpam; Pld6; Ptpmt1; Hadha; Prelid1; Prelid3a","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION",5.5415478246153e-07,6.46513912871785e-06,0.659444398037935,0.572153843817633,2.43043349690339,45,"mitocarta","Acsf2; Cpt1c; Acss1; Acads; Acad10; Acad12; Acsm5; Hsd17b10; Amacr; Acaa1a; Acadvl; Etfb; Echs1; Crat; Pcca; Pccb; Acot11; Eci1; Cpt1b; Eci2; Acacb; Acat1; Etfa; Hadh; Acadm; Acaa2; Acsm3; Hadha; Mmut; Acad11; Cpt1a; Decr1; Acadl; Acsl1; Slc25a20; Acsm1; Acsl6; Acadsb; Etfdh; Cpt2; Hadhb; Mcee","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
"MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM",0.54070981210856,0.573480103751502,0.077274697304471,0.265919590773102,0.935919753059726,24,"mitocarta","Pisd; Agpat4; Prdx6; Triap1; Gpam; Sphk2; Osbpl1a; Ptpmt1; Prelid1","thymus","RR-6","GLDS-244","Stat_(Space Flight & ~30 day & On Earth & Upon euthanasia)v(Ground Control & ~30 day & On Earth & Upon euthanasia)",1,"flight_positive"
