"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"HALLMARK_ADIPOGENESIS",3.17218214303548e-12,3.17218214303548e-11,0.898671232061694,0.497463190339512,2.2390525336385,198,"hallmark","Abca1; Dnajb9; Apoe; Lifr; Angpt1; Tob1; Cyp4b1; Aplp2; Nabp1; Dbt; Sparcl1; Chuk; Tank; Enpp2; Ddt; C3; Dld; Cmbl; Dhrs7b; Col4a1; Mtarc2; Scarb1; Lpl; Por; Fzd4; Cd302; Ltc4s; Acadm; Chchd10; Ephx2; Cat; Adcy6; Cpt2; Sowahc; Acox1; Atp1b3; Echs1; Atl2; Samm50; Rmdn3; Cidea; Retsat; Ndufab1; Pemt; Aldoa; Mccc1; Acadl; Cd151; Agpat3; Fabp4; Pfkl; Cd36; Mylk; Dram2; Bcl6; Idh1; Idh3a; Uqcrq; Map4k3; Coq9; Mgll; Reep5; Pgm1; Itih5; Ndufb7; Decr1; Aco2; Abcb8; Sspn; Retn; Slc1a5; Adig; Ghitm; Hadh; Gpat4; Dhcr7; Dhrs7; Ak2; Phyh; Sod1; Uqcr11; Acaa2; Cox7b; Omd; Scp2; Immt; Ndufa5; Gpx4; Rnf11; Cavin1; Cavin2; Araf; Ech1; Sqor; Cmpk1; Nkiras1; Adipoq; Dlat; Tst; Lipe; Gbe1; Suclg1; Gpam; Hibch; Etfb; Riok3; Miga2; Uqcr10; Coq3; Cs; Ywhag; Prdx3; Grpel1","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ALLOGRAFT_REJECTION",0.415233415233415,0.461370461370461,0.101350743797099,0.228603862455114,1.02294992047651,191,"hallmark","Klrd1; St8sia4; Egfr; Cfp; Irf7; Cxcl9; Gbp2; Tlr3; Gpr65; Ccl19; Il18; H2-Aa; Mmp9; Ctss; Stat1; F2r; Lck; Ptprc; Il12rb1; Map3k7; Il10; Cd79a; Ube2d1; Il4ra; Pf4; Cd28; Tapbp; Stat4; H2-T23; Itk; Inhbb; Apbb1; Tpd52; Lyn; Spi1; Il15; Cd1d1; Il12a; Il4; Degs1; Ly86; Fasl; Ifngr2; Ltb; Ccr2; Cd74; Ccl11; Gcnt1; H2-DMb1; Acvr2a; Jak2; Il7","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANDROGEN_RESPONSE",0.00548219623316215,0.00967715888420866,0.407017918923954,0.377128703106534,1.53873675308296,101,"hallmark","Hpgd; Selenop; Dnajb9; Maf; Lifr; Tsc22d1; Sat1; Itgav; Ell2; Slc38a2; Sgk1; Inpp4b; Mertk; Sec24d; Ncoa4; Ank; Camkk2; Zbtb10; Slc26a2; Rps6ka3; Ndrg1; Steap4; Klk1; Elk4; Abhd2; Tpd52; Homer2","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_ANGIOGENESIS",0.000308708518547604,0.000812390838283169,0.49849310876659,0.593099537600719,1.96292204468149,33,"hallmark","App; Jag1; Itgav; Pdgfa; Msx1; Lpl; Pf4; S100a4; Jag2; Kcnj8; Ptk2; Fgfr1; Postn; Pglyrp1","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_JUNCTION",0.0194746027739602,0.0302420980761599,0.352487857583619,0.30468425487155,1.35720429273732,186,"hallmark","Vcam1; Egfr; Lama3; Acta1; Tjp1; Nectin1; Lamc2; Cdh1; Tnfrsf11b; Mmp9; Itgb1; Dlg1; Lamb3; Cldn5; Sirpa; Ptprc; Mpzl2; Jam3; Lima1; Nrtn; Mmp2; Tsc1; Adam15; Pbx2; Nectin3; Pard6g; Negr1; Cx3cl1; Fscn1; Rasa1; Hras; Ptk2; Epb41l2; Vasp; Sorbs3; Cadm2; Cldn8; Nrxn2; Akt3; Mapk14; Hadh; Adam9; Inppl1; Tgfbi; Rras; Cd34; Pecam1; Cd86; Dsc3; Itga9; Cdk8; Myl9; Actn1; Cdh3; Ppp2r2c; Pals1; Nectin2; Cadm3; Wasl; Cldn7; Vcl; Cdh6; Actg2; Exoc4; Ctnna1; Sdc3; Cercam; Fbn1; Cd209b; Ldlrap1; Myh10; Syk; Flnc; Nexn; Crat; Wnk4; Col17a1","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APICAL_SURFACE",0.109126984126984,0.13640873015873,0.190023305279108,0.378882876275675,1.31191626620035,43,"hallmark","App; Gas1; Akap7; Atp8b1; Sulf2; Ncoa6; Rtn4rl1; Cx3cl1; Slc2a4; Lyn; Ephb4; Srpx; Crybg1; Lypd3; Efna5; Il2rb; Cd160","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_APOPTOSIS",0.338164251207729,0.393214245590383,0.11331290842208,0.246698168331045,1.06601644395832,156,"hallmark","Smad7; Txnip; App; Tgfbr3; Sat1; Dcn; Timp3; Clu; Il18; Ddit3; F2r; Dnaja1; Casp4; Ank; Ifitm3; Bmf; Nedd9; Cd44; Mmp2; Egr3; Plppr4; Tnfsf10; Pea15a; Cd38; Bgn; Jun; Cav1; Cyld; Retsat; Ptk2; Irf1; Rhob; Birc3; Mcl1; Gsn; Gadd45b; Cd69; Fasl; Satb1","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_BILE_ACID_METABOLISM",0.0005625874536792,0.001406468634198,0.477270815362862,0.418332521205607,1.68737573035889,98,"hallmark","Abca1; Rbp1; Abca9; Hsd17b11; Slc23a2; Mlycd; Slc27a2; Lck; Cyp27a1; Abcd3; Hsd3b7; Nudt12; Pecr; Npc1; Pex1; Amacr; Ephx2; Cat; Pnpla8; Bcar3; Retsat; Hacl1; Pex6; Crot; Pex11a; Idh1; Gnmt; Bbox1; Pex13; Acsl5; Nr3c2","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0313105935159387,0.0447294193084838,0.321775918075361,-0.399799020008987,-1.4622768016431,73,"hallmark","Stard4; Fabp5; Tmem97; Idi1; Sqle; Fdps; Ldlr; Hmgcr; Actg1; Ctnnb1; Nsdhl; Ethe1; Mvk; Mvd; Cyp51; Stx5a; Hmgcs1; Chka; Fasn; Srebf2; Pdk3; Pnrc1; Scd2; Gpx8; Ebp; Atf3; Fads2; Hsd17b7","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"HALLMARK_COAGULATION",0.00146320302975993,0.00332546143127256,0.45505986738723,0.383693997207186,1.59296221411385,118,"hallmark","C1qa; Lgmn; Cfh; Lamp2; Apoc1; Ctsh; Timp3; Clu; Apoc3; Mmp14; C3; Mmp9; F3; Ctso; Ctsl; Apoc2; S100a1; Pf4; Klk8; Plek; Mmp7; Htra1; Mmp2; Serping1; Ctsb; Arf4; Trf; Gda; S100a13","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
