"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.386075949367089,0.63554040895813,0.0965629554309422,0.3898365489035,1.07008355881735,17,"kegg","Cox5a; Cox7a1; Cox6b1; Cox7c; Cox7b; Cox4i2; As3mt; Cox6c; Gsto1; Cox5b; Cox6a2; Cox4i1","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",0.984615384615385,0.988527724665392,0.0445961615888961,-0.188032961031585,-0.491209927142868,15,"kegg","Gstp1; Gstp2; Gsto2; Mgst2","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",0.307692307692308,0.561974789915966,0.104732821580651,-0.421865322236168,-1.1020644096804,15,"kegg","Kras; Map2k2; Mapk3; Fos","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.773076923076923,0.86603763294246,0.0557104226766671,-0.296612413759807,-0.774858627728312,15,"kegg","Rela; Ptpn11; Nfkbia; Ikbkg; Acp1; Abl1; Prkd2","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",0.230912476722533,0.461824953445065,0.121543282035469,-0.449980769621846,-1.20889289556315,16,"kegg","Kras; Map2k2; Myc; Mapk3; Fos","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.929752066115702,0.951994938510815,0.0504983044100709,0.229717432416964,0.645080632464542,18,"kegg","Gstt2; Arnt; Mgst1; Ahr; Gsto1; Gstm4","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.107954545454545,0.262525826446281,0.186432558434075,-0.520279714138131,-1.41407460709099,17,"kegg","Arpc3; Actg1; Arpc1a; Arpc4; Arpc1b; Arpc2; Wipf3; Arpc5l; Actb","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.228846153846154,0.461824953445065,0.124434168630393,-0.45859909973595,-1.19802628822742,15,"kegg","Kras; Map2k2; Grb2; Mapk3","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.248076923076923,0.482622377622378,0.118815039412263,-0.450558891042108,-1.17702236261221,15,"kegg","Kras; Map2k2; Grb2; Mapk3","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.497872340425532,0.69184857695496,0.0826646449123753,0.330536203501092,0.979963807768214,23,"kegg","Creb5; Adcy3; Adcy6; Adcy2; Creb3l2; Adcy7; Adcy9; Prkacb; Atf2; Atf6b","thymus","RR-9","GLDS-421","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
