"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6J_EYE_GC_Rep1_M33",-0.459120390760609,-0.0666835470017781,-0.323149457017999,-0.401367870547288,0.271051768984443,-0.148950338347595,-0.21046255285592,-0.0465901964741256,-0.41226820744975,-0.0996013818600026,-0.168896421572237,-0.384447061155273,-0.0581497005547524,0.0304808076854783,0.205263594783731,-0.258696801821177,-0.237713664520637,-0.35533604663867,-0.670044788191727,-0.000204700389995358,-0.341248870758009,-0.531747996363985,-0.295072702561195,-0.16733532135451,0.0343255148316528,-0.0564598313568231,-0.509962727127678,-0.279357785115865,-0.162763417075456,-0.0806190844702147,-0.280193432899424,-0.336226225373801,-0.199678852497941,-0.289412674588519
"Mmus_C57-6J_EYE_GC_Rep2_M34",0.184495969055005,0.357640916478624,0.265639248279667,0.541023714433878,-0.0412208157127532,0.181400013349685,-0.0221720835195083,-0.0474412802859494,0.473331692295228,0.0264225591021451,0.0920692619393527,0.196776452799562,0.146124637275618,-0.0276897931637419,-0.288155407760986,0.130001623868524,0.216289065415789,0.240700470134721,0.0101701927089273,0.149531928813681,-0.247153485952819,-0.285831644954547,0.180100364790119,0.0682883894232359,0.0282823714379782,0.0930452035615538,0.228739315520936,0.465860145291192,0.149148803756173,0.383958689009894,0.214604617610452,0.512913285619197,0.274730717645098,-0.161920397257965
"Mmus_C57-6J_EYE_GC_Rep3_M35",0.66953095849418,0.439312108299574,0.6755248770572,0.895515485516114,0.515677048576741,0.173893518676322,0.399054568803667,0.414699873452403,0.507686787336241,0.296153730269803,0.682467226398784,0.590123182833303,0.398590212135692,0.267082593020689,0.0557754339125285,0.00751744644974076,-0.252537978599089,0.337754212442776,0.519821101492314,0.492091920573544,0.132215191047421,0.344081295851213,0.478508750638748,0.126861903266217,0.207633215640088,0.103484791383129,0.460809598156808,0.855493252184928,0.316540877682195,0.71221819556003,0.469353269382315,0.807037472695132,0.388891334889707,0.415154968489686
"Mmus_C57-6J_EYE_GC_Rep4_M36",0.663165839050227,0.316956957526964,0.68296624702217,0.569340089704632,0.25730151480282,0.626237593239278,0.491098793984263,0.158969316884367,0.571851133717073,0.30173701704827,0.442673879735522,0.502841585168909,0.20354692469009,-0.0773999922883394,0.242455675843983,-0.0396348454742394,0.208954281691188,-0.111662548216847,0.34374674673166,0.206806858680679,0.0123366600972235,0.338908218861543,0.344198687245282,0.223047959590169,0.0987435352230286,0.0950365059623512,0.148193512886898,0.509256655074329,0.299970941670561,0.496421149277819,0.26697347260556,0.5651899430953,0.480518085934974,0.382423861982583
"Mmus_C57-6J_EYE_GC_Rep5_M37",0.558285492546916,-0.320076113979564,0.199388111295083,-0.0656591706210226,0.186953463515937,0.135143309382629,0.416981502379374,0.209947170480059,0.486671796464089,0.316053168631677,0.0858255106630861,0.0713801028416604,0.581963532177366,0.112068652990704,0.1112463596802,-0.0895424333296536,0.4643549853222,0.145455818909348,0.557995881521282,0.0928394222273509,0.154038098052983,0.199729076519226,-0.22499222816549,0.185585444289761,-0.0317296724724154,-0.120282929203158,0.205849682806079,-0.186186961234775,-0.0501668334232182,-0.26058480738491,-0.0131680786673433,-0.243976267098503,0.317868226008974,0.34965782947951
"Mmus_C57-6J_EYE_GC_Rep6_M38",0.0125972669175426,-0.0461052658371145,0.220631601695171,0.580844052286946,0.482816130578854,0.242767343125086,0.303367176859319,-0.147683449012146,0.167987366230303,-0.30805879324258,0.0629436041821561,0.453634010318861,0.184576285581043,0.567216462538045,-0.0987355929979285,-0.141718735913716,-0.158976023844312,0.152634212749571,-0.406681656698527,0.444225862357053,-0.2250399514,-0.283296941362207,-0.177839789293345,0.19609399916989,0.353391021380129,0.21196968735846,-0.180980480160922,0.639707501138132,0.153808459250742,0.527950661889598,0.0306630536644437,0.579728277306803,0.0718291936528816,-0.0197074742348088
"Mmus_C57-6J_EYE_FLT_Rep1_M23",-0.539621014477399,-0.108197634055348,-0.618017002009729,-0.581297083384635,-0.201661602998725,-0.214880710726537,-0.430244809267315,-0.256667771338507,-0.460042031299436,-0.221107973164464,-0.246772230689635,-0.33732370403583,-0.190337462168987,-0.455683996744377,-0.180077355608299,-0.191280083196779,-0.285355953041604,-0.442026039865117,-0.137498395847253,-0.346485280552444,-0.281567469672204,-0.0984719066358565,0.0474575480577978,-0.0946594288554214,-0.147337203119533,0.438758895880128,-0.213618317579108,-0.55534770628195,-0.427847922107071,-0.458535306271005,-0.347302029758861,-0.51496792778496,-0.431844666619864,-0.334463053700783
"Mmus_C57-6J_EYE_FLT_Rep2_M24",-0.584684850093022,-0.441759207643274,-0.625256617005044,-0.771981411108654,-0.532361926937421,-0.564174582505929,-0.332100230266375,-0.197386215086576,-0.517868410137494,-0.269843478640831,-0.550623232774381,-0.634729615850218,-0.338948411458136,-0.193167624201845,-0.0833913391406106,0.0499753445842485,-0.0163924212740581,-0.167583632552723,-0.24077145934132,-0.55429817599015,0.204595224667367,-0.179401220886384,-0.103578356622941,-0.237987791695943,-0.397748474842597,-0.163111214437004,-0.386180061524837,-0.756795424577286,-0.365010646415826,-0.740157975521302,-0.30953770526352,-0.759952462077389,-0.242339190152428,-0.394515403327082
"Mmus_C57-6J_EYE_FLT_Rep3_M25",-0.0523933485162265,-0.225758007384552,-0.0630672442243533,0.00481161987803788,-0.28029980588885,-0.351376748020456,-0.410577945074181,-0.226011551201803,-0.174237784297806,-0.113055867703002,-0.149740803441803,-0.101757327194423,-0.314858808042525,-0.299800736819769,-0.304442520108514,0.159666102129538,-0.372178707331117,-0.0569465301777928,-0.0634444655510151,-0.242088547820297,-0.0813288186394583,0.194186134811519,0.125152447027522,-0.301334200775645,0.159600708933967,0.203121067130791,-0.164401964441633,0.187888385492223,0.118582191670043,0.273410030865303,0.0945721543134542,0.232575595591643,-0.26157685566694,0.0986934411129982
"Mmus_C57-6J_EYE_FLT_Rep4_M26",-0.159537525062501,0.0184539854247761,-0.260352086319166,-0.275636822547227,-0.477458901424912,-0.302181999373597,-0.24440196355558,0.0365670090254507,-0.252009977585868,0.145212554276926,-0.182438079139315,-0.0556621466603372,-0.0473123187700423,-0.331904241983026,0.103238533833409,0.171540466089578,0.19573372417452,0.130709864099714,0.236010694798608,-0.0832660301129322,0.0664611288916387,0.355134126935838,-0.340328787833666,0.238258580945022,-0.383240157420949,-0.436440755071251,0.1165405589833,-0.478406258601957,-0.353568463998153,-0.51756905052771,-0.230575144327745,-0.434333183673676,-0.156570128785017,0.00758277661770695
