"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"Mmus_BAL-TAL_LRTN_BSL_Rep1_B7",0.257725471092808,-0.272277601789013,-0.146758086580234,-0.309229793740494,-0.341366173817245,-0.29399115401832,-0.0901813007570567,0.0148379313567088,-0.178029151687829,-0.244387515639136,-0.23184060062109,0.433158894945495,0.150125613219505,-0.358233946202888,-0.275849770253609,-0.24732296477818,0.150854295816159,-0.0394617271831942,0.127203592774956,-0.36881750354578,0.116677524555223,0.0718448085793409,-0.234327093696966,-0.412901055569023,-0.33398598063128,-0.270282239009532,-0.323298585855172,-0.267489599864832,-0.161741689484521,-0.293523743865071,0.385783237857014,0.579358282879972,0.433346538202096,-0.331230780152726,-0.313601972311461,0.584020641317399,-0.0335409617942334,0.116130540464323,0.0799352156347788,0.0966464068715118,0.287231726905018,0.291724401192279,-0.0365870784616601,-0.358679021775006,-0.288713064686215,0.434470272285788,-0.291325588017203,0.0859659606648168,-0.332444990921586,-0.114463737255807
"Mmus_BAL-TAL_RRTN_BSL_Rep2_B8",-0.307632906422474,-0.431827856680965,-0.330824001169526,-0.485212293818502,-0.234763480196266,-0.361144103760774,-0.351160513366021,-0.287702140545994,-0.238129453822622,-0.497962100853849,-0.347803063971277,0.229921754199574,-0.0519692774259221,-0.468531913429313,-0.220564849964138,-0.307763750833151,-0.304008774925813,-0.0145377593182225,-0.155253984952295,0.0535542043771442,0.0642341734398515,-0.111136494707775,-0.333470370483077,-0.442006628362245,-0.363218898340422,-0.601126640745848,-0.528939658802141,-0.0578951304754868,-0.310804353593637,-0.170180030225635,0.0357419693779635,0.0914262289446559,0.248375638532575,-0.364169138690516,-0.162969962922998,-0.229501194569839,-0.165310585551455,0.269147881549492,-0.154811185555568,-0.0420950229446689,-0.110499353815021,-0.27737723045195,-0.0210994179240431,-0.291471061418376,-0.364393948123911,0.126724835307998,-0.127314753987906,-0.169108588197988,0.00373542170197991,-0.365552385780834
"Mmus_BAL-TAL_RRTN_BSL_Rep3_B9",-0.280842612870858,-0.372011101047577,-0.324435251205225,-0.224979443982939,-0.198511756825495,-0.170114090953258,-0.324395945959694,-0.292065981583076,-0.401225051813613,-0.250967050916364,-0.299781971494244,-0.022607545863038,0.236253583135851,-0.315790716542416,-0.286585009741968,-0.302577684893886,-0.348591025278815,0.283076247907164,-0.127969598798138,-0.381634328704802,-0.12957960165143,-0.252668326973528,-0.340195398039522,-0.312419831588711,-0.350033040720691,-0.332045483846945,-0.280619049720463,0.132423381918981,-0.334728526345307,0.0718303443684859,-0.38934930749878,-0.188932584120084,0.28815220695726,-0.00425119954188394,-0.405989837218983,-0.487018933096077,-0.209283733869151,-0.176969743453117,-0.322552755902506,-0.321410440196816,-0.300342678829418,-0.3258859488465,0.0289772075556134,-0.314038143142821,-0.368619300500703,0.0156116160820481,-0.233490700866817,-0.341025304334823,-0.197412492273349,-0.321013370648315
"Mmus_BAL-TAL_RRTN_BSL_Rep4_B10",-0.383993676558133,-0.357950776942997,-0.269495548427604,-0.475429014478551,-0.246830851854868,-0.12615005699256,-0.414018603660035,-0.22560650540429,-0.461327278117055,-0.459937072201401,-0.297964663471812,0.0709731954960238,-0.0125935829306905,-0.489564978381676,-0.241579212676163,-0.27230348396586,-0.485809649871783,0.050894983906615,-0.16007041594782,0.0188573862262765,-0.187550236626902,-0.247764387369778,-0.304879201760029,-0.300310641556202,-0.280440755420715,-0.476716824253392,-0.42829925396235,-0.0262539897161809,-0.382893168337547,0.219197089317531,-0.268648458789177,-0.11412014837093,0.20543593940924,-0.376493631034688,-0.256819476163709,-0.466540043810456,-0.221772224512255,-0.225688130092249,-0.35038441964484,-0.245834463554415,0.022847679696706,-0.43093147359716,0.136082467434789,-0.328945163517259,-0.345300419379755,0.0951507645082996,-0.11895661641291,-0.185457530821004,-0.142792467826424,-0.345472348768798
"Mmus_BAL-TAL_LRTN_GC_Rep1_G6",0.375536451443629,0.422870151636578,0.352631449205059,0.440125708240161,0.190828195125514,0.0116373528854925,0.430063791857197,0.368916110215002,0.295112114136628,0.465715164916509,0.350123233146487,0.0696980673112825,0.181253559452385,0.44917967630501,0.381462597171215,0.357408832775069,0.407578998505797,0.0695336888850317,0.234706306546851,-0.282623952097574,0.112024898049535,0.14895099723949,0.395808385727545,0.408725460313005,0.414718417240856,0.540862878504717,0.459387198461227,0.00466653819195501,0.2753177647124,-0.0245760235533467,0.293914632219486,0.315152944843956,-0.0864900601451811,0.265807068480049,0.147629155026164,0.485838907539377,0.372399865166357,0.10172798896771,0.38485366023225,0.259856051756756,0.285093715503003,0.403529156185952,-0.127433729722037,0.328815751172334,0.393988111459189,0.107147196713041,0.0497779568243388,0.227479146609896,0.0024292282045735,0.441717900209287
"Mmus_BAL-TAL_LRTN_GC_Rep2_G8",-0.0235351228997966,-0.214812510248258,-0.157431342882872,-0.514079463161946,-0.320430439110919,-0.227352727858555,-0.175775328870142,-0.0423227283208248,-0.0239464368794138,-0.321936561405574,-0.124174399151668,0.332529285713649,0.242087650311808,-0.542142426502261,-0.232465650653357,-0.0794136008678867,-0.00906121786109908,0.0372035487869739,-0.0504827426518298,-0.150897866472221,-0.0227782006142422,-0.17670942810217,-0.287281340178527,-0.359217321576666,-0.191318013132093,-0.186857848836636,-0.202326227850857,-0.136503954548528,-0.176189631424108,-0.168298106629856,0.237951210794529,0.396176483824043,0.222089091576877,-0.356878362157131,-0.119600314261298,0.238359425811549,-0.134346162060298,0.0724828200745002,0.144853264223444,-0.0973689139695815,-0.130839773279328,-0.0881202602170646,0.0753456089852401,-0.328694719362988,-0.149929910272978,0.15336383117329,-0.322329218969232,0.136215709655381,-0.273440058383611,-0.254704820328042
"Mmus_BAL-TAL_LRTN_GC_Rep3_G9",0.172678435905354,0.125017841819999,-0.0199317468874232,0.191877677525794,-0.162061818171706,-0.144600859888897,0.0893522644185205,0.0961809443814142,0.354202757114836,-0.0438852589553475,0.0838185324265249,0.310943536187488,0.0925854284671467,0.120092032062087,-0.0620150804547969,-0.0195355282713773,0.330259798843956,-0.192833981482903,-0.0214263895809359,-0.046748767152317,0.0164639463262185,0.00895996298730542,0.0432759351094435,0.0245542942840358,0.0215529393981769,0.148700982293496,0.103090463260977,-0.128941075513918,0.0898415428656425,-0.378149678215272,0.319620748747968,0.222601218089547,0.115611059443683,-0.173404248214923,-0.00589534931352717,0.482271309227996,0.170603434193982,0.176033820258261,0.244149982753746,0.138698997889049,-0.0879669656800539,0.33136156287643,0.0364968700935076,-0.0319404343137927,0.260860717572218,0.0875812398165999,-0.166090876329222,0.280115580638734,-0.195995496366386,0.197556248801447
"Mmus_BAL-TAL_RRTN_GC_Rep4_G10",0.182803797942252,0.254733097144362,0.087148036905957,0.483885723711789,0.312861536302632,0.359315395486933,0.306184442880668,0.221597401629841,0.271599490716958,0.384430136493737,0.209381462406267,-0.253310962142909,-0.277700585270041,0.513023032194766,0.203047620063117,0.227868587883187,0.278234483522191,-0.269620261909995,0.0628698739417416,0.133358785370941,-0.0182540358705323,0.180195151148548,0.304396021526053,0.336025248854818,0.263176117301393,0.533407672021558,0.396979742389467,0.149539603526383,0.293436930373574,0.0313951765560833,-0.178077945165924,-0.344701697114745,-0.377206925359718,0.330976187133935,0.246497452428716,0.13778315091269,0.0758698832025055,-0.0547943083779107,0.173131275627024,0.0642888065192064,-0.19648008562974,0.285235941764092,-0.173821412995403,0.265186178678105,0.175632073435847,-0.225985766346304,0.101083966537746,0.0990256635953749,0.167264888037397,0.345739740247402
"Mmus_BAL-TAL_LRTN_FLT_Rep1_F6",0.131296662019372,0.207672061592789,0.216998708979224,0.362190339754997,0.340566497528098,0.41691191160708,0.196481500610363,0.188590689861399,0.242343482056505,0.352725815029904,0.211912463917732,-0.490407251862884,-0.305149465078797,0.434605072063686,0.391010729803462,0.291966535507553,-0.0225324656615024,-0.107427229797984,0.0237449955912252,0.392563979270141,0.0819397764744516,0.159094093551411,0.242568161490798,0.240714022598376,0.241145370281677,0.192256136766477,0.151956703471292,0.191667222002655,0.213860021465972,0.338888630525843,-0.183014840541842,-0.44673613155317,-0.50135693942947,0.301047287022268,0.284958205460447,-0.440370457289516,0.0241590252821776,-0.125457916009192,0.0723654665897715,0.0572733466464703,-0.0146031994352444,0.111657678636996,0.0181574347549113,0.416167362711071,0.311225168955631,-0.334358862165452,0.328690622573152,-0.102380926772378,0.305810915666721,0.152358153683739
"Mmus_BAL-TAL_LRTN_FLT_Rep2_F7",0.0883106697836375,0.246202451073506,0.138112230749935,0.201639858949593,0.288523455370158,0.174196206887247,0.213031904929088,-0.165033081436397,-0.242349164878186,0.105845395102596,0.102698912908682,0.0324717454812066,0.269404879876645,0.184893081750741,0.284518391288938,0.174640318677331,0.0460870354769335,0.336832367438155,-0.044635167749756,-0.24730052375628,0.0178682892543085,-0.0217690920134067,0.230246203688608,0.215413382670172,0.190496719539833,0.317287210805829,0.320252771567406,-0.0455297753325863,0.149633268122089,0.215448191259517,-0.222288077827143,0.177954798058716,0.0337142930643444,0.450569264535876,0.292410611980695,0.223607144839962,0.225762487312413,-0.177451066148414,-0.248022720175222,0.136555467001327,0.0486783090896167,-0.0832464920359017,0.105351508023366,0.236599679263121,0.204902500585139,0.0299748948191458,0.188303531069114,-0.0316272635932165,0.0953047474397044,0.0374492458613733
