"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_CHAPERONES","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_BAL-TAL_LRTN_BSL_Rep1_B7",0.0501955432520979,-0.158622501975472,0.596273957258885,0.412310612208182,-0.0117653294156359,0.19440699059892,0.518502384191992,-0.235827385817056,0.324407412261824,0.644673629853938,0.57657141621511,0.153303764626443,0.567562194443763,0.180472811645185,0.413406287039168,0.335618987905159,0.446117884337454,0.318895974368664,0.636859039608008,0.428598474036332,0.320628298976768,0.677828827384001,0.207900972157504,0.583445253427339,0.530814622443966,0.658304962687643,0.78335687012925,0.583095439460544,0.637612780784388,0.606741767198121,0.70460471029563,0.560213443039042,0.309397438336728,0.143234433532842
"Mmus_BAL-TAL_RRTN_BSL_Rep2_B8",-0.349810462763513,-0.485393769250759,-0.262252632828787,-0.334966698644833,-0.282304435885229,-0.215849681561247,-0.0107616729515913,-0.447650811986709,-0.0758866742758696,0.0812499132465909,-0.151023494188195,0.319842657399281,0.133456406723052,-0.0367100630401516,0.334688292065875,0.414323962255358,0.129086030472377,0.358646229792538,-0.00526911232021759,0.287950347967087,0.356527658133712,0.521463373753754,-0.00560142544976333,0.266013864183862,0.580320551839227,-0.122386825311996,-0.131197870322416,0.0201473076001089,-0.311938707813355,0.0145088732849923,-0.242741471678902,0.379625620837475,0.0308684448123417,-0.222316789296516
"Mmus_BAL-TAL_RRTN_BSL_Rep3_B9",-0.178167531588891,-0.157874390171078,-0.52378857154222,-0.375136968141744,-0.523896058484103,-0.615160117287168,-0.108600254155658,-0.108807957464951,0.128933753367497,-0.161318211337005,-0.353806765732546,0.326254152538896,-0.313006744070637,0.260098954154819,0.282087040499772,0.378627269355525,0.138463021715674,0.451102200928041,-0.278634112932768,0.387244147290001,0.549795346048836,-0.0450087654419496,-0.281210885878174,-0.159996177430437,0.0691786362469695,0.127209207778811,-0.607606182558695,-0.162554243442179,-0.568116838806022,-0.0627370261114509,-0.614671869849622,-0.320397429441864,0.306128700767651,0.121626998195102
"Mmus_BAL-TAL_RRTN_BSL_Rep4_B10",-0.420360773683735,-0.403176282957211,-0.568271357222583,-0.5211820955779,-0.667783498542893,-0.650830854554076,0.052946711485568,-0.446648457625585,0.0104647968813754,-0.385422483623738,-0.429185077472611,-0.127480066772952,-0.462586158355791,0.128969230105914,0.00105980759836205,-0.190525062397773,0.10378370944713,0.431372468848345,-0.320361267597475,0.37997691186092,0.429345805326101,0.183958722700042,-0.348795292179963,0.00280747146774094,0.2898868405197,0.14387355577667,-0.608577680372104,-0.15771015422561,-0.592313678946116,0.00634040464229743,-0.594356065590478,-0.253639227885767,0.0491158616775139,0.0239721430447548
"Mmus_BAL-TAL_LRTN_GC_Rep1_G6",0.54548084423368,0.463659831629122,0.458045018390389,0.586809039425882,0.572054342584354,0.594779370994178,0.302657918324679,0.50975173780718,0.234631486195603,0.39751840495347,0.434927850460391,-0.125229948151482,0.402602075174856,-0.415960737374726,-0.291371464222735,-0.35303230135386,-0.232436643993933,-0.318655367899987,0.340010391218486,-0.441129670297319,-0.428444144423846,0.00316364265715754,0.138092505539339,0.139391572199827,-0.242427112276668,-0.186196785497999,0.669637558277256,0.186290744705189,0.586191973530208,0.0614565396601506,0.638336883235015,0.341443882144473,-0.152830950160829,-0.0747357754706113
"Mmus_BAL-TAL_LRTN_GC_Rep2_G8",-0.315635964453106,-0.135554427452297,0.252842497628272,-0.184364636370283,-0.441878011903879,0.228959028143077,0.0164829188658362,-0.104851168236485,0.03841338548975,0.225180867956903,0.109846813877332,0.485522672587074,0.266128560094841,0.0483735594384807,0.366603810208271,0.59574506257914,0.293336253588933,0.283669146317725,0.536270793167384,0.298506491757849,0.492549422811308,0.430657406547143,0.183788118512506,0.486083892633831,0.412506824120636,0.271680433515039,0.47216222913145,0.468326898965934,0.0102342949662973,0.394957585860527,0.362629408434017,0.0787569663747749,0.262120793714818,-0.15191956274377
"Mmus_BAL-TAL_LRTN_GC_Rep3_G9",0.314994491274541,0.187152333954171,0.444582233940026,0.403665385018648,0.539423187416762,0.453899983486143,0.483533357457794,-0.00910858296152631,0.376890710322216,0.496454912738573,0.576803307429555,0.269341081471386,0.466837100764233,0.175433287166084,0.214938504512359,0.390711697080688,0.410324236646857,0.0825617259444453,0.608715378945281,0.296053022942679,-0.320302819842948,0.470351987070727,0.377574803634053,0.574870245188285,0.48565083065861,0.530222651962596,0.526970330970368,0.433059492482956,0.502552535540742,0.470092990238954,0.551379625376396,0.523132193431355,0.241354278265254,0.0366534966546218
"Mmus_BAL-TAL_RRTN_GC_Rep4_G10",0.375219634809082,0.286154747270411,0.329429930214872,0.466960323361296,0.680530351336762,0.555473585428471,-0.366686992680993,0.319976861298073,-0.203236242456066,-0.0628826034899005,0.35960839316882,-0.340852788813009,0.23853389511855,-0.0870343580385562,-0.293752589032532,-0.269109990846766,-0.325951800414012,-0.588760468575391,-0.284697308512635,-0.466759457219642,0.0215286052919349,-0.320939444800893,0.209894865892726,-0.527788740170043,-0.556775326421419,-0.22475570167559,-0.128353993409706,-0.35129291810813,0.2192059476136,-0.341066577455425,-0.0340183306136823,-0.265050396845238,-0.202683767830449,-0.0187174256471268
"Mmus_BAL-TAL_LRTN_FLT_Rep1_F6",-0.00895932171351346,-0.0634450518778736,-0.415216265381828,0.279340076237138,0.12412486384814,0.310421653397947,-0.37222352005569,0.118935178333379,-0.454262995007728,-0.555358818948981,-0.429021127473874,-0.397660825037055,-0.357605722464965,0.1550003499261,-0.655888897008975,-0.655474332728042,-0.581561295012224,-0.589516387359131,-0.633161061044762,-0.677582328084692,-0.539191102545421,-0.670217987551082,-0.250080382318655,-0.546671431368318,-0.546488108586955,-0.642477453367012,-0.618254948260887,-0.490895985789152,-0.474978001331207,-0.537817174378328,-0.552699010282524,-0.566970552903099,-0.520180615018232,0.0519320174180435
"Mmus_BAL-TAL_LRTN_FLT_Rep2_F7",0.023482789118422,-0.170977985615731,0.188551706847005,-0.366851073812651,-0.216080594640502,-0.295636588720334,-0.198926657153521,0.150462033222146,0.0121531715680127,-0.0361473713969246,0.0490491997370786,0.113645381455847,-0.277477440218235,-0.316908291689001,-0.109713490089479,-0.376806845093689,-0.0895932471910924,-0.102305238967669,-0.226421536738861,-0.250174283216031,-0.231594391843167,-0.503273427397294,-0.0573646151661847,-0.181287153981312,-0.0983975194638962,-0.0233313747367976,0.451649377217792,-0.0941316868990253,0.612600187167508,-0.0756187800846998,0.492524631643899,0.00366828701896318,-0.0828009982900108,0.0878769176288053
