"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"GSM5398358",0.214857760951539,-0.192991753584976,0.160340427882001,0.350540173142331,0.325485327867525,0.273241584365377,-0.0173166876456416,0.0976817280374764,0.312195679053581,0.0721050620932857,-0.128040431623738,-0.261478339778349,-0.270836650168632,0.309591590786347,0.127755280950439,0.199826743493132,0.180649862367975,-0.159677219052814,0.120389327094109,0.208221545663884,0.0667537005433368,0.126039581341592,0.103756118149346,0.193790548620203,-0.0811054213052539,-0.325859290105453,-0.242678552724107,0.0478921914072399,-0.0674613308454982,0.0136221726908787,0.00148163339225371,-0.33846281641508,-0.193958461370936,0.310426846785151,0.27859022017584,0.240386783520566,0.142172645503922,0.107850222512213,0.27691169553282,-0.0297613823303167,-0.331662873660343,0.177286298960889,-0.00508230825863187,0.352481648654122,0.235153012054498,-0.0605462645557656,0.108966354494353,-0.0154652565144662,0.370637552178626,0.109413655645324
"GSM5398359",0.140097020989386,-0.0293146720122025,0.130991388451721,0.254474263373512,0.16807143883612,0.468711543660886,0.255981351303241,0.131903856245416,0.381821794331836,0.385769574114137,0.00129798114020577,-0.24078454136433,-0.260051485874777,0.344871830366524,0.314440146344932,0.239477832762504,0.186084403733148,-0.222132388664808,0.117432430463402,0.303761523833868,-0.0690064547366886,0.257361031480876,0.020576501980559,0.358828153931315,0.215028485869003,0.174908122054172,0.204751415007572,0.350691248109046,-0.056593441593526,-0.225335308404501,-0.13325417033789,-0.184561304073453,0.121449367317635,0.100860428759513,0.249032743539541,0.236506592096951,0.285476832209784,0.15010156969326,0.17722680536915,-0.0588293893358513,-0.312016060796751,0.319724279131601,-0.195670946603158,0.117559399408283,0.320662313430392,0.0342156625749304,0.0645171957307104,0.198524636458102,0.252528158013104,0.228380153031285
"GSM5398360",0.0269508786856655,-0.268137476232993,-0.0374041750674922,-0.245172975022776,-0.0862253838256741,-0.0408935749139186,-0.0890588790841422,0.265013229472614,0.126834659670758,-0.0295524606293808,-0.163644307185699,-0.213797978923944,-0.190317462219089,-0.293405425459934,0.131586926776923,0.109909029221781,0.295193464068502,-0.239020687498642,0.0391938131428544,0.00375208220257911,-0.0482466188132837,-0.112532127115612,-0.0878264662305423,-0.246746458405176,-0.120461468182541,-0.203811552434233,-0.238232345095665,-0.0728802045286058,-0.0436830534016032,-0.255416595097036,-0.0840719299653161,-0.148016041751471,-0.0693313049216574,-0.0798463549048565,0.246714856991727,0.404367742646245,-0.0110686103921607,-0.236728628837754,0.237206512934778,-0.0117752326374743,-0.198539623819638,0.00472601180460543,-0.243587620618488,-0.0624098654056809,-0.0841581250478852,-0.0131798931327304,-0.14135312548912,-0.135689202515986,0.103441859619929,0.151683404924188
"GSM5398361",-0.335392856377597,-0.0400117151546317,-0.0527271119156774,-0.047579237655604,0.123591206879642,0.115085001026236,0.117035317702819,-0.0288525534735057,0.0720817500274863,0.00428714405718589,0.135649066393185,-0.227109993711408,-0.212146107829637,-0.0707187519392016,0.059230825395866,0.00913541504755047,-0.39771794516165,-0.0772319258636034,-0.10169192257271,0.370865849749065,-0.12903035781623,0.0397362911919187,-0.0719026894600988,0.138632773192909,0.122333286569867,0.244056379480851,0.110441841426972,0.198609627185749,0.296732077944424,-0.00994791412556836,-0.185503747892509,-0.403879337705334,-0.360778699699276,-0.1110476301314,0.356151737025431,-0.3828016082483,0.0895776384459123,-0.37246267436378,-0.259077233095148,-0.0049644583613799,-0.367699598001541,-0.173976602457009,-0.240730373827999,0.175265974284916,0.212376036756041,-0.363074823222222,0.0737591011621634,0.0412594728354627,0.403209647645759,-0.258035362140398
"GSM5398362",-0.304341817636158,-0.13304881285957,-0.235770442152389,0.294394828864978,0.325540072764972,0.415374025832746,-0.0392212436561096,-0.21792432439719,0.205732146482634,0.169017441432965,-0.0376865343291805,-0.167701992991555,-0.235943783098756,0.372682100742038,0.202152594017287,0.138445067414647,-0.36562306594395,-0.131299137168777,-0.0293449646848044,0.462537498179719,-0.279308044341817,0.11512029692567,0.0857677897970332,0.206474982105127,0.11528948475238,-0.0115083167655395,-0.0199097902354535,0.0719037812236095,0.0611338486505435,0.271451329653565,-0.386590887415371,-0.392959023410225,0.0636343755403645,0.0353972521972631,0.0268725851299196,-0.507926472541091,0.0901437139589691,0.140500313478823,-0.262229649364598,-0.205255771153834,-0.496643336664079,-0.259213997817586,-0.0073711891130353,-0.14469758152567,0.171781964276177,-0.214840137088785,0.139976947085192,-0.102081655932906,0.323131575364453,-0.1103443599471
"GSM5398363",-0.422604287298822,-0.0461897151804542,-0.0296828895638877,0.128456742542885,0.357411388768513,0.337669798638948,0.117041407817192,-0.3754712502698,0.200631009500609,-0.132842331546935,0.0586201757974057,-0.206865026144089,-0.093724230893884,0.206122932319106,0.134975165220406,0.0375021428447825,-0.421343687347814,0.0478775560623911,-0.195512699053248,0.326999755788371,-0.236704072977371,0.0437824985226352,-0.0238357523426176,0.0189764974193923,0.215346356679094,0.33708666645174,0.2260927299914,0.145449944165571,0.182548171207347,0.378177384165107,-0.273583334721626,-0.459211238813476,-0.347144008411284,-0.0857481440072226,-0.081800972011162,-0.613455400018014,-0.065695677162172,0.0197289628928383,-0.32820861264278,-0.0963606908389235,-0.341897193308465,-0.250793365815529,-0.0737108839764325,0.124548366065004,0.243451917263002,-0.196172132349484,0.214589645972212,-0.0495004748783058,0.251683493904935,-0.22537163509255
"GSM5398364",0.546069456831727,0.253327918234779,0.236765097458686,0.227006843581349,-0.233994062667831,-0.242447216130612,0.0906978605322387,0.395632231713364,-0.00313581018452314,0.165433173934922,-0.0244639298131354,0.260525287927619,0.136808992306478,0.0414426593938372,-0.0990917809315788,0.0739563943545115,0.576697859909483,-0.0743855906878488,0.228138575173528,-0.403252854106765,0.24390028729812,-0.000205600505976622,0.0482518476590543,0.202172399822486,-0.0377582986409012,0.218632727143993,0.196245142205506,-0.163070060329737,-0.0274267242837749,-0.32808367678675,0.373706382753065,0.467033052999684,0.322891306955572,0.00019517536187319,-0.229062314010038,0.616510080408625,0.0478783438045704,-0.0658600082750089,0.379691009937509,0.298567796137494,0.405116083910969,0.501155165943691,0.0611368916193919,0.0890453873482973,-0.202650097281076,0.309050290993414,-0.242334223897087,0.202335110174517,-0.399494535073661,0.399372725039331
"GSM5398365",0.381927737115492,0.10661381107487,0.154618477737144,0.112052762092958,-0.171576405142046,-0.502174501766473,0.0425748136312944,-0.0103934584483266,-0.0783072223358757,0.11466941020976,0.066819913166209,0.256668933448984,0.157693893121182,-0.0670832839475846,-0.0690506535129012,-0.0111742339673494,0.240404311659009,0.0519664657657858,0.114320415758994,-0.425120059092768,0.191678408795627,-0.0192910355456236,-0.0651843771046471,0.0654122385655401,-0.0255507005258074,-0.146495057705883,-0.136312262810707,-0.0553029605189112,0.00404697694842907,-0.282732043336206,0.374662953812514,0.439852753492332,0.295814582060757,0.0547367781497047,-0.184039282466077,0.394170877448601,0.0082028907164733,0.112759876503819,0.217920039506479,0.280473879919391,0.342699472099882,0.302481798768384,0.123192028919342,-0.171619049864662,-0.178500891069369,0.110713137481387,-0.131452484094145,0.070746337638114,-0.259132512722737,0.0269202247827233
"GSM5398366",0.180443066048002,0.0340355219325916,-0.137234545211803,-0.359295146263399,-0.296060528416738,-0.365560923526872,-0.0921931692185031,0.0874112764620096,-0.272053134238291,-0.350793230692539,-0.17012439708082,0.156152776292391,0.190128413314876,-0.324459310653361,-0.245760632169236,-0.245198011087492,0.23437693904652,0.0988596000809072,-0.0486098848237691,-0.264853734492705,0.0541097298575073,-0.112728870103939,-0.00143529918831525,-0.279726050643736,-0.129481380717944,-0.170077469201115,-0.17871100727453,-0.165687598543796,-0.0855893586297726,-0.148524020107738,0.107060119989082,0.350499756200579,0.137794473112642,-0.102881274142284,-0.0686285602089848,0.345062504498128,-0.0603800765560544,-0.0207066594524392,0.0311835961601601,0.0440691542172808,0.420771940526974,-0.10425843277142,0.235052427116262,-0.135687302254018,-0.251290170549608,0.182113430332809,-0.0806920552225509,-0.0892055039025377,-0.279700827342014,0.0434624073068542
"GSM5398367",-0.264246174145468,0.106745158143557,0.0252989118479012,-0.349431721518459,-0.218168341917313,-0.162895105591625,-0.0973347138497421,-0.128933922703405,-0.283391118442206,-0.164269470144128,0.0124126867805106,0.135507310195546,0.144269412152877,-0.232448528149275,-0.21369593867835,-0.156811821527983,-0.246867741902651,0.147914867649446,-0.127105724989915,-0.167872144430531,0.00863444039622766,-0.251871051441289,-0.179541667794284,-0.306600778822549,-0.0453150614086858,0.0387210255976617,0.0251606863557176,0.00095515238213037,-0.103699154774546,0.0708149683309784,0.0716146518910442,0.201148215599919,0.0321086131100277,-0.0526692647826727,0.0119853991553616,-0.201136585507853,-0.107172497074261,-0.359032065929582,-0.0826519062437015,-0.0309446393846205,0.280626749995155,-0.226030995303581,0.056595990044702,-0.106260352717309,-0.120060808000291,-0.0754969950448674,-0.101736637177137,0.0416700485589819,-0.189971008238401,-0.311696815363022
"GSM5398368",-0.223510305537162,-0.0498260323525125,-0.021470447133548,-0.0674458481664923,-0.142739161458386,-0.233549642105172,-0.0389864591458572,0.0199443782776741,-0.279260555058073,0.014300934255805,0.103044079578875,0.00956871768161666,0.211202913192017,-0.0536763594370383,-0.165628300357412,-0.0742565628126444,-0.102486806478968,0.163011560311572,-0.127991249387898,-0.312271911343138,0.0732533487619455,0.0353751692679255,0.0516607584102646,-0.13796982185852,-0.138572889687849,-0.0317059396507776,-0.0130788143371318,-0.0813395782385763,-0.111943771414124,0.290824114918779,0.050065395501251,0.260282748669956,-0.00975961984415963,0.0416470609212569,-0.365096269151199,-0.272839699630447,-0.10235940784327,0.439652220634124,-0.224965291475756,0.0404727545350012,0.291610886185949,-0.0811606234710122,0.0771289216895812,-0.143159664081773,-0.11180104352485,0.265569210131044,0.0413511399475479,-0.0937369378359516,-0.357871838801734,0.0532193983092403
"GSM5398369",-0.191149552207982,0.0583392015190948,-0.0181136581029097,-0.160967722224891,-0.0553807628457122,-0.104477306932404,-0.175274833783977,-0.245154798474971,-0.182928831616263,-0.051125759869346,-0.106568175846739,0.263755766944548,0.288014623461589,-0.195066600809001,-0.207414097359875,-0.232389357210069,-0.151608588200988,0.219182086618576,0.0625873853597038,-0.360343105942174,0.149999304053637,-0.0713101427259523,-0.0150382985060276,-0.241263103703679,-0.061780070910798,-0.0179820854762342,-0.0608688954197119,-0.176280510079043,0.0193273387462288,0.0768244106801304,0.0861831770608318,0.211757240248741,0.218311911936673,-0.0594773136931141,-0.237672118345316,-0.251298227136711,-0.166168991026198,-0.190775084664322,-0.0857863329620524,-0.162029794836676,0.237387798519687,-0.321689992187278,0.0999929403888866,-0.178678130708061,-0.332395636770761,0.0337670415566583,-0.124492518788011,-0.0893584875658419,-0.0602968738709418,-0.119661591815981
