"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_CARDIOLIPIN_SYNTHESIS","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_CHAPERONES","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6J_KDN_FLT_Rep1_M23",0.465033189534051,0.528528352307833,0.410485341514642,0.499202842329459,0.47969788340841,0.333541485138862,0.544319704325843,0.0837790494772654,0.417539692407651,0.163465714309053,0.553668025828458,0.593691202884323,0.187055689256653,0.365408466992508,0.423035885399865,-0.559081075400635,-0.013836284294154,-0.146206318556384,0.089401441130706,0.440539241827158,-0.224619647757997,0.270855730429225,0.399159265424839,0.379175290471419,0.232045572510421,0.146445653176901,0.522650023634299,0.574076588080158,0.388996813163459,0.575002192487619,0.307759708797654,0.505547067898335,0.445831930601332,0.505812566108956,0.184483446063499
"Mmus_C57-6J_KDN_FLT_Rep2_M24",0.116451964682236,0.257525412967255,0.402983257233236,0.611028720377984,0.442108944586907,0.531985304417385,0.274123344457268,0.212929676531122,0.385627126765044,-0.0887011055884833,0.396407052167993,0.257730342928675,-0.134169291623291,0.173549007597671,-0.0952076192320357,0.182742777228853,0.0327027338023438,0.199608884481335,-0.0353062953718027,0.424908459544516,0.299214005405745,0.349080417441741,0.285375819576676,0.197815386841617,0.298014499445517,-0.204762451638458,-0.00527601759923907,0.55453577706414,0.37317002056058,0.549636447028715,0.266749599794275,0.549815130487494,0.138390359578068,0.341102532822014,0.0604919556307103
"Mmus_C57-6J_KDN_FLT_Rep3_M25",0.237785381108114,-0.251245640103657,-0.0473266162434129,0.0663380130417644,0.387476070132473,-0.226521339846288,0.350713966119923,0.14808039647025,0.269184983502434,0.219038771303263,0.40243471583416,0.485025124934847,0.0566207070156943,0.00432956997240047,0.371972080729554,-0.173896083505994,0.160015549588821,0.074158947755432,0.134869003252064,0.234878062220769,0.0978882003429499,0.0541951492191441,0.50866010581476,0.242153026476041,0.0622748050551019,0.00106582618301634,0.372835716057035,0.213277539022048,0.190227696147268,0.0934422098666341,0.306692374889519,0.199029914286427,0.0705764530276318,-0.0911241236498342,0.0422591171507576
"Mmus_C57-6J_KDN_FLT_Rep4_M26",-0.0387544184080102,0.336465292640393,0.0973041900002345,0.206625675115997,0.0543235936832694,0.213514539973006,-0.214426611695231,-0.287982377494983,-0.283632647736395,-0.0571347995037559,0.00137125773024374,-0.0542439954336051,0.131754843071876,-0.0297245791890955,0.219561594447913,0.0912061747459442,0.16856581869207,0.0932972181325144,0.0426982697806379,0.300745224261562,-0.261352040806772,0.179260390209059,0.241603436367591,-0.103925125008202,0.14935063484104,0.141720929184024,0.319058608805966,0.041087933392246,0.216521294896627,0.0112286777259071,0.26126540674693,0.0896737872222409,-0.230248192485463,0.237068501688228,-0.134733522576844
"Mmus_C57-6J_KDN_FLT_Rep5_M27",-0.290782787635177,-0.269123332340455,-0.250109821929923,-0.193045807865836,-0.388944250500192,-0.454709243325168,-0.442262808327246,-0.251794895715187,-0.410191764838603,0.0855327921918844,-0.046428120471053,-0.0942142440802382,0.0951078780308068,-0.379349297012171,-0.303875802138432,0.0751162498411081,0.153003716227072,-0.117587099067106,0.319679315424006,0.0527884641456154,0.00682762572987747,0.288213547067781,0.133792996415523,-0.0573390539458454,-0.362774865363952,0.20420786482758,0.13699825269322,0.154196168266227,0.139778065193526,0.329812481020866,0.170477178843271,0.170052360323263,-0.0771453782697841,-0.016174870680995,0.0936015204936636
"Mmus_C57-6J_KDN_FLT_Rep6_M28",-0.665058363213837,-0.485344995597234,-0.549004903116979,-0.729063010067267,-0.527010858234519,-0.536977453785309,-0.366016010901537,-0.331676522494188,-0.62744801710778,-0.37581048206431,-0.425775852615411,-0.591778902418231,-0.231407746488807,-0.358051554298985,-0.231447283347092,-0.276590581715881,-0.365207397565761,-0.286199321701486,-0.412706419884851,-0.380363129254981,-0.285396715177481,-0.523324214105658,0.0774603402522111,0.124275227352705,-0.714483150686601,-0.492295079239415,-0.441499226807137,-0.695973685903044,-0.0702667997198642,-0.572172810200145,-0.292322156469502,-0.662750390543965,-0.472144235732033,-0.448739507052644,-0.391180736201014
"Mmus_C57-6J_KDN_GC_Rep1_M33",-0.0625056743805147,-0.316507725182052,-0.433367169369756,-0.274033387773343,-0.351160766741935,-0.282070432577309,-0.396547734643906,-0.33257584790425,-0.408406776952939,-0.356659835740261,-0.494998887404597,-0.446112077111234,-0.309615405289411,-0.523908461712674,-0.391878983548722,-0.0960977182046003,-0.555644480820122,-0.26691079469774,-0.27871583551128,-0.460801751176631,-0.318565143926035,-0.266540661488236,-0.344289595569084,-0.407629856367628,-0.480699089921303,-0.221542984875057,-0.267628193246549,-0.368471091069214,-0.480680718682936,-0.406251714450346,-0.356457287376591,-0.38934042749483,-0.146469084940852,0.0979737428910925,-0.255571399505687
"Mmus_C57-6J_KDN_GC_Rep2_M34",-0.631318101381408,-0.590907764256939,-0.545034535023618,-0.671131450875133,-0.422332644626297,-0.43101315776503,-0.441388608914326,0.0582906483393887,-0.442663244265814,-0.214033581152714,-0.481974081161382,-0.52483033470302,-0.409744751154535,0.13753142818787,-0.455458420145999,-0.186814635879243,-0.290116091837247,-0.121158381407803,-0.354549504213064,-0.460177839560244,-0.202636810171709,-0.523363476953049,-0.5726727854419,-0.0536489869269736,-0.377358541205472,-0.359802306294564,-0.414222238877147,-0.602649000426813,-0.550452699196942,-0.570575051076989,-0.451700537646176,-0.597414898728299,-0.551923505122333,-0.301014398081566,-0.377218433757015
"Mmus_C57-6J_KDN_GC_Rep3_M35",0.661246373693701,0.671601500082667,0.758275302148298,0.664988889647635,0.469153394548887,0.443642833947186,0.524601357781642,0.484435523485983,0.588859381796204,0.471197078439348,0.507156782693869,0.580931725215901,0.373237737321231,0.529464282460876,0.471575039385241,0.285625013957541,0.528794470081533,0.487224613804383,0.42923706796303,0.540319096437768,0.481538730322696,0.491104042811962,0.459633926878642,-0.0532055474454574,0.501625040642509,0.460693911908503,0.530476639686365,0.72813656914625,0.437812450754497,0.546108160318253,0.464111574445183,0.665517719099485,0.716671428728176,0.436134790738941,0.476748118965451
"Mmus_C57-6J_KDN_GC_Rep4_M36",0.113813190398157,-0.229176288716892,0.00478221246163829,0.444770061297124,0.344313086541968,0.376988273315423,0.472409119944019,0.442059649706167,0.468043746159927,0.358061428025815,0.290298194177108,0.139099168168466,0.17027096777477,0.396727152935821,-0.000737755472494855,0.192193498501676,0.377019799464895,-0.0463590890921979,-0.030942331428393,-0.0659420480687243,0.0343442787583,-0.244990532776209,-0.176378642078528,0.211625198562114,0.497610776966923,0.233094712177449,-0.199965374770626,0.277192434190555,-0.0360088166585866,0.293602217791938,-0.150518209652344,0.299465489857342,0.102097763131953,-0.179557668206376,0.125007426239974
"Mmus_C57-6J_KDN_GC_Rep5_M37",0.639081513347232,0.489234159095351,0.538175838633341,0.277553757993347,0.211900570136382,0.247690655569286,0.319867700566528,0.149722494730446,0.508003012679375,0.140474524664258,0.373414641134473,0.215294881705539,0.322546764948531,0.0763785056843174,0.185928494094929,0.308150875997203,-0.0424322585126207,0.399626778429408,0.376629304748278,0.109116224088107,0.283196249357415,0.311430028692433,0.0408719934281841,-0.18836602787421,0.412976119757421,0.480314405117808,0.00298010424469913,0.258293990190043,0.339988495095765,0.0567856887518088,0.206832712646251,0.278313927478102,0.164465790173891,-0.0857261554622517,0.275862307296174
"Mmus_C57-6J_KDN_GC_Rep6_M38",-0.572782185280487,-0.594950386046129,-0.452126528383963,-0.730404045541656,-0.559853350784719,-0.33231930143069,-0.363961145164794,-0.414026773460822,-0.482677037159974,-0.337920778615082,-0.685444830747321,-0.605508434329296,-0.438568132046425,-0.446089786802404,-0.257196932305757,0.229193415660615,-0.0103694382046675,-0.198821242976716,-0.380020914517055,-0.662965580700591,-0.0913608582731048,-0.17958598320754,-0.690591436979335,-0.155298512398896,-0.290496536444682,-0.31831961652373,-0.513988216659422,-0.757396579115937,-0.660145041254339,-0.650932222604108,-0.599774127326734,-0.726373942324013,-0.453569217313845,-0.385893833123335,-0.0914776522679234
