"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep1_B2",0.209101337171545,-0.085781973571808,-0.216453960772961,0.426847877510345,0.236295875378335,0.0609306276653048,0.171993012208674,0.232651947656551,0.147003035262595,0.197675292950703,0.0372415058961254,0.240788855484181,-0.0147795115033541,0.272700386212737,0.283608444139855,0.31345631045478,0.05838258391012,-0.144946130843387,0.309607597862233,0.0377583119542781,0.208461301519177,0.17728548072075,0.067593211784443,0.115372679725146,0.0288131804136252,-0.218599329969416,-0.136569645675558,0.0601513855965195,0.0273593514812781,-0.153025169298222,0.125719503530425,-0.0606100366053328,0.447325476111629,0.3129934449783,0.170258626330121,0.0334996866657409,0.294613895367321,-0.0621840694527903,0.218905520631179,0.190304256276273,0.0147752561703253,0.00446856204954987,-0.0215891303796376,-0.00278491961868646,0.0742519513953598,0.142440366595703,0.0585600678493718,0.295097521111117,0.434875462163691,0.260419656994875
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep2_B4",0.353457210429517,-0.291321539080789,-0.198752464484436,-0.287929424948786,-0.174443165757872,-0.137468281783747,0.0871285670112593,0.383913211313896,0.148451849232683,0.0980245117105913,-0.0821928648937039,0.323856660173245,-0.122236341415352,-0.0719736370130124,0.122201849418804,0.161535930821278,0.378508285366507,-0.180218281185539,0.251408512990806,-0.15669278544056,0.0542003704793027,0.068297428344447,-0.147435954188915,-0.296189199806559,-0.326987696118092,-0.395313530958382,-0.327044947451103,-0.148538159654514,-0.200355510564148,-0.222753891185864,0.12242597033164,0.277869904497492,0.515593902620539,0.206498476717333,-0.156336387375332,0.48419810180459,0.138242829034858,-0.161944478346995,0.316722277789675,0.0840869144817522,0.140446185643765,0.254858278420027,0.0197800856079004,0.0355369736759104,-0.0915246923168546,0.131871019208428,-0.282554452253817,0.275888247610167,-0.0171456660450442,0.407093835376504
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep3_B6",-0.174308267082071,-0.439176217178459,-0.310109349212924,-0.0862763862342306,0.100115099975699,-0.0492783146830595,-0.318168856508914,0.105969377839464,-0.166293761487385,-0.208917340044381,-0.268895739869135,-0.323293674492067,-0.503007095880698,-0.222359312522866,0.167747463884228,-0.0656070897379047,-0.29196504835461,-0.370331633590967,-0.235497377661303,0.293042242576909,-0.0167788737416703,-0.168362708008659,-0.185814680161249,-0.27317265442469,-0.372068861287848,-0.454013779203451,-0.459681880798806,0.174467118776,-0.310304502712577,0.13704635466911,-0.455059662374888,-0.552574127795168,-0.194929722183278,0.260189206461249,0.0851596113336755,-0.488811840501379,-0.0682430374386391,-0.0861536165141328,-0.0971371024922057,-0.152328625205128,-0.379421486020081,-0.345548465556871,-0.189898624203716,0.149029583151541,-0.234682950820184,-0.397869880988332,0.00644223285558015,-0.12499802271855,0.311170114113044,-0.0783689214294542
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep4_B8",0.238233606552503,-0.37961325489988,-0.26219339711796,-0.123074034060245,-0.0794989888613964,-0.205758441232333,-0.0872678976037555,0.142340662645599,-0.0483205240394407,0.0100135850036291,-0.137739442945957,-0.0342734048690202,-0.406135098963577,-0.223522263324485,0.185233966163275,0.12546123711787,0.132375897194637,-0.353602230372988,0.0993543318908741,-0.230122701085032,0.316973400703142,-0.00135555764088466,-0.171266936421707,-0.248969096509072,-0.320002351312728,-0.472445728271863,-0.449425699213035,0.09894966474398,-0.3115918478227,-0.135488470492418,-0.146736392745954,-0.325461904035463,0.103889074632017,0.24105147610183,0.0845272179509527,0.126911330064917,0.117325049513206,0.0176254304918535,0.0759193440829635,-0.0971593667561935,-0.165447680733301,0.0692407871105768,-0.140136606356221,-0.0200286359567875,-0.280406844265088,-0.132022583552538,-0.210355516189989,0.0817851270570853,0.237899886371971,0.305890261596926
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep5_B12",0.0700908812656688,-0.382279388764999,-0.0574382873939144,0.150329007909045,0.25827530075231,0.294753916206657,0.0148273741598454,0.0301252369872939,0.0373874947549871,-0.0726594690838952,-0.0475465158407517,-0.261501401733245,-0.406769105510286,0.0932277386687046,0.362552096497615,0.113177317593756,0.0973354051548846,-0.209764959328525,0.108110983248416,0.438229268477938,0.238961652240051,0.0804927700946297,-0.105924792906224,-0.194167384862464,-0.26087091346554,-0.42456128973451,-0.378353620299068,0.0460674500670484,-0.115042449500262,0.263624761069475,-0.0801163013020124,-0.31312599797057,0.220712906717045,0.249814521175462,0.436311963276475,-0.220239801768472,-0.0425313427801807,0.200074670756367,0.166423571418936,0.155894520657565,0.194903479872324,-0.221986397040538,-0.154565250301412,0.44496020417906,-0.130003451940913,0.0824435550086028,0.360521237571617,0.0036259336948451,0.442979530283806,0.132426617115068
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep6_B14",-0.128010493007445,0.259654152262128,-0.339284454743571,0.174653000221531,0.0828120157569709,-0.264881160337986,0.265610826903539,-0.301772331148135,-0.011662576103237,0.0732143679700914,0.0202766851470596,0.4118038928035,0.466039570422522,0.0229567459772483,0.0377333975195017,0.114919703468509,-0.0817361597290671,0.303273763567626,0.0540563385727808,-0.438570112176213,0.0644532079173398,-0.0513250403825541,0.101168379207692,0.209212126704471,0.212694209960538,0.343569233534012,0.206829056730785,0.119634185705664,-0.0384729805266325,-0.0452614589877791,0.0915890012746232,0.270367137741517,0.418825285739593,0.201628766989767,-0.418960507086391,0.0876489189210547,0.121283919923003,-0.0964076501130656,-0.198640274605792,-0.0043780979980953,-0.014566974897724,0.127149415591143,0.122984634923983,-0.0412771217190627,0.114583740356458,0.169756290985893,-0.344835289766177,0.149402681139931,0.0100411996106283,-0.0265726319571767
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep7_B16",-0.29374688609118,-0.277638812413294,-0.00417524820094617,-0.189700345035979,-0.278923306392308,-0.246302894387406,-0.269138321411851,-0.30428254053673,-0.315992052463219,-0.374139542628189,-0.223012079890942,-0.363002538004245,-0.040002426612114,-0.152087796198233,-0.188159546475717,-0.235959806617169,-0.268321480819257,0.137158269267408,-0.257545033140024,0.0653954111006504,-0.0578024274658889,-0.225600620451174,-0.202649776542451,-0.271047060135249,-0.172180274954995,-0.441879549649141,-0.413300206852207,-0.193773145042491,-0.0584438443654005,0.070597054481302,-0.122642343752951,-0.0404883221230766,-0.44307360431722,-0.370239508351536,0.0176583809959105,-0.36712388132506,-0.390995594009921,0.0399604491661349,-0.308385504641645,-0.137474468013774,0.420959800147971,-0.415307308273438,0.198803651239023,0.0198770541745963,-0.247080971178915,-0.0800135896317296,0.281716758340164,-0.334669323706636,-0.250241062930475,-0.349251462279356
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep8_B18",-0.285381902027843,-0.284977876200346,-0.165931347265033,-0.130761035542933,-0.299270331851165,-0.14056206790059,-0.230196402287148,-0.29934871315791,-0.235468621343417,-0.288018636346556,-0.250555934506219,-0.190578608465621,-0.165176900805683,-0.235314025677589,-0.32744498729499,-0.236410339466883,-0.263402327357173,-0.188223751342669,-0.269913078320057,-0.22929470525924,-0.143251211561834,-0.299919333278485,-0.163107013846672,-0.0299948771780637,-0.115164622413124,-0.310894230590968,-0.302742343178149,-0.194773819277838,-0.0336370284777794,-0.244390768990142,-0.126837493573862,0.0702251437548249,-0.40280145729638,-0.38279483559331,-0.316039866052312,-0.297452369374637,-0.305023839615,0.0172494540210182,-0.301909428754868,-0.284288276753896,0.263870740379998,-0.471254311256545,0.0810825144220809,-0.0906467277072751,-0.24459588619614,-0.202794867240181,-0.00227053299239155,-0.272573543245913,-0.350025003589912,-0.22702122655207
"Mmus_C3H-HeJ_KDN_BSL_0days_Rep9_B20",0.128025099267355,-0.186726038522436,-0.0276758974652402,0.0129810522514299,-0.172413157589648,-0.171380302783413,-0.0350832167076822,0.00853431923163384,-0.0118637338761188,0.0333712493050677,-0.0465462954807257,0.350799889793638,0.182339067367947,-0.169954893231978,-0.167194153174289,-0.0764577476802158,0.227092661329549,-0.0135024160711047,0.0206672133157446,-0.412325565716105,0.0263174174907024,-0.0956199727029355,-0.0877106486110105,-0.20979369890624,-0.150887067624434,-0.296528350594104,-0.253599318925012,-0.0565124803392057,-0.108613946675923,-0.152215941442591,0.302961845595406,0.417849236434115,0.279358844003253,-0.014246814832733,-0.402855070794238,0.309848540089629,-0.182765823648328,-0.187779009940119,0.073506189854562,0.120892838822586,0.473880742241807,0.0459176694824731,0.207613360609615,-0.059309351908144,-0.303367273864045,0.257432643067066,-0.106727082151144,0.1503926447823,-0.120019885466378,0.108036403295253
"Mmus_C3H-HeJ_KDN_FLT_25days_Rep1_F2",-0.0645701606036094,-0.105029493815293,-0.213316438628144,0.366160518313455,0.348903741036927,0.177220837480842,0.0687714594150471,-0.00230204017995289,0.324387184024287,0.147218840053076,0.0206167135608728,-0.00419700875535606,-0.123026062689331,0.206866814753946,0.297960004672203,0.171359566777842,-0.188692196285676,0.0170376345501662,0.236305839378779,0.201484481478056,0.182513216425012,0.0391549508004023,0.0404829373692245,0.090245294658899,0.0599905706299446,0.0775948543623812,0.0476325851127235,0.152228850631749,-0.159305523642051,0.287559726211887,0.00419611838669717,-0.322656877628466,0.244418494876889,0.199112842236519,0.372656945982468,-0.253003274854163,0.156881457586438,-0.0395547558926482,0.0233647316842677,0.187190023478909,0.0138468742101835,-0.269745841337916,-0.101435681850107,0.0938664791609245,-0.051752281320323,0.00930296525448093,0.14535114110862,0.101358981657798,0.41101235204312,0.124456480296186
