"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6T_LVR_BSL_LAR_Rep1_B2",0.237828709998219,0.0835358922040528,0.0971326243757382,0.24710070947611,0.525325531240489,0.449093256669462,0.135692673321185,0.184207747825984,0.13795337732179,0.571173036777045,0.430569573404033,0.272253333396471,0.538302733262814,0.204794103455889,0.0538164479639853,0.333276192374967,0.259496032803464,0.0497715289437499,0.646039054631342,0.236075076291983,-0.197478807148658,0.488271462165024,0.206631819748772,0.152539261420161,0.0123802385474954,0.620920068401427,0.707602620432136,0.532996148691872,0.720820133698873,0.567150678718125,0.63891067150452,0.17063624550692,0.266828274056509
"Mmus_C57-6T_LVR_BSL_LAR_Rep2_B4",-0.148590302404475,-0.110230942400901,-0.0379836797137014,0.203433167026808,0.379992304445732,0.421368305262645,-0.0503550383523305,0.122061877084359,0.213967950071051,0.281848381238476,0.200328881021877,0.115126115703711,0.406537130850513,-0.218780705273008,0.203029557887617,0.225058316026451,0.199781466798673,-0.257636292002059,0.348922908661417,0.217933666771195,-0.111828025669682,0.0637882598198371,0.328661835253029,0.272510923689697,-0.0794899818752806,0.180513465606994,0.463730145376667,0.239555173515209,0.666568384975151,0.271620638487807,0.451245741633683,-0.0988376121852846,0.189513526378319
"Mmus_C57-6T_LVR_BSL_LAR_Rep3_B5",-0.4882970445627,-0.548961673389482,-0.502899609964554,-0.358760619611755,-0.331407371074343,-0.323890488349874,-0.276052288965022,-0.375277876703492,-0.192198881555017,0.239882280445381,-0.144330650732671,-0.459583258352436,0.0811054753732415,-0.0392832413179369,-0.249761093551199,-0.385133870062725,-0.335079809387458,-0.425908931260983,0.184943724409843,-0.395589618745691,-0.508197804153239,-0.063721271725563,0.0861510354296765,-0.270055389015105,-0.102259192699071,0.100567317869624,0.545012517166372,0.244949850632897,0.620004180596041,0.211024799503905,0.460098218899143,-0.360099366757881,-0.0597226809716016
"Mmus_C57-6T_LVR_BSL_LAR_Rep4_B10",-0.596560483118674,-0.445907974158933,-0.631672380596307,-0.17446199227423,-0.252929640766023,-0.220059863322081,-0.1727995010137,-0.516935513652989,-0.258896914728175,-0.00553737662506604,-0.420481043062607,-0.507691834329593,-0.193859224284383,-0.251094201507584,-0.552271813279578,-0.267207050809473,-0.525913422803328,-0.180413128097249,0.174109992195631,-0.401574411311247,-0.409428804287767,-0.420392764668897,-0.234045193671237,-0.262294501302831,-0.148341656038576,-0.311216124114679,0.360786324309794,0.00777555343960212,0.572245608204397,-0.107135622326974,0.370882663537704,-0.300666641671663,-0.0958558042767517
"Mmus_C57-6T_LVR_BSL_LAR_Rep5_B6",-0.437868877702581,-0.0582040329846349,-0.456300604686741,0.0638785926955018,0.175050957570664,0.107027800785663,-0.281933913385588,-0.341213238251897,0.0218872952180866,0.0971446131048153,0.102927895901538,0.454673772979871,0.266377467194476,0.128366960231276,0.316643702831168,0.24901252131101,-0.0440677643946896,-0.180475567151175,0.441173096681781,-0.172625777652981,0.146962611471361,0.0888310675600945,0.13317755077569,-0.150431074937964,0.173077951593787,0.361276255374129,0.279188862357699,0.427449165417106,0.0950117961713739,0.397145265866598,0.196536092907277,-0.131530314618073,0.280516450658577
"Mmus_C57-6T_LVR_BSL_LAR_Rep6_B7",-0.455037371888865,-0.187277736392085,-0.600556398696151,-0.149739139292367,-0.0530166453012866,-0.129883377737859,-0.554561060809015,-0.452389914997638,-0.000958829632379504,-0.303101445168323,-0.146314979353727,0.374765735750951,0.0438581215989824,-0.0758815725965742,-0.250957243335065,-0.185560843370947,-0.283042279951013,-0.432448064385597,-0.0388376134491657,-0.501560314124749,-0.343231136826338,-0.548467929426748,-0.217024471366713,-0.226358875115208,-0.273424436674928,-0.236638029447021,-0.00784364879204039,-0.133178423295833,0.182465830010493,-0.176571680994434,0.0129569732033836,-0.357374765927571,-0.0171293242400473
"Mmus_C57-6T_LVR_BSL_LAR_Rep7_B8",-0.108828994240227,0.23270651016679,-0.272375984646365,0.230239324978407,0.434442152603493,0.40280516654609,-0.0550553604772225,-0.225338885770451,0.217152131760651,0.367467945846891,0.35362331961214,0.41646087666093,0.564909271329108,0.0346659771907974,0.416610867442099,0.368344409675128,0.339606034139107,0.27439547247472,0.615422690218166,0.169064516737712,-0.0177881676331116,0.275232633227116,0.166117320085419,0.214011656104938,0.0203814917645158,0.507122203008351,0.559081550873478,0.476097658705686,0.605794694825181,0.533860145287709,0.546878987613401,0.173653994350948,-0.0384436064688788
"Mmus_C57-6T_LVR_BSL_LAR_Rep8_B9",0.00199829863150305,0.0594317518211838,-0.127053945377276,-0.0244691200998427,0.0815816091404155,-0.0498947358553546,-0.243261935882413,-0.158922563458363,-0.435224310484922,0.363732089541404,0.270543286219163,0.0325842713962712,0.418197775752591,0.0949132827260987,-0.160762062207017,-0.209108475635113,-0.22986376007214,-0.385799047998838,0.439290960610941,-0.31789002367567,-0.268548290409009,-0.111695735656506,0.11688451226268,-0.168709852688086,-0.256719228309843,0.072158599208453,0.586087695387048,0.381604372173804,0.668035887366372,0.315739340723193,0.537929973741611,-0.151058201680079,-0.037303288222469
"Mmus_C57-6T_LVR_BSL_LAR_Rep9_B1",-0.373513013677133,-0.312792815087124,-0.576091499723177,-0.470243035825689,-0.0144522535668783,-0.0518847690441002,-0.554344944797184,-0.384190727210183,-0.186708667915778,-0.130803553229341,-0.129579163661444,0.245467507886568,0.0502515582671533,-0.213948328765858,0.160511440131169,-0.113815483443637,-0.20120040113574,-0.627228036228595,0.174721719209942,-0.0113755079105917,-0.353079177463983,0.0923348867757909,0.129647634203943,-0.205086336041939,-0.406859094681683,-0.00736973132437097,-0.0588060956429612,0.00649427955007875,0.0391050310174381,0.0590181073620255,-0.172545757565082,-0.460301880030607,0.0576970288476938
"Mmus_C57-6T_LVR_BSL_LAR_Rep10_B3",-0.437000716912843,-0.472448876259735,-0.568606612162879,-0.514131768790342,-0.225944960484089,-0.0586567097296798,-0.13588453981935,-0.315783588154316,-0.127523133579252,0.0186354270405443,-0.366669794016796,-0.249812186301245,0.211638242849615,-0.0493351604419623,-0.211649325604319,-0.274078762823158,-0.420400572167668,-0.548831305721899,0.11701395475495,-0.283894194435372,-0.525568283578439,-0.322713050090431,-0.0928463124446105,-0.358996250231582,-0.295610250039283,0.165660999622145,0.201200122689118,0.0946871229984733,0.442574319989881,0.254680703354581,0.158979344542317,-0.434040443301084,-0.177268358894477
