"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"RR8_LVR_BSL_ISS-T_OLD_BI1",-0.0466155287356658,0.220484597586831,0.163336664219679,0.0699381130542896,0.247603417332394,0.288004893784094,0.0866201877969582,0.0595281236680489,0.121034639768929,0.103022098297019,0.311662778731709,-0.276722827023933,-0.216110377695011,0.0444883796747827,0.265515057783888,0.134035709654915,-0.238795998415957,0.0496547258145164,0.102377415092099,0.405794883521049,0.195419971487332,0.120693090930894,0.236604028713751,0.310336024741678,0.278670077281339,0.288972199112233,0.31420312094808,0.111136675752362,0.11207329005271,0.169739409949259,-0.0186793871960406,-0.374588854693717,0.030073510368388,0.260910520563248,0.300557617460289,-0.361856428652049,0.244403526349472,0.0422429718519678,-0.0432139665117175,0.184096667257521,-0.016502711943438,-0.300255952724065,-0.0700943684283887,0.22110101031341,0.212931915584371,-0.0223069596029265,0.291151287940095,0.156934586974629,0.318333818536067,0.100542437369913
"RR8_LVR_BSL_ISS-T_OLD_BI2",0.0453589570429613,0.244087236376921,0.325285981493268,0.0944074440380553,-0.127472618915311,-0.106131693096255,0.000246917059311486,0.172782812783033,-0.0832299711800526,0.218825600111576,0.173711693993456,-0.227143851456223,0.0956020556322779,-0.0937430124148248,-0.014464020832882,0.0169068542202982,0.302034026679442,0.144630511961565,-0.0641959289678271,-0.106417570882263,0.0428595777542948,0.0354594606872883,0.115401545990234,0.227246793140175,0.0931028537004621,0.016738698005939,0.175882897949003,-0.0802950188495563,0.223963132355318,-0.0528905665754233,0.2637326201616,0.280130225858724,-0.111832246904281,-0.337606664591689,-0.31796415894063,0.168436150136944,-0.144043314891312,0.14999539768855,0.246668601671106,0.226516935745622,0.434121305946903,-0.145967179337425,0.0718905685521296,0.248408414440043,0.0891512199831437,0.24755561961697,0.0600594210345109,-0.0143326126202976,-0.249870881260587,0.266827368666899
"RR8_LVR_BSL_ISS-T_OLD_BI3",0.24377625024105,-0.024443179896609,0.343502832326396,-0.0264860193612745,0.204649048639553,0.256526382412086,0.0610790635223717,0.388123641765774,0.220303153162214,0.333943324728261,0.222316653114757,0.0354499838458132,-0.169797476859879,-0.071246195615072,0.21592186320449,0.185938304314793,0.327497279683053,-0.0101290867945798,0.190692084584831,0.275977830845545,0.272302414793975,0.0909503766018052,0.0185890484651781,0.307100828528232,-0.0337211727670897,-0.168282662021144,-0.0167132421217796,-0.0872304933819865,-0.0250725250197968,0.0545575190806372,0.293239856313548,0.270970682933362,0.432895439070334,-0.0122639605997753,0.222956092095734,0.0294231222868798,0.181581876808239,0.124257176969314,0.32253034333518,0.356953257307768,0.36549521809105,0.0113253989496991,0.10585097946841,0.411332044957589,0.0920183740816855,0.483837208474083,0.0894794637897208,0.294183221186101,0.37237320096467,0.444990808246911
"RR8_LVR_BSL_ISS-T_OLD_BI4",-0.039860444940513,0.174322400876552,0.233377506897034,-0.0727215433434532,0.0580585163946734,-0.110798813894805,0.0437728808003483,-0.161515986819399,-0.190070520700523,-0.171774501224998,0.0744341788092999,-0.231702724232967,-0.227812606774322,-0.302667376431133,0.0514208971861312,-0.103855219101192,-0.223201151199555,-0.124112961742603,0.0318029652954015,0.311343521799711,0.0368086826406966,0.149002717273418,0.11385679356427,-0.0333712790537051,0.0795305204377662,-0.357167036644045,-0.00687707506637486,-0.0800268504303662,0.152767292530091,0.224947694296285,0.0574703298349301,0.0415149458121041,0.0823096420047568,-0.275850535719144,0.131225000195273,0.0747607911144711,0.0625508221373765,0.061617785644709,-0.0620709121969807,0.349179700172291,0.275551945494502,-0.221749631004964,0.0899395291486693,0.139975831908102,-0.0506513265982133,0.0242763748908608,0.216997123053465,0.0245580834503375,0.240389935690442,0.00669933500266764
"RR8_LVR_BSL_ISS-T_OLD_BI5",0.168645730356788,0.156832215723602,0.285616067727805,-0.233287582603542,-0.0571756130341325,-0.294076949431093,-0.0930858930375542,0.310158931837779,0.0182758412807462,0.0552535410657369,0.108444319354001,-0.078519644773662,-0.0923645518866595,-0.303018227972544,-0.0207713405961294,-0.118135656050886,0.348634598478233,-0.082798136563501,0.145797204946459,0.0910409315707817,0.13870667787976,0.0172340999770825,0.0330301867023391,-0.0897907009831012,0.0331951961834291,0.051172456366567,0.0958105646482905,-0.0673327175118837,-0.108349996251581,0.00103434518107315,0.262032769155628,0.275187960981702,0.373317823290514,-0.154381376316843,-0.105592993142768,0.330698500544651,-0.10679161489852,0.147622529317298,0.328995834802293,0.185171042165401,0.300391725520451,-0.0882533699367942,-0.121965314012818,0.124472373880482,-0.141919549388405,0.283391094379926,0.0759566567895439,-0.0517376476913887,0.192520677980295,0.374067113687742
"RR8_LVR_BSL_ISS-T_OLD_BI6",0.0967178148096711,0.0129231958084119,0.181612418275018,-0.0127638824579371,-0.0889283261650269,-0.077714672924664,0.046795715525014,0.316310586301028,0.00687100074589123,0.277790759081081,0.189304981280536,-0.15096966710374,-0.0177774086531427,-0.185945924294079,-0.124764181973049,-0.0624545830680023,0.256343734618651,0.109266938881558,-0.0183652703199491,-0.100172368416928,0.150532904275122,0.0454448454648334,0.0018235853011144,-0.0610384567043188,0.00461483696576862,-0.0950138381907448,-0.0658608355746807,-0.0283970763136903,0.0678662373516173,0.19367716537897,0.182872925852644,0.13553790973883,-0.0728977921532963,-0.175475004375479,-0.416627019244043,0.0620662636878809,-0.225457402972138,0.0477708478520747,0.185441952420117,0.0221284932138212,0.329687698056463,-0.107365389447034,-0.152376647955284,0.0841844748103706,-0.126866805405564,0.0141544085821864,0.0817302111696818,0.0200013669763142,-0.162591634367007,0.397360441740801
"RR8_LVR_BSL_ISS-T_OLD_BI7",0.220870588095166,0.160030544712695,0.259513073592347,-0.269894746266052,0.0656656578498123,0.157015273080528,0.0380137902512478,0.17730553085858,-0.0605047298914851,0.0951591350228078,0.133021818836424,-0.357730506849926,-0.258257517412711,-0.128410325236066,0.0887855574221007,0.123049656369881,0.0881879269830595,-0.104229499611108,0.00936070643634107,0.410669377778093,0.185947288920941,0.280573358066752,0.130806735481311,-0.0130675524725407,0.037859747733775,0.0219205095555214,0.137742539400677,0.0377914617180123,0.204056281294685,0.299038828687036,0.106413940113339,-0.193783771996257,0.0606129072776464,0.0213243727610983,-0.169941500753149,0.0887198012297616,0.0646734686557584,0.0859840090059115,-0.0933567916784014,0.150589681339711,0.174257530942563,-0.132798138987825,0.12518104122507,0.204630310565587,0.00560374521148146,0.04410317595496,0.287382303767186,0.110827390360641,0.166560836165644,0.270020563031526
"RR8_LVR_BSL_ISS-T_OLD_BI8",0.363894539118164,-0.286306031302969,0.310508460289832,0.0776727590478428,0.294502973572274,0.319289151125025,0.0345056392085293,0.252414802312015,0.396165817570145,0.328022169577152,0.169573226311265,-0.261811853597426,-0.255303049566051,0.267268123795872,0.307975364573203,0.275798025632444,0.319586550706007,-0.0458636061264467,0.353874876941867,0.406038829789675,0.293478411379925,0.4120701318782,0.139456771653611,-0.0725187681608074,-0.0661477888942038,0.0241614614077548,-0.0111239117614509,0.190058322575451,0.171203244017405,0.188420986047001,0.271876240152548,-0.0625990209092601,0.164753814873848,0.578696646544819,0.133033621859567,-0.0462957918303207,0.184248767145947,-0.00587526517515807,0.283063003298648,0.243759684219897,0.0662114175946707,0.226903101714287,0.0054723422098803,0.143855012053618,0.0400879722076735,0.16227741470412,0.248500583241736,0.300864581440842,0.356970411546063,0.468699386356989
"RR8_LVR_BSL_ISS-T_OLD_BI9",0.12643180644483,-0.0330876843650151,0.270436984654884,0.0982742344687716,0.113123676920856,-0.12862160340822,0.0930908366676213,0.141434056163083,0.265865438301008,0.0614446205072918,0.167742966777218,-0.210322329540581,0.134925488335983,0.0487564917573219,0.172399266428231,0.15182896587302,0.139144488776057,0.335685690166334,0.0352805402514287,0.172716727277377,0.168313350778394,0.309473604998412,0.117095942873922,-0.272875805650429,0.00246267886307958,-0.162603706824536,-0.00379733462056275,0.0959555843367474,0.19081001528887,0.352376012677189,0.319601553603713,0.0577940265160131,0.322788412585831,-0.100357279979461,-0.228378454594094,-0.226865973842525,0.0153485844086899,0.0665169226456766,0.210551291041321,0.2465205290273,0.292028105945551,-0.121331512992528,0.130289582808523,0.0722467563796612,-0.0611540358771642,0.204092178040234,0.297284842974761,0.126881153402924,0.204421622571649,0.326019237400218
"RR8_LVR_BSL_ISS-T_YNG_BI11",-0.183891646572308,0.463122284517538,0.101426854581448,0.194577557190943,0.254489275148954,0.276584400223552,0.231634221507731,0.0287666437006866,0.0786718635710365,0.102093008182754,0.271304755550879,-0.136461629492536,0.060233625694779,-0.0160232498506682,0.279819458065713,0.232339366262416,-0.225337792931405,0.319539586127571,0.06889239490079,0.314145561453451,0.0615787192286706,0.0907794433112204,0.303775509207209,0.463604999967251,0.422840648288897,0.644249470307974,0.629454497697054,0.100496787517787,0.129092147035785,0.424659171071706,0.157182845493543,-0.179884225944878,0.290526760869322,-0.0488438843031162,0.112467660427761,-0.458998446607609,0.138555062683087,0.0638481615429326,-0.0888374095205755,0.365661711104355,-0.226488679258608,0.155189023600205,-0.0419336599227201,0.07983657895196,0.34432367993512,0.284586324493979,0.089569641657694,0.205845598197375,0.395579548289936,0.166626285124511
