"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"Mmus_C57-6J_FSKN_FLT_1G_JC_Rep1_F5",-0.433188889333905,-0.479626236777246,-0.192493594932205,-0.366821688061093,-0.0837341102337908,-0.108374086834849,-0.153924157091971,-0.223998103219646,-0.150049298101989,-0.362540208852708,-0.386654121242655,0.24197495704136,0.546682889597299,-0.333577497819061,-0.00809957402007214,-0.0179610856998555,-0.348972647472433,0.548376341708344,-0.0766868701211795,0.137610120580184,-0.130299249321264,-0.241697094156752,-0.349401465192865,-0.427330052026062,-0.426285090814647,-0.537946014786249,-0.540079315467176,0.0457579631278548,-0.392652467510525,0.386781225549716,0.0144563670772973,0.506449622937304,0.516706387660084,-0.213669391444268,0.35929832986549,-0.218860771305165,0.154582477356197,-0.128471931511921,-0.320091509200073,-0.0810661247058617,-0.280896232145682,-0.280720948734703,0.123705656668789,0.19190246439364,-0.189300481416497,0.16531356216375,-0.229697154216414,-0.0889730368819991,0.509717933505234,-0.297868666711562
"Mmus_C57-6J_FSKN_FLT_1G_JC_Rep2_F6",0.442010897748158,0.389623593001529,-0.205474932901458,-0.110532874822177,0.0611341419023432,-0.0666852082815051,-0.0479304197675033,-0.0534992917159139,-0.431000211818022,-0.174272977814338,0.0763885199347702,-0.0262482518539756,-0.228236621659878,-0.200538599809425,-0.105050165711267,-0.138548143937615,0.316561632379051,-0.24605197366374,0.0497067307988176,-0.0423750876266832,-0.00414941353330064,-0.0775094690416849,0.022203785315967,0.133436823662911,0.0758940551673773,0.397299228477868,0.332390459612334,0.0464648032685335,0.0202204103910777,-0.195033628700536,-0.0567686186564273,0.0151387825968078,0.180562815082215,0.464403190363402,0.0725174699064377,0.60724466753677,-0.182852761657211,0.0784150183611107,-0.054201555155573,0.112500199716426,-0.448859617084349,0.145784675822696,0.0223897960771534,-0.0956681132623759,0.0459874515200518,-0.151394547204406,-0.155180225268549,0.049572025916332,0.0830455003063259,0.0286900980968333
"Mmus_C57-6J_FSKN_FLT_1G_JC_Rep3_F12",-0.453223339772695,-0.380742714505413,-0.0319594669940073,-0.271670726514261,0.00173339024232036,-0.157647318250713,-0.0968165760992706,-0.297919102135077,-0.0671946821535927,-0.193334672357746,-0.311100831439952,0.313760413607245,0.687076887171314,-0.0586103316703699,-0.0524784815697907,-0.0465543820685435,-0.352113179400476,0.616211571631375,0.0390464393819322,0.191771741342549,-0.136701368279864,-0.305225646136953,-0.195652119219489,-0.395152172898935,-0.310841394355902,-0.50598648240701,-0.478820933155864,-0.195711472443475,-0.327129500639596,0.367777012472433,0.175915336395389,0.616442745279858,0.490622385665159,-0.424961877678958,0.219046678225465,-0.235965607406987,-0.00112333816643095,0.0449938587925099,-0.32086677887111,-0.0588819458257393,0.0884533968893147,-0.345518469406337,0.126748062034842,0.149387772563187,-0.396524594777918,0.315619107308768,-0.218519311118751,-0.276151631562975,0.292621576320043,-0.311160791368373
"Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep1_F4",0.309119245200312,-0.175511568686871,0.055389169922007,-0.395705417968747,-0.259109551504064,-0.282523046519068,-0.246746015679479,-0.0973948438151658,-0.407606426853926,-0.308694268453128,-0.226311661798911,0.305425696599467,0.273688938887519,-0.365589074880915,-0.214040256981008,-0.211966647290322,0.246814596680934,0.187103018866095,0.0910848575957667,-0.370439781654695,0.196470377667754,-0.0134848682447647,-0.200460725424939,-0.346446058918511,-0.243815346038548,-0.372051418387588,-0.337220419105747,-0.179986004371569,-0.202285351816153,-0.149337364581821,0.271591184249456,0.59189083693681,0.544017381990592,0.473341782459507,-0.00612040939882194,0.717022837537844,-0.0776077749786756,0.215944099796888,-0.0405336280832866,0.14505641754937,0.251693653649348,0.24301381367219,0.107123004818724,0.204987128671497,-0.0569214365841598,0.332773344758331,-0.227218839934026,0.0444516546066727,-0.303123414470168,-0.0547295260418394
"Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep2_F10",-0.351743266632043,0.286106095627826,-0.11808108174425,-0.215771774826791,-0.0102473086847959,-0.151831367608405,-0.041128179106799,-0.341274714251603,-0.222773082653774,-0.0968336651495492,-0.0336561323046883,0.297800578618122,0.568347501334237,-0.1271031262389,-0.200153462933219,-0.107640908089094,-0.330810872175768,0.458594940229177,0.14875760346443,-0.108633788024477,-0.154820718459949,-0.216959066894361,-0.0633247539345948,-0.0944257768544239,-0.113113333763951,-0.257545266417987,-0.183319093499473,-0.178361453471388,-0.0868042262862842,0.134835507623443,0.277611619888136,0.577353862945086,0.36427767456777,-0.217193501283768,0.267829212206473,0.136155175482073,0.00956468851476858,0.240978405198633,-0.358221395833785,-0.0630012467821832,-0.0868530076131805,0.0241678850001991,0.082829150152406,0.0193050870638945,-0.186418396759567,0.366937446321405,-0.263796013974789,-0.0519589331891661,0.0270620242228816,-0.120325401296935
"Mmus_C57-6J_FSKN_FLT_1G_JCwFOS_Rep3_F11",-0.247385652936071,-0.380448676197414,-0.0664335230619659,-0.345098190507728,-0.103947812361002,-0.170417056228886,-0.148169588858416,-0.208715451975543,-0.00202265911962166,-0.396179207582651,-0.30111215360054,0.42891848076665,0.664204940002739,-0.376746088183616,-0.0929589760192494,-0.0300665894444852,-0.243505982694243,0.574193119394053,0.168582398884208,0.0944906755835946,-0.0671241041533318,-0.260233946668982,-0.275796000951576,-0.389183838806417,-0.415499160781523,-0.287655534675093,-0.312512836950683,-0.215523518461376,-0.33191348610695,0.310177741934821,0.355755243684404,0.685346598786051,0.727411567228321,-0.207153620240509,0.386041852904331,0.151628137451237,0.128067168325309,-0.125737070946976,-0.249500569430121,0.12837941455755,-0.0122426195919986,0.0306827725287474,0.111908859669964,0.203237829732103,-0.260803782840554,0.477540513426332,-0.373645279313266,-0.0173230956126668,0.505295711292642,-0.154410839012566
"Mmus_C57-6J_FSKN_FLT_uG_JC_Rep1_F2",-0.401088810549106,-0.310878846215594,0.0741272541714746,-0.296735992303486,0.00473907743815941,0.0877383076872405,0.0434879005244942,-0.0618606730288687,-0.0618923889691524,-0.0241094860983133,-0.122611677906842,0.0855421516910108,0.0422499201063966,-0.154650930597703,0.195811327105718,0.111784814421328,-0.301722772871588,0.033115514962396,-0.0461959383834445,0.0664132586250744,-0.0684234955796155,-0.0369344507235065,0.000277383320216512,-0.0994714150002759,-0.0969069651914195,-0.280342528179807,-0.289217042487553,-0.00982522150610848,-0.151563329108863,0.0964997060691488,-0.0290122429467058,0.319150448988369,0.203496127126679,-0.283567355146972,0.448651515035385,-0.275019199493368,0.273918660566794,-0.170131087749724,-0.286719558872164,0.0365958087432736,0.108766716658203,-0.15042970681021,-0.165077202659968,0.434962897648512,0.131599822375985,0.0307601928220363,-0.0739330925325228,0.0995165274127886,0.27154290715712,-0.140109809561523
"Mmus_C57-6J_FSKN_FLT_uG_JC_Rep2_F9",0.116889097627008,0.588830897051718,-0.258459718553943,-0.228957148325025,0.0394356447469351,-0.124350950080948,0.103544952030518,0.124654175626235,-0.0842415670354917,0.136097496026115,0.360574450462691,-0.258631466909057,-0.506653615483058,-0.227431254643979,-0.233023527276902,-0.140818232307081,0.194449339596854,-0.484286204222277,-0.261616097266974,-0.158858841411651,-0.243466585795061,-0.0367901290443923,0.262068225682011,0.501842058845525,0.442929039695118,0.681360569645175,0.608429819553654,-0.0338151804387932,0.272108340054287,-0.227868093734996,-0.251080086612096,-0.554299660853809,-0.56214176091731,0.0587454345825196,-0.326912857051407,-0.185967023700524,-0.357509950976621,0.0681417244106252,0.113576462771829,0.0229769696636531,-0.327494416517797,0.00295872430824601,-0.0958501000572957,-0.370667133001803,0.107808788589892,-0.337586489651192,-0.0229701156380001,-0.0876382381284265,-0.357347783001383,0.0408243348892634
"Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep1_F1",0.403644176417226,0.366831115537635,0.12993573394865,-0.0412419930065261,-0.0555462664932813,-0.202197827321759,0.143175822844239,0.225376908086296,-0.181923508356875,0.0135722194034267,0.15367948471444,-0.21817211881497,-0.510669693594824,-0.140690214002609,-0.12529937196993,-0.145306551056413,0.420485658996195,-0.513664486141145,-0.0670754802789002,0.0882575971316864,0.0209050287167206,0.107808582127464,0.277250494733006,0.378358176561307,0.308805039692932,0.413656236073649,0.362830035606468,-0.118163553360175,0.268738531663976,-0.248806090307435,-0.145101008858337,-0.351426117144025,-0.39638268291243,0.373831312840798,-0.387212415810319,0.502500159144361,-0.202222018486232,0.0878363485010912,0.119068423278008,0.0195334262484751,-0.0957681582143504,0.269068668755922,-0.088651859186831,-0.15982732441814,0.24397005992846,-0.0393167616218538,0.26590124591397,0.0729840719770467,-0.444020951199537,0.239193177605853
"Mmus_C57-6J_FSKN_FLT_uG_JCwFOS_Rep2_F7",-0.213332515133536,0.301689430362007,-0.103302820493281,-0.0552196696701583,0.069520802899114,0.15019632963713,0.0178899334722723,0.0438016518949548,0.121507602865052,-0.077518273986692,-0.0803806222857179,-0.164524822293018,-0.59046839124,-0.0671687399747365,0.107715403231648,0.0791195026530491,0.0163286145530564,-0.538198863773232,-0.184081700952716,-0.0794474770137112,-0.255723552428549,0.114375648238292,0.270619676615244,0.420118405761093,0.365558463233481,0.456633213549496,0.43230218835054,0.0279432324093565,0.0494204535129272,-0.272799462706753,-0.332955640690588,-0.506875628502407,-0.14493626193333,-0.0744237121456889,-0.0828496836042923,-0.433797191083442,-0.0860093764262119,-0.307345538783954,0.0759403484209188,-0.0824384438243315,-0.0796610583393298,-0.190791084070229,-0.194048317868445,-0.356973672361764,0.314016777364653,-0.0633703694669829,0.120568109101546,0.0702562706908392,-0.174120151438974,-0.0683492604246063
