"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"Mmus_C57-6T_DSKN_BSL_LAR_Rep1_B1",-0.503793640345509,-0.311976044446629,-0.105556599284276,-0.14295047143504,-0.102677628473928,0.0495927039139509,-0.149133142655038,-0.283626227943227,-0.117776291624649,-0.0601823680190292,-0.187828776301782,0.217715859689794,0.594983733415758,-0.109697450326665,-0.160172294024228,-0.179626937336717,-0.446471397015565,0.573787890507655,-0.0942157063761201,0.219154845205415,-0.150352907645005,-0.371168772754889,-0.248110371491059,-0.414233473461193,-0.27099526848755,-0.539969121949062,-0.508677834887108,-0.0910442048924713,-0.122031451548497,0.31551067772683,0.12386038741471,0.517452446927981,0.475354212696141,-0.52454704429204,0.328127190093603,-0.553967581231946,-0.00113260302276735,0.162181773038497,-0.373947447222249,-0.095729160371463,0.0078967150293859,-0.140259141888503,0.0458533219963989,0.133184035584748,-0.408718356950275,0.250851756710085,-0.10160523809764,-0.122652307837794,0.359324925917151,-0.240203709436996
"Mmus_C57-6T_DSKN_BSL_LAR_Rep2_B2",0.163809122683474,0.534995571780321,0.290592234623973,0.283632085696427,0.0851902179795103,0.213817101307327,0.305264208247206,-0.00320477785800918,0.399986018020334,0.490932531578593,0.420971533867834,-0.0942964439908028,-0.140058607984344,0.516315885434315,0.0509188922717926,0.0990183449198442,0.230662088243366,-0.150750015079989,0.224529433369601,-0.200317314245069,0.087186070894331,0.360254793957579,0.349884684317369,0.53852034719557,0.529194124048107,0.495234630374923,0.532396119971616,-0.00311368881685475,0.381078159705796,-0.0967237915286875,0.369171742458547,-0.0288887985232206,-0.231517791081004,0.0553654176824328,-0.453973738839842,-0.132750524948037,0.051135736903162,0.300115129413163,0.224777090839466,0.171316245621667,0.443789863280371,0.223083153955905,-0.0652390102129591,0.0667726214488691,0.44500229036,0.128153640097161,0.160512959349618,0.222945474041843,-0.429508642794785,0.317841854660971
"Mmus_C57-6T_DSKN_BSL_LAR_Rep3_B3",-0.0876620029824065,0.498041239759025,0.0539635469488053,0.317350258194629,-0.0451019692788334,-0.24740793433763,0.192729639593892,0.0576547237181438,0.145974996547218,0.485294473442536,0.410206033007536,-0.0787535494008505,-0.389902979582622,0.38109083362917,-0.243627430011047,-0.144781150855983,0.212808698887429,-0.389688626347007,0.0940805773341015,-0.3515670256889,0.00779805568738814,0.072805729407874,0.197480974329764,0.527945292924608,0.501720054255934,0.681180670386762,0.566095712653891,-0.243834953437815,0.316078364739155,-0.18448914559951,0.14046819647811,-0.288852567646018,-0.369059902907482,-0.110901727716361,-0.478544672207084,-0.0277790277626714,-0.177273478841317,0.236363624066901,0.128016448504279,0.114079439416107,0.4686971839265,0.384249304103891,-0.0910377907328486,-0.220971558516209,0.129678852712429,0.0229539393195266,0.112108890330594,0.106224749027206,-0.526923870810847,0.229747344152133
"Mmus_C57-6T_DSKN_BSL_LAR_Rep4_B4",0.0185331735254086,0.423139460037623,0.0356981369335181,0.32504476294528,-0.014698486545245,-0.0316703498961989,0.0695769648200361,0.0287175036437906,-0.323999580015603,0.208939405172662,0.253842675404003,-0.213027415184102,0.0444403283590597,0.367836992911006,-0.239463967660646,-0.139051515106887,0.112455032867386,0.00659565857656218,0.0872763168533004,0.030672930106654,0.0323774896568939,0.0803416468287207,0.171849685212237,0.28443711243,0.31443767767832,0.416463232199794,0.321124146021227,0.0248817352438341,0.228451831040535,-0.0349870756283527,0.0519836134204375,-0.0670549115436244,-0.398762646701013,0.224232747691226,-0.259201973993877,0.193365363609533,-0.316278260150847,0.345624060144967,-0.0970231357955271,0.0977690933464224,0.259055596750361,-0.0730763076974325,0.119955397043396,-0.241407148218497,-0.175108157814355,-0.116949042114114,0.14203592914912,-0.0719826118416085,-0.388379031855758,0.166156407081339
"Mmus_C57-6T_DSKN_BSL_LAR_Rep5_B5",0.167969841680089,0.150853443317114,0.156106366848653,0.121968218563738,-0.0366471278991061,-0.20306372741243,0.0380093500928113,0.243408094199636,-0.221833729499591,0.47717446068865,0.270153319751558,-0.157224132341925,-0.339968430702972,0.324640041924422,-0.0443963842678983,0.00165770231730172,0.367748411465024,-0.353827981008499,-0.0262848902231938,-0.218433503315818,0.188237526270076,0.0603859693166663,0.0598070778266068,0.139065859958962,0.23035965367134,0.485946184952586,0.397493565390768,0.0160291393363129,0.200118721655069,-0.177368855439602,0.000992792674006232,-0.164358020721238,-0.337588724875416,0.311771393715643,-0.411094848059531,0.391810045847304,-0.205709609607639,0.285768678144989,0.275557535139478,0.0203344948076235,0.430063443571087,0.204363244398606,-0.0172190727091284,-0.396235288586518,-0.13262059777631,-0.159756020101689,0.142369755944589,-0.0624847099517951,-0.432835865893155,0.319225837021775
"Mmus_C57-6T_DSKN_BSL_LAR_Rep6_B6",-0.115175959831572,0.510724470972492,0.0719050292565517,0.273403894993065,0.0825691758095608,0.14579815336829,0.141689892190655,-0.0889280002138586,0.106561509010712,0.368231680477197,0.421131407435789,-0.0946689825425293,0.243693748113472,0.396086936892133,-0.134085439316809,-0.112910025540399,0.074747279008818,0.119290143143827,0.0136809982046356,-0.114009185404176,-0.0549671733184595,-0.00743922597212499,0.216234553741241,0.446102260905182,0.527168127668971,0.536201286920639,0.491886380295871,-0.0847666182635217,0.353881745901778,-0.141787173868487,0.287929801685826,0.152898096691062,-0.251591594421165,0.0818761873217917,-0.447582598226226,0.141659818041212,-0.228294576807471,0.216319010857781,0.0355378408772969,0.167557788030107,0.368515203619949,0.191614350053269,0.074089316735736,-0.271054473043386,0.144757357958358,-0.0214501644080155,0.129920333968571,0.129861793529115,-0.406115390796072,0.0719568702116876
"Mmus_C57-6T_DSKN_BSL_LAR_Rep7_B7",-0.212088733617033,0.416865456182424,0.0645641530102859,0.314018269617754,0.20025585270787,0.204611401356144,0.203209688846034,0.0104118936151221,0.0435146645274209,0.408452745225212,0.346849276725894,-0.271460720946456,-0.597483912741888,0.4148752939918,0.00807899595470753,0.0736031349277043,0.0108754227719084,-0.572769554895128,0.134184707355843,-0.256098006990577,0.11464965237339,0.272715248306173,0.306768799920942,0.365093809844025,0.4577348467745,0.590232661175143,0.507733557632799,0.0644794845005925,0.303435243968378,-0.310529490513559,-0.0520408112293128,-0.464024090530451,-0.470280793769384,0.230607221744592,0.0998225549075705,-0.130495289610858,0.207587062747118,0.407629614314536,0.00718586585864327,0.184299453705376,0.178410948534967,0.286730253999041,-0.19347530647957,0.125572854724002,0.285775242588828,-0.125250378690696,0.0358622908208678,0.187783056911503,-0.378226144853589,0.0977187144445308
"Mmus_C57-6T_DSKN_BSL_LAR_Rep8_B8",0.261556211743398,0.409674674859313,-0.0762563473487698,0.354472339870575,-0.0297680603232116,-0.176011643836285,-0.0339877414766901,0.0314727505978859,-0.512777454276111,0.253440793821642,0.262782136750448,-0.109421879826752,-0.238285539007435,0.389739242014466,-0.259562213574412,-0.246571581531887,0.202941946093583,-0.269317796302833,0.102905137826364,-0.134258636840748,-0.0595576316831789,0.0119752133108471,0.0912655580233178,0.261959861204128,0.35510008822072,0.477687365670938,0.386370033850541,-0.0367660287630815,0.274017719477333,-0.233253873584041,-0.0196988729300483,-0.126222427182809,-0.152718595252435,0.357770448725356,-0.356991018144877,0.561142993340766,-0.364020296775311,0.141829272371495,-0.147116037886065,-0.0225196713999689,0.195225890848218,0.0934063301760328,-0.0409312508498567,-0.404587870975386,-0.198051897460871,-0.223323531970833,0.163648580930524,0.0197097430686975,-0.395106527359052,0.077650797287345
"Mmus_C57-6T_DSKN_BSL_LAR_Rep9_B9",0.0629192098075803,0.25169284415317,-0.30593497516436,0.151416183265475,0.274784411990309,0.195279118217903,-0.0234320603442011,-0.0572870195171655,-0.177863891659367,0.139116339276424,0.0417559644669295,-0.00910393149364994,-0.439569599342335,0.279308894004715,0.222221507477926,0.197766588496953,-0.079095839390694,-0.431883634707179,0.0774860068933582,0.0246237474494081,0.0789717426175202,0.279388246456919,0.164770263373886,0.253029303810882,0.231448962851195,0.433816116922268,0.347609855228484,0.234613550965595,-0.0489425479379684,-0.171704758980919,-0.355292563222835,-0.513031548423259,-0.103913206692105,0.543649731316143,0.0285501575406247,0.138510709720054,0.179839675296709,-0.169142388417666,0.105072513086736,-0.0583894653124359,-0.470632203923552,0.147205798896148,-0.151201738774673,-0.20550261549013,0.168570982724584,-0.350242274187631,-0.0631532952079843,0.124714577621299,0.10071433601347,0.0425065699558269
"Mmus_C57-6T_DSKN_BSL_LAR_Rep10_B10",0.352030539817986,0.285776329826519,-0.185252534721105,0.0861366183973422,0.252133464243226,0.0562981196867147,0.0764036677895678,0.111327843721406,0.215616795544748,0.304432536164144,0.190515862827978,-0.0664167682776279,-0.508322623110831,0.37374797576665,0.181629915465538,0.187877759225467,0.213479856653496,-0.491807542609643,0.253698549857264,0.0786014156166279,0.135445561591779,0.421497194371612,0.25873984750981,0.316940420403541,0.321830394697252,0.469993823861628,0.387288437190571,0.242693264672947,0.209369298050139,-0.204076736625984,-0.079258284342297,-0.491754440883572,-0.0226997022379921,0.577213275244279,-0.143974166969866,0.350234138037468,0.177132954607915,-0.000306925992968748,0.118980416047278,-0.0225394280674213,-0.419098836219766,0.231023789910327,-0.173702794332568,-0.31504928647863,0.220039438775093,-0.265786902494891,-0.00363329460936507,0.146033772059702,-0.109170494014825,0.261379611559704
