"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_CHAPERONES","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1",0.0632547279156518,0.230149959813977,-0.0135440954753105,0.501216140382848,-0.257768165233986,-0.244162040686842,-0.188991887305457,-0.0774584142469621,-0.0504926042363087,0.377743766336654,0.202284779650642,0.204684776239986,0.41682343666014,0.219665142346001,0.33399275141183,0.428294651284265,0.138682504430472,-0.106302267510942,0.346555240826053,0.0459247140130478,0.440597597429312,0.194521434705354,0.0735273694645927,0.22533347858092,0.160110796432709,0.167266983143765,0.267054099058754,-0.0359037217933166,-0.185535047866505,0.0486524670310215,0.251104902440933,0.293208358776337,0.329922240528413,0.0173589671155425
"Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep2",0.049594106618501,0.078850604802103,0.169060240386264,-0.0718099231420464,0.0436802250559939,0.429676372396859,-0.396070676605436,0.100090488737708,-0.0635623553398036,-0.0231688772332135,0.205682405939658,0.159391781185169,0.224304079029638,0.382564533643315,0.231129045892244,0.146203412904449,0.0729035930429502,-0.0317668474602151,0.0686703883265409,0.0393294322165608,0.23530414285945,0.0136495874891555,0.371095272408402,0.109528044449837,0.341326577152674,0.0133759278533334,0.26048766201419,0.112578191661728,-0.17390083232954,0.0670775452564036,0.0927764944353132,0.176216057592502,0.079924452124356,0.35697287360057
"Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep3",0.160743864503982,0.309344035361485,0.352562746970374,0.12215602250887,0.0416598658266514,-0.0453738462301768,-0.281017035609587,0.03081429134862,0.219643699064035,0.0458642527447091,0.0487515843963938,0.170909704311632,0.00152963296966685,0.368472109510006,0.0553271446390295,0.233104728818217,-0.197684698446232,0.106344274401731,-0.0380289356322548,0.211837420197472,0.208605915297848,0.557600822192014,0.0722066274843894,0.36310033249234,0.216197030593618,0.197375125858505,0.0243088614636187,0.371814535432367,-0.327496545258309,0.331369098233257,0.00620411895082247,0.0828024009261694,0.243009763939251,0.307684953904745
"Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1",-0.160254647700423,-0.210539789920337,-0.20214211381365,-0.443558237526115,-0.312377277324318,-0.392135108207187,0.0263763084067722,0.0762769598244847,0.331907662445752,-0.545325297669021,-0.372876996810055,0.00499900956166194,-0.302430655335981,0.0787218698197437,-0.382385701159383,-0.38107146815637,-0.471320896730989,-0.14861282066514,-0.449640361404397,-0.444532173709319,-0.219606324302176,-0.353835271733168,0.0711046969778572,-0.00689316296609024,-0.0160148631874406,-0.509183761690916,-0.562080407865255,-0.49226338145789,-0.517509154913592,-0.438487892655856,-0.530258494260294,-0.142542946934736,0.0974269462027245,0.217355052217351
"Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2",-0.0613192242312521,0.584745120304293,-0.0592419976845055,-0.292421216585343,-0.210883346714158,-0.231271883579777,-0.194254827818983,-0.0920060066228892,-0.328624783731969,0.24700311385067,0.282789544866093,0.209326508460616,0.322746833764968,-0.0211920148075941,-0.343750296553536,-0.526577099123138,-0.243223640490331,0.0899106416655574,0.235676377346691,-0.330797368872217,-0.122153852925424,-0.26658003798828,0.0548500576603728,-0.154943237180413,-0.448308011071883,0.472021117490879,0.541420181332246,0.101021691173322,0.473952144901313,0.28229561520066,0.488595264906808,0.299535179179928,-0.339194121053704,-0.31171174800451
"Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3",-0.0257031039518989,0.535766074706193,-0.048734671764818,0.16153997704386,-0.123027275438414,0.250349804755463,-0.0978763612500637,0.0841008421443324,-0.0585388829046908,-0.333832418771507,-0.183563917580519,-0.202968275259017,0.0791919247344713,0.12984715807953,0.0701953946413948,-0.359009520448115,-0.415151237127971,-0.319940045281432,0.165746375383292,-0.181968427281522,-0.239815317572252,-0.180044478625699,0.151550330650217,0.341774960889347,-0.127041719695828,0.135382008616352,0.437127425292552,-0.0911905755442202,0.664790404061711,0.022878940726941,0.506820122825868,0.0196610544971399,0.164902612167355,-0.0318666370127155
"Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1",0.37042785943789,0.0360595466093706,0.560715719053006,0.507773362150812,0.412731238245851,0.0711372717815979,0.0765595977062805,0.295018627928617,0.0929454308927496,0.36988557663563,0.517931442771027,-0.0872659666348473,0.299201792844314,-0.00210878181405705,0.53732792104991,0.290477687717779,0.321623341384666,-0.00937883776208528,0.555792821793033,0.224930417269121,0.249583470689949,0.0585671574293579,0.26129616673942,0.367587333982725,-0.142061612619292,0.251934620699565,0.654365662515527,0.432032902099282,0.52783629624539,0.377956974608708,0.599480862078796,0.524545108616621,0.436371421945086,0.0488888435586274
"Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2",0.0611498718023686,-0.334979214690885,0.0386786786140063,0.308314547791123,0.275900589660385,-0.0124707547494875,0.0247396159415109,-0.0849291183644044,0.229517970689759,-0.0404879511897055,0.302816608831072,0.0905808439982806,0.23931143326301,-0.304139745017767,0.196223156205408,0.280315877412096,0.406825725053911,0.274417348868455,0.236510671822692,0.178371718640921,0.27747433545699,0.421278171702555,0.0790447133374056,0.0590225841862802,0.330916913681696,0.452869293244725,0.389512192377032,0.362070367516668,0.350352298140913,0.324608674652284,0.371360797772872,0.0633782956416607,0.26394115536317,0.0719615871776291
"Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3",0.143220602148528,-0.172799162056679,-0.179394348411102,0.158003346998198,-0.0312135424630893,-0.400116834370976,-0.273285965511279,-0.256923448703094,-0.372450457986801,0.316959016756674,0.20754315390955,0.203413190322555,0.289792515587809,-0.0967204994607048,0.194413957627589,0.165704859651406,0.483644616986444,0.232228359572373,0.137156159531908,0.343637049299161,0.299642403998251,0.179552503323027,-0.0871879619699432,-0.120627356339249,0.528457781069857,-0.10585030655608,0.35309681970039,-0.256381047462057,0.00886404988900211,-0.175688740542546,0.224528215203334,-0.168045149018708,0.0170553721849987,0.00912960643546296
"Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1",-0.0765821899160393,-0.517107052425426,-0.487714640812531,-0.577698450467212,-0.323373288462243,-0.0673310078755575,0.0535012944914461,-0.232354271131891,-0.0788801567241987,-0.320479635858742,-0.503508119070932,-0.193793652983911,-0.436183556930335,-0.417396740913929,-0.542770100373804,-0.507801240337629,-0.494824591010383,-0.388533004019822,-0.579675885487598,-0.449117736179157,-0.567714599006004,-0.325172024421132,-0.220027176288424,-0.316708832674655,-0.338580203704647,-0.455024902106421,-0.694629263803741,-0.467236698977518,-0.620199751895578,-0.41784523138689,-0.66852848604526,-0.490947842331819,-0.45289879824502,-0.225498061085321
