"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_CHAPERONES","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"RR9_TMS_FLT_F1",0.0112045695278703,0.193815113054263,0.22283502052293,-0.297281813450974,-0.0256884193087725,0.0866605833445851,0.0981738672447404,-0.145263199515406,-0.427563330707149,-0.303018623408397,0.0434957870082909,-0.355131329615363,0.179633893515358,-0.278446624586088,0.0282619847390611,-0.413388767031295,-0.200055287029951,-0.509624325334867,-0.291109226926859,-0.0809790665711342,-0.0674945621761413,-0.297540006211165,-0.282595663665448,-0.0926159461493619,-0.375670700792144,-0.139591883264951,-0.317955837649857,-0.198155107618741,-0.322723606040153,-0.160075360214318,-0.44545629025184,0.093748780342839,0.178271916995883
"RR9_TMS_FLT_F6",-0.404498280558807,-0.399027587914001,-0.572558615680249,-0.291071099262927,-0.289542732717882,-0.329746355933735,-0.497085272711744,-0.344561229333538,-0.407895081014728,-0.613910724443377,-0.20517039746928,-0.424999183441472,0.129155472544434,0.00318985277293329,-0.249929421204939,0.0920958169687564,0.0385965374700731,-0.271738589782019,0.21934190092268,-0.410889330450377,-0.0947128332128522,-0.128081878060813,-0.306046736781476,0.349476764105905,-0.332101379247628,-0.514198309905304,-0.20797228719175,-0.540244930357864,-0.355930222456688,-0.5166844526136,-0.537234316866223,-0.189834587636736,-0.231835437691367
"RR9_TMS_FLT_F7",0.0922449683794644,0.307978700586881,0.241183330503551,-0.0274386996962474,0.0717735758328329,0.207763281030575,0.411289335808907,0.0919862379537759,0.0460756022943243,0.0196098771878521,0.173181277783903,0.0553358052530337,-0.268685660149463,-0.0185471373395532,-0.0461542223943084,0.154015758544398,-0.223067436710411,0.0907954716424294,-0.0744099206165882,-0.23647340297822,-0.361714424355403,-0.323054841175997,-0.0539401745386177,-0.0165045446130551,-0.182081761319503,0.334499520949781,0.0410039406014432,0.350812518225299,-0.0635502026025045,0.350619342861542,0.151040042960361,-0.206999961150825,0.305103981220555
"RR9_TMS_FLT_F3",0.693837347468799,0.723704332435483,0.829117164916009,0.66799712002411,0.484213526561137,0.605162361334813,0.688418739055154,0.233613208323735,0.673646530077683,0.690651148290225,0.297435173772189,0.525804214129577,0.00847690277492461,-0.296724724023182,-0.0516678198430925,-0.0927050347731141,0.384821877077225,0.56275155018906,0.151164862391465,-0.0664046927501407,0.589039728276185,0.292943679414747,0.239550784137301,0.105788940377177,0.529824040357206,0.865585185585301,0.278229869265383,0.885487009587542,0.439708117401551,0.851799083740185,0.662611098997354,0.16837193059253,0.406746965861979
"RR9_TMS_FLT_F5",0.489015049920525,0.416150992950386,0.542458849467936,0.118540847709382,0.0174474533372658,0.280275601261354,0.493821725533529,0.205428222157279,0.245909138885133,0.405575750378387,0.118470611107039,0.0752902873149917,-0.255392861175746,0.163591628679644,-0.0430170913307828,0.19727447708213,0.0313353290645096,0.0826992600852793,0.370064388823981,0.135679975142989,0.333514440555811,0.153520962853111,-0.312244522396417,0.365818243101279,0.0506942935061372,0.552162659009693,-0.123675836844697,0.419461003443779,0.0714336191494868,0.511409791509737,0.197013405734151,0.0859718428276785,0.0756101629553743
"RR9_TMS_FLT_F2",-0.464176349252943,0.0337240789030863,-0.537258636210912,-0.464293245560047,-0.318416296797987,-0.429535938502285,-0.0366501099280091,-0.143405467058366,-0.40823654770578,-0.515399294820515,-0.00222194155232144,-0.198327603018859,-0.0976186323427494,0.219712033321925,-0.00833819500143715,0.241974275743762,0.198303308846408,-0.592908323640842,0.316620991261906,-0.299514137000754,-0.412148081454245,0.0410485685949613,-0.280521822151818,0.308930047544629,-0.135121988690051,-0.58948340666706,-0.431783698703327,-0.483500918836598,-0.370827935433667,-0.531112623073588,-0.621487853304054,0.0764446225467464,-0.0810192434384292
"RR9_TMS_FLT_F8",-0.101777824596065,-0.063739726101794,-0.233899965088324,0.110495824909351,0.15078931952024,-0.100699455951211,0.296907228504341,0.0796506732015255,-0.149015803911672,-0.0664056404440044,-0.500408852687047,-0.342980560075985,-0.145422938756259,-0.252085095090554,0.00855479801636613,-0.138038275470472,-0.28634377206628,-0.244234792716212,0.0758540031476866,-0.480599884977427,0.293842760513226,0.193933192770682,-0.420419487831166,-0.273525066208604,0.0763527130212514,-0.214213288136501,0.177915194309597,0.0934350709145523,-0.0309427039897452,-0.0356617083662679,0.213342486943373,-0.0438428490551253,0.250282850451072
"RR9_TMS_FLT_F4",0.246792866854034,-0.0302312645093824,0.405589813283343,0.130844859403042,0.282297415628285,0.361828055294759,0.272217683552055,0.0243226280929964,0.476604285625389,0.510904279270726,0.35359647032871,0.0172223105339446,-0.0283452639281451,-0.475714390416685,-0.392464915575433,-0.180022954665874,0.496351239311859,-0.00561939750202164,-0.234645361147434,-0.0676605902617826,-0.1565164836866,0.214066832862756,0.226205929410884,0.148203034213421,0.072234752376476,0.471352508143448,-0.0827980682665271,0.496135299010535,0.0546078142254658,0.507787091340987,0.244814896617412,-0.0774827434923828,0.20699798571392
"RR9_TMS_FLT_F10",0.415865457096505,0.449535373145554,0.321598328783011,0.477371354691276,0.145556372235171,0.307062380282732,0.455970208830673,-0.0528996710935017,0.473299032189421,0.357146510947315,0.229815840543083,0.0666254258344423,0.211505429326687,-0.083984956514601,-0.24991563396677,0.0232166167348704,-0.00222451375758798,0.107588206839882,0.170898272911336,0.254694818888498,0.107219131085734,0.0263121033489735,-0.0138090632410716,-0.100405128798757,-0.147599490720284,0.534306602229357,0.351314866801188,0.248551024462854,0.226713177230719,0.425709171479532,0.389926054321498,-0.0894214648695232,0.277518376227846
"RR9_TMS_FLT_F9",-0.570231801135971,-0.472870661215844,-0.74561560471322,-0.463871250044703,-0.53200521037893,-0.60923990766273,-0.601200595744383,-0.138959137344101,-0.42275773528827,-0.565395232242566,-0.421453433936471,-0.404029630175787,-0.164290960467761,0.317692975149825,-0.289135563786528,-0.247869206295692,-0.313871987152767,-0.462622526585614,-0.356155911965269,0.0680836174746142,-0.0291377184028888,-0.0260860349087925,-0.14502549946794,0.00474711793804428,-0.398211776388453,-0.681702075579554,-0.44046904409732,-0.674400181864844,-0.466551126109227,-0.684410980087618,-0.278694252927664,-0.399799681020623,-0.414957597129259
