pathway,pval,padj,log2err,ES,NES,size,leadingEdge_str,tissue,mission,species,ranking_metric,n_ranked_genes
HALLMARK_ADIPOGENESIS,0.79700288184438,0.980926623808468,0.00964013270056419,-0.231468561092891,-0.818875803421852,84,CD151; MYLK; CAVIN2; CRAT; MGLL; ADIPOR2; GADD45A; IFNGR1; RTN3; STOM; NDUFA5; SLC1A5; CD36; DNAJC15; CMPK1; AGPAT3; RNF11,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_ALLOGRAFT_REJECTION,0.116522740356937,0.399506538366642,0.0430067286602703,-0.35262339343839,-1.25227264611301,88,PF4; F2R; CCL5; ACVR2A; CD3E; TGFB1; CD47; B2M; HLA-E; EIF4G3; IFNGR1; PTPRC; CD4; HLA-A; ABI1; EIF3J; GZMA; SRGN; CD3D; CTSS; FYB1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_ANDROGEN_RESPONSE,0.061106320068991,0.311205879487818,0.0631855595077774,-0.413998802652517,-1.37142991591178,54,TSC22D1; HOMER2; B2M; CDC14B; ACTN1; INSIG1; ABCC4; TMEM50A; INPP4B; STK39; MYL12A; GUCY1A1; IQGAP2; RAB4A; PDLIM5; SLC38A2; ABHD2; SPCS3; NCOA4,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_APICAL_JUNCTION,0.141312015048201,0.413199426111908,0.0390407757771305,-0.357085684845425,-1.23756195624027,73,VCL; ITGB1; LDLRAP1; MYL9; RSU1; YWHAH; JAM3; CRAT; ACTN1; INSIG1; PIK3CB; ICAM2; SRC; PTPRC; NEXN; PTK2; CDK8; PECAM1; MAP4K2; RASA1; VCAN; SKAP2; MYH9; FYB1; DHX16,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_APICAL_SURFACE,0.163841807909605,0.413916146297948,0.0410054911189593,-0.521877968368226,-1.28810043045375,13,APP; ADAM10; ADIPOR2; SULF2; AKAP7,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_APOPTOSIS,0.259481961147086,0.566142460684551,0.0268254821211887,-0.321234180993979,-1.13355847008366,82,CLU; APP; F2R; CDKN1A; LMNA; GPX1; GADD45A; IFNGR1; DNM1L; PTK2; DNAJC3; CASP3; GNA15; MADD; IGF2R; GSN; PPP2R5B; SOD2; H1-0; BCL2L1; VDAC2; GPX4; DPYD; SOD1; PSEN1; SQSTM1; PPP3R1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_BILE_ACID_METABOLISM,0.067087346396546,0.311205879487818,0.100604308574775,0.461072297713529,1.43832108048444,18,AQP9; IDI1; ACSL1; RXRA; IDH2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.292713744208901,0.585427488417802,0.0281135455123913,-0.411589860570284,-1.14992123734136,22,CLU; ANTXR2; CD9; ATXN2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_COAGULATION,0.00222790012044495,0.0288819795593347,0.431707695803346,-0.569974606298681,-1.73777083755254,34,ITGB3; THBS1; CLU; GP9; SPARC; PF4; GP1BA; PROS1; CD9; LRP1,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_COMPLEMENT,0.144406392694064,0.413199426111908,0.0379193221095002,-0.341362828116649,-1.21963476877843,92,CLU; GP9; SPOCK2; ZFPM2; GP1BA; CCL5; LRP1; CA2; DGKG; KIF2A; SRC; CALM3; CD36; CASP3; GZMA; PIM1; PRKCD; FCN1; CTSB,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_DNA_REPAIR,0.984919335983166,0.997828447339848,0.00623978636097569,-0.174701100676221,-0.609305190044542,76,GUK1; SRSF6; NT5C3A; RBX1; DAD1; SMAD5; TMED2; GTF2A2; VPS37B; DCTN4; NUDT21; GPX4; TAF10; VPS28; GTF2B; PNP; NFX1; CSTF3; TAF12,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_E2F_TARGETS,0.841676234213548,0.997828447339848,0.00870667859226728,-0.222087375573469,-0.789966062208937,89,CDKN1A; LBR; RPA1; MCM6; LUC7L3; BARD1; ATAD2; NAA38; XPO1; DNMT1; ORC2; NUDT21; CIT; TACC3; DEK; CSE1L; CENPE; NAP1L1; DCK; NUP107; PNN; STAG1; MKI67; IPO7; UBE2S; LYAR; SMC4; H2AZ1; PSIP1; PDS5B; CDC25B,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00655222120298781,0.062901323548683,0.204544131818546,-0.527786999181413,-1.63443429483368,37,ITGB5; ITGB3; THBS1; SPARC; MYLK; TPM1; ITGB1; LRP1; MYL9; TGFB1; GADD45A; DAB2; NOTCH2; TPM4; WIPF1; VCAN; CALD1; SNTB1; GLIPR1; IL32,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.620411072828799,0.827214763771732,0.0138017626571723,-0.266338238948958,-0.9155339064211,68,ENDOD1; IL6ST; MINDY1; SLC37A1; BAG1; NRIP1; RAB31; BLVRB; IGF1R; AMFR; XBP1; ELF1; MAST4; RHOBTB3; ABHD2; SIAH2,blood_cfrna,I4,human,log2FoldChange_I4,5344
HALLMARK_ESTROGEN_RESPONSE_LATE,0.572657859653375,0.827214763771732,0.0152453762573794,-0.279879463939285,-0.942461106058526,60,PRKAR2B; IL6ST; CD9; CA2; HOMER2; BAG1; NRIP1; RAB31; BLVRB; AMFR; XBP1; ATP2B4; ABHD2; SIAH2,blood_cfrna,I4,human,log2FoldChange_I4,5344
