pathway,NES,pval,fdr
HALLMARK_HEME_METABOLISM,-2.9335728175108313,0.0,0.0
HALLMARK_E2F_TARGETS,2.448571066955724,0.0,0.0
HALLMARK_G2M_CHECKPOINT,2.219725132573318,0.0,0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,-2.0200887837237262,0.0,0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.0107913931071804,0.0,0.0006329915179136599
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.9111070317372159,0.0,0.0009494872768704899
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.8511022211650459,0.0026455026455026454,0.0015191796429927839
HALLMARK_XENOBIOTIC_METABOLISM,-1.791401662456467,0.0,0.0028484618306114694
HALLMARK_MITOTIC_SPINDLE,1.7404011963433805,0.0,0.0070171335009648565
HALLMARK_MYC_TARGETS_V1,1.6748402819189203,0.0,0.011695222501608092
HALLMARK_UV_RESPONSE_UP,-1.6577492313392512,0.003278688524590164,0.012750257717975149
HALLMARK_P53_PATHWAY,-1.6389307043295964,0.0033783783783783786,0.01424230915305735
HALLMARK_FATTY_ACID_METABOLISM,-1.6325283496245224,0.0,0.013292821876186859
HALLMARK_ALLOGRAFT_REJECTION,-1.6288603557867962,0.0,0.012153437143942271
HALLMARK_MYC_TARGETS_V2,1.5977265942263024,0.009404388714733543,0.02011578270276592
HALLMARK_APOPTOSIS,-1.568968425947637,0.003472222222222222,0.01933501363808998
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.5253748652216417,0.0,0.025636156475503227
HALLMARK_KRAS_SIGNALING_UP,-1.4738854287368266,0.0125,0.034181541967337636
HALLMARK_HEDGEHOG_SIGNALING,1.410674722487266,0.08207705192629816,0.10204081632653061
HALLMARK_ADIPOGENESIS,-1.3933061862661376,0.016891891891891893,0.060767185719711354
HALLMARK_APICAL_SURFACE,-1.3838762385140355,0.07671957671957672,0.0629193568806178
HALLMARK_COAGULATION,1.355777817728123,0.07110438729198185,0.13825423742972426
HALLMARK_KRAS_SIGNALING_DN,1.3447942910499917,0.06537890044576523,0.1309133968773756
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.303172516154448,0.055162659123055166,0.1639930088558824
HALLMARK_PROTEIN_SECRETION,-1.261495657626629,0.08670520231213873,0.1551224838587163
HALLMARK_APICAL_JUNCTION,1.2606406687199079,0.08452722063037249,0.20022220922753056
HALLMARK_PEROXISOME,-1.2567260266749298,0.09144542772861357,0.15292330376890595
HALLMARK_UV_RESPONSE_DN,1.211653591914621,0.1298342541436464,0.25298892675069506
HALLMARK_DNA_REPAIR,-1.1904853438356688,0.15432098765432098,0.23304637717854582
HALLMARK_ESTROGEN_RESPONSE_LATE,-1.1821131783521879,0.11619718309859155,0.23257440981869792
HALLMARK_MTORC1_SIGNALING,-1.1702003971503248,0.10588235294117647,0.24116976832510445
HALLMARK_TGF_BETA_SIGNALING,-1.1530870983858785,0.22941176470588234,0.2585318213878791
HALLMARK_ANDROGEN_RESPONSE,-1.1510201035621963,0.175,0.2503193729931292
HALLMARK_GLYCOLYSIS,1.144638010187642,0.18653576437587657,0.3582149192055046
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-1.1442282685339402,0.18497109826589594,0.2509948975379382
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.135288734864911,0.2433234421364985,0.2555703253576402
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.1288609427835832,0.26512968299711814,0.257045195594379
HALLMARK_HYPOXIA,-1.10247090500171,0.2109090909090909,0.2908352566537147
HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.1006431775744359,0.2028985507246377,0.2827362113347681
HALLMARK_SPERMATOGENESIS,1.0699664317682311,0.32533733133433285,0.5002406516937831
HALLMARK_IL2_STAT5_SIGNALING,1.0535467524716473,0.337431693989071,0.5055677612838013
HALLMARK_INFLAMMATORY_RESPONSE,-1.0294155269135177,0.36,0.41431555531441594
HALLMARK_COMPLEMENT,1.0286643317261341,0.40486409155937053,0.5339648753484202
HALLMARK_MYOGENESIS,-1.0210170823098517,0.40594059405940597,0.4194769307332661
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.9788481927897994,0.5121212121212121,0.6248172621484124
HALLMARK_PANCREAS_BETA_CELLS,-0.8820802680359866,0.6226851851851852,0.7401569818964426
HALLMARK_NOTCH_SIGNALING,0.8524470519279334,0.6781609195402298,0.9056917896098268
HALLMARK_BILE_ACID_METABOLISM,0.827601117519006,0.7927927927927928,0.9055026021870065
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.7300455729664754,0.8553054662379421,0.9932937132023674
HALLMARK_ANGIOGENESIS,0.7039704773054848,0.8943089430894309,0.9611133851821531
