pathway,NES,pval,fdr
HALLMARK_MYC_TARGETS_V1,2.3689902850475595,0.0,0.0
HALLMARK_PROTEIN_SECRETION,2.1426405807112876,0.0,0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.882796462076451,0.0,0.0019955654101995565
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.879829479639551,0.0,0.0011242116808335618
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.8569256869888764,0.0,0.0008431587606251713
HALLMARK_ANGIOGENESIS,1.8409726444662076,0.0,0.0006745270085001371
HALLMARK_ADIPOGENESIS,1.8069527709831823,0.0,0.0011242116808335618
HALLMARK_MTORC1_SIGNALING,1.7276719733650343,0.0,0.0038544400485722116
HALLMARK_TGF_BETA_SIGNALING,1.7245228882091366,0.0,0.0035131615026048808
HALLMARK_MYC_TARGETS_V2,1.7058236026023834,0.002967359050445104,0.003622459860463699
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.6476014622343147,0.001422475106685633,0.006520427748834659
HALLMARK_XENOBIOTIC_METABOLISM,1.57536811590424,0.001321003963011889,0.016556572026821547
HALLMARK_FATTY_ACID_METABOLISM,1.5643237136908823,0.004010695187165776,0.016863175212503426
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.5260055037619398,0.00273224043715847,0.023521967475902218
HALLMARK_APOPTOSIS,1.5190884666145634,0.004010695187165776,0.023528144463159546
HALLMARK_UV_RESPONSE_DN,1.5052635596177797,0.005312084993359893,0.025706973768394117
HALLMARK_INFLAMMATORY_RESPONSE,-1.4976261894715006,0.0,0.05188470066518847
HALLMARK_MITOTIC_SPINDLE,1.4690778046063626,0.005188067444876783,0.03597477378667398
HALLMARK_GLYCOLYSIS,1.4648224718025655,0.003931847968545216,0.0352473426990758
HALLMARK_COMPLEMENT,1.459593851442067,0.011984021304926764,0.0346007372878774
HALLMARK_MYOGENESIS,1.4295509632428995,0.013513513513513514,0.04414010073167564
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.386500011603045,0.004016064257028112,0.08337028824833703
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.3718862593940897,0.07090103397341212,0.0713312311488895
HALLMARK_PEROXISOME,1.357539331860366,0.04741379310344827,0.07644639429668221
HALLMARK_COAGULATION,1.3243842149764757,0.06311360448807854,0.0972443103921031
HALLMARK_UV_RESPONSE_UP,1.3037164527449294,0.048748353096179184,0.11051489610281232
HALLMARK_KRAS_SIGNALING_UP,1.303542816474822,0.046875,0.10591010876519515
HALLMARK_ESTROGEN_RESPONSE_LATE,1.3031807152539545,0.042119565217391304,0.10194351521798739
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.2980549787156324,0.04227212681638045,0.10221678513425153
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.2972912889579984,0.07452574525745258,0.09918045273131644
HALLMARK_ALLOGRAFT_REJECTION,-1.2949510647098603,0.03418803418803419,0.1247228381374723
HALLMARK_IL2_STAT5_SIGNALING,1.2727467203491696,0.055341055341055344,0.11860433232794076
HALLMARK_ANDROGEN_RESPONSE,1.2659851974610485,0.08285714285714285,0.1218800525703696
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.2520607246225839,0.08176100628930817,0.13955654101995565
HALLMARK_BILE_ACID_METABOLISM,1.2091805336040518,0.14144271570014144,0.18564482222831552
HALLMARK_PANCREAS_BETA_CELLS,1.169949762413095,0.25984251968503935,0.23706360508416108
HALLMARK_DNA_REPAIR,-1.1381663258370223,0.1341991341991342,0.2757206208425721
HALLMARK_APICAL_JUNCTION,-1.1369496842009374,0.1557377049180328,0.23842255305669938
HALLMARK_G2M_CHECKPOINT,1.1175018085263413,0.2291139240506329,0.3197679599670962
HALLMARK_HEME_METABOLISM,1.1150181491644175,0.23994811932555124,0.3147792706333973
HALLMARK_HYPOXIA,1.078926845399628,0.30283505154639173,0.37528831110179195
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.0623569752569713,0.3646496815286624,0.39887030435974774
HALLMARK_KRAS_SIGNALING_DN,-1.0369132044351326,0.4151624548736462,0.40701219512195125
HALLMARK_HEDGEHOG_SIGNALING,-0.9525742076614536,0.5638888888888889,0.5785661492978567
HALLMARK_P53_PATHWAY,0.948123184494577,0.595797280593325,0.6524487402126558
HALLMARK_NOTCH_SIGNALING,0.9195180012161168,0.5817307692307693,0.7036349758038817
HALLMARK_APICAL_SURFACE,0.9136365266984364,0.6092503987240829,0.6985496370484752
HALLMARK_E2F_TARGETS,0.8727983318971781,0.7634961439588689,0.7731693770081486
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.8623974786898839,0.72,0.7742726898820949
HALLMARK_SPERMATOGENESIS,0.7843219041869036,0.8746518105849582,0.8932273101179051
