pathway,NES,pval,fdr
HALLMARK_MYC_TARGETS_V1,-2.7944362238162253,0.0,0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.490807542371096,0.0,0.0
HALLMARK_FATTY_ACID_METABOLISM,-1.9494243154097135,0.0,0.0008472843077102872
HALLMARK_DNA_REPAIR,-1.8166961252428637,0.0,0.003177316153913577
HALLMARK_MITOTIC_SPINDLE,1.7191858044844026,0.0,0.027039952910013983
HALLMARK_UV_RESPONSE_DN,1.6988957447171114,0.0035971223021582736,0.01661025678758002
HALLMARK_UV_RESPONSE_UP,-1.6791839837547857,0.0,0.012709264615654307
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.6759109765844362,0.0043859649122807015,0.011438338154088878
HALLMARK_MTORC1_SIGNALING,-1.652068869663986,0.0,0.012346142769492757
HALLMARK_P53_PATHWAY,-1.6372402173752356,0.0,0.012073801384871593
HALLMARK_MYC_TARGETS_V2,-1.5037326355151277,0.011086474501108648,0.04137571702651902
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.5020307813928833,0.004366812227074236,0.037873608554649836
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.473955426672638,0.008948545861297539,0.04436688738555686
HALLMARK_ALLOGRAFT_REJECTION,-1.467542840807856,0.0042643923240938165,0.04342332077015222
HALLMARK_IL2_STAT5_SIGNALING,1.44624230996883,0.0036363636363636364,0.1351997645500699
HALLMARK_E2F_TARGETS,-1.4052294643143046,0.010893246187363835,0.06638146672330211
HALLMARK_ADIPOGENESIS,-1.3888806764687691,0.014893617021276596,0.07126266230920451
HALLMARK_HYPOXIA,-1.3847217323752976,0.02288329519450801,0.06854530049376223
HALLMARK_KRAS_SIGNALING_UP,1.3691109587042354,0.01841620626151013,0.19893679640938858
HALLMARK_APOPTOSIS,-1.3670239004052915,0.03048780487804878,0.07490522832851257
HALLMARK_HEDGEHOG_SIGNALING,1.3561377166812913,0.10555555555555556,0.1758369509234052
HALLMARK_GLYCOLYSIS,-1.3207849016201514,0.030837004405286344,0.10025366970348487
HALLMARK_XENOBIOTIC_METABOLISM,-1.2951564910791142,0.061224489795918366,0.1171370555409472
HALLMARK_PEROXISOME,-1.282672452150739,0.08388520971302428,0.12127314077990138
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.2572608015890323,0.08974358974358974,0.13846743798755368
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-1.2263553953627275,0.11447084233261338,0.16431263538810212
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.1972993421398477,0.17375231053604437,0.49792141858582883
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.1797497273491668,0.1276595744680851,0.2102805600044622
HALLMARK_PANCREAS_BETA_CELLS,-1.1475894533217086,0.2863157894736842,0.2471675679383553
HALLMARK_APICAL_SURFACE,1.1238042158156263,0.30297397769516726,0.6836141564270474
HALLMARK_INFLAMMATORY_RESPONSE,1.069240675034553,0.29981378026070765,0.8211454271208889
HALLMARK_MYOGENESIS,1.0633007385975544,0.31239092495637,0.7532558310646753
HALLMARK_APICAL_JUNCTION,-1.0590011650094513,0.3170731707317073,0.39875317731615395
HALLMARK_NOTCH_SIGNALING,1.036818845668774,0.38392857142857145,0.781454639099404
HALLMARK_PROTEIN_SECRETION,1.0312204408296566,0.38235294117647056,0.7294466257750783
HALLMARK_KRAS_SIGNALING_DN,1.0299888591710666,0.39059674502712477,0.6726510190567287
HALLMARK_ANDROGEN_RESPONSE,0.9738473296615746,0.5111111111111111,0.8239757079062502
HALLMARK_TGF_BETA_SIGNALING,-0.9412152362375409,0.5510204081632653,0.6793864492944167
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.9320124791352176,0.5800865800865801,0.6777459765232576
HALLMARK_COAGULATION,0.9314995119699122,0.6033210332103321,0.917261423000515
HALLMARK_G2M_CHECKPOINT,0.9285668549474421,0.6551724137931034,0.8647119417261423
HALLMARK_HEME_METABOLISM,-0.9195486406567595,0.6475972540045767,0.6853588622367657
HALLMARK_ESTROGEN_RESPONSE_LATE,0.9124239441854166,0.6785079928952042,0.8602567875800161
HALLMARK_COMPLEMENT,0.9123144443053598,0.6739526411657559,0.8100170095262003
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.8926141680653025,0.7359307359307359,0.7253358877076994
HALLMARK_SPERMATOGENESIS,0.8560897830575296,0.7655954631379962,0.9165685625291247
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.8156056046288713,0.7613636363636364,0.9521316350990787
HALLMARK_BILE_ACID_METABOLISM,-0.8031809970051393,0.8478260869565217,0.8789113857480936
HALLMARK_ANGIOGENESIS,0.7841739106104122,0.7799295774647887,0.9511496578618204
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.75857063218382,0.9397363465160076,0.9339268633654625
